sub_region,industry,rate_office,rate_factory,rate_logistics,rate_other
tokyo_ward_coastal,chemical_manufacturing,8.8,20.5,5.5,9.0
tokyo_ward_coastal,steel_manufacturing,4.8,2.6,0.0,3.0
tokyo_ward_coastal,metal_product_manufacturing,2.5,2.9,0.0,0.0
tokyo_ward_coastal,machinery_manufacturing,2.1,2.0,8.7,5.2
tokyo_ward_coastal,light_misc_manufacturing,2.3,4.7,3.8,1.9
tokyo_ward_coastal,road_freight_transport,14.2,0.0,18.8,39.0
tokyo_ward_coastal,water_transport,18.1,0.0,8.0,10.0
tokyo_ward_coastal,air_transport,0.0,0.0,0.0,1.0
tokyo_ward_coastal,warehousing,22.5,0.0,32.1,82.7
tokyo_ward_coastal,transport_related_services,46.2,0.0,37.7,304.0
tokyo_ward_coastal,raw_material_wholesale,3.9,9.7,5.5,4.4
tokyo_ward_coastal,product_wholesale,3.4,2.2,4.8,5.5
tokyo_ward_coastal,service_industry,4.2,10.6,10.8,2.3
tokyo_ward_coastal,other,3.9,69.0,38.7,27.5
tokyo_ward_inland,chemical_manufacturing,2.3,11.8,4.3,3.5
tokyo_ward_inland,steel_manufacturing,4.2,4.2,10.0,2.0
tokyo_ward_inland,metal_product_manufacturing,2.1,2.2,1.8,1.5
tokyo_ward_inland,machinery_manufacturing,2.0,2.1,3.3,2.1
tokyo_ward_inland,light_misc_manufacturing,4.3,4.9,2.6,2.1
tokyo_ward_inland,road_freight_transport,20.8,0.0,13.0,25.6
tokyo_ward_inland,water_transport,0.0,0.0,0.0,0.0
tokyo_ward_inland,air_transport,0.0,0.0,0.0,0.0
tokyo_ward_inland,warehousing,18.3,0.0,12.5,5.0
tokyo_ward_inland,transport_related_services,3.5,0.0,2.5,2.0
tokyo_ward_inland,raw_material_wholesale,2.7,5.0,4.8,4.2
tokyo_ward_inland,product_wholesale,4.0,5.0,5.7,3.1
tokyo_ward_inland,service_industry,5.1,4.0,8.7,2.4
tokyo_ward_inland,other,0.0,18.0,37.4,0.0
tokyo_tama,chemical_manufacturing,2.9,18.2,5.0,0.0
tokyo_tama,steel_manufacturing,0.0,6.3,0.0,0.0
tokyo_tama,metal_product_manufacturing,5.4,2.3,0.0,1.0
tokyo_tama,machinery_manufacturing,5.3,2.7,16.4,3.1
tokyo_tama,light_misc_manufacturing,3.8,4.9,8.7,12.9
tokyo_tama,road_freight_transport,19.0,0.0,15.5,4.6
tokyo_tama,water_transport,0.0,0.0,0.0,0.0
tokyo_tama,air_transport,0.0,0.0,0.0,7.0
tokyo_tama,warehousing,2.0,0.0,14.4,8.0
tokyo_tama,transport_related_services,19.6,0.0,13.4,11.0
tokyo_tama,raw_material_wholesale,6.0,5.2,5.8,6.7
tokyo_tama,product_wholesale,5.7,3.9,11.8,14.5
tokyo_tama,service_industry,4.9,16.8,5.0,1.9
tokyo_tama,other,0.0,9.7,110.0,0.0
yokohama_city,chemical_manufacturing,2.1,25.1,6.7,2.9
yokohama_city,steel_manufacturing,2.5,3.4,1.0,0.0
yokohama_city,metal_product_manufacturing,2.2,2.7,15.1,1.7
yokohama_city,machinery_manufacturing,2.1,2.5,5.9,3.2
yokohama_city,light_misc_manufacturing,2.7,4.8,27.3,5.7
yokohama_city,road_freight_transport,11.1,0.0,30.2,7.6
yokohama_city,water_transport,0.0,0.0,0.0,0.0
yokohama_city,air_transport,0.0,0.0,0.0,0.0
yokohama_city,warehousing,12.1,0.0,21.9,12.7
yokohama_city,transport_related_services,52.4,0.0,29.2,8.2
yokohama_city,raw_material_wholesale,5.0,3.5,6.5,4.7
yokohama_city,product_wholesale,5.7,2.9,8.7,6.9
yokohama_city,service_industry,2.9,14.4,39.6,1.4
yokohama_city,other,4.0,5.3,39.0,7.7
kawasaki_city,chemical_manufacturing,2.5,21.5,20.0,1.5
kawasaki_city,steel_manufacturing,2.0,17.2,0.0,0.0
