poi_id,name,lon,lat,zone_id,facility_type,size_class
SM001,Tokyo Midtown,139.7294,35.6657,MFS03,SMALL_RETAIL,large
SM002,Roppongi Hills,139.7293,35.6605,MFS03,SMALL_RETAIL,large
SM003,Shibuya Hikarie,139.7033,35.6592,MFS03,SMALL_RETAIL,large
SM004,Shibuya 109,139.7009,35.6601,MFS03,SMALL_RETAIL,large
SM005,Shinjuku Takashimaya,139.7020,35.6903,MFS03,SMALL_RETAIL,large
SM006,Isetan Shinjuku,139.7046,35.6916,MFS03,SMALL_RETAIL,large
SM007,Lumine Shinjuku,139.7003,35.6906,MFS03,SMALL_RETAIL,large
SM008,Ikebukuro Sunshine City,139.7191,35.7296,MFS03,SMALL_RETAIL,large
SM009,Tobu Ikebukuro,139.7103,35.7303,MFS03,SMALL_RETAIL,large
SM010,Seibu Ikebukuro,139.7108,35.7294,MFS03,SMALL_RETAIL,large
SM011,Ginza Six,139.7653,35.6713,MFS01,SMALL_RETAIL,large
SM012,Mitsukoshi Ginza,139.7677,35.6718,MFS01,SMALL_RETAIL,large
SM013,Matsuya Ginza,139.7653,35.6722,MFS01,SMALL_RETAIL,large
SM014,Coredo Nihonbashi,139.7747,35.6847,MFS01,SMALL_RETAIL,medium
SM015,Tokyo Station City,139.7668,35.6811,MFS01,SMALL_RETAIL,large
SM016,Akihabara Yodobashi,139.7721,35.6983,MFS04,SMALL_RETAIL,large
SM017,Akihabara UDX,139.7715,35.7009,MFS04,SMALL_RETAIL,medium
SM018,Omotesando Hills,139.7104,35.6655,MFS03,SMALL_RETAIL,large
SM019,LaLaport Toyosu,139.7958,35.6549,MFS04,SMALL_RETAIL,large
SM020,AEON Lake Town,139.8234,35.8804,MFS30,SMALL_RETAIL,large
SM021,Lazona Kawasaki,139.6970,35.5306,MFS16,SMALL_RETAIL,large
SM022,Grand Tree Musashikosugi,139.6600,35.5780,MFS16,SMALL_RETAIL,large
SM023,Yokohama Landmark Plaza,139.6315,35.4546,MFS11,SMALL_RETAIL,large
SM024,Queen's Square Yokohama,139.6335,35.4528,MFS11,SMALL_RETAIL,large
SM025,AEON Makuhari New City,140.0346,35.6481,MFS42,SMALL_RETAIL,large
SM026,AEON Mall Musashi Murayama,139.3800,35.7500,MFS10,SMALL_RETAIL,large
SM027,Yokohama World Porters,139.6400,35.4550,MFS11,SMALL_RETAIL,large
SM028,Yokohama Sogo,139.6220,35.4660,MFS11,SMALL_RETAIL,large
SM029,Yokosuka More's City,139.6700,35.2800,MFS12,SMALL_RETAIL,medium
SM030,Totsuka AEON Mall,139.5300,35.3900,MFS13,SMALL_RETAIL,large
SM031,Northport Mall Kohoku,139.5800,35.5500,MFS14,SMALL_RETAIL,large
SM032,Tressa Yokohama,139.6300,35.5200,MFS14,SMALL_RETAIL,medium
SM033,LaLaport Yokohama,139.5700,35.5300,MFS14,SMALL_RETAIL,large
SM034,AEON Mall Yamato,139.4600,35.4700,MFS26,SMALL_RETAIL,large
SM035,AEON Mall Ebina,139.4000,35.4500,MFS26,SMALL_RETAIL,large
SM036,LaLaport Fujisawa,139.4700,35.3500,MFS20,SMALL_RETAIL,large
SM037,Dynacity Odawara,139.1500,35.2700,MFS22,SMALL_RETAIL,medium
SM038,Gotemba Premium Outlets,138.9400,35.3200,MFS24,SMALL_RETAIL,large
SM039,AEON Mall Sagamihara,139.3900,35.5400,MFS18,SMALL_RETAIL,large
SM040,Cocoon City Saitama,139.6280,35.8930,MFS27,SMALL_RETAIL,large
SM041,AEON Mall Kawaguchi,139.7200,35.8200,MFS28,SMALL_RETAIL,large
SM042,Mitsui Outlet Iruma,139.3500,35.8300,MFS31,SMALL_RETAIL,large
SM043,AEON Mall Kawagoe,139.5000,35.9400,MFS29,SMALL_RETAIL,large
SM044,Kumagaya Tiara21,139.3900,36.1500,MFS32,SMALL_RETAIL,medium
SM045,LaLaport Shin-Misato,139.8700,35.8400,MFS30,SMALL_RETAIL,large
SM046,AEON Mall Chiba Newtown,140.1000,35.7900,MFS40,SMALL_RETAIL,large
SM047,LaLaport Tokyo Bay,140.0200,35.6800,MFS42,SMALL_RETAIL,large
SM048,AEON Mall Kisarazu,139.9300,35.3900,MFS44,SMALL_RETAIL,large
SM049,Mitsui Outlet Kisarazu,139.9200,35.3700,MFS44,SMALL_RETAIL,large
SM050,AEON Mall Narita,140.3500,35.7800,MFS47,SMALL_RETAIL,large
SM051,AEON Mall Tsukuba,140.1200,36.0600,MFS48,SMALL_RETAIL,large
SM052,AEON Mall Mito Uchihara,140.3700,36.3700,MFS55,SMALL_RETAIL,large
SM053,AEON Mall Takasaki,139.0200,36.3300,MFS57,SMALL_RETAIL,large
SM054,AEON Mall Ota,139.3700,36.3000,MFS58,SMALL_RETAIL,large
SM055,AEON Mall Utsunomiya,139.9000,36.5500,MFS59,SMALL_RETAIL,large
SM056,Sano Premium Outlets,139.5900,36.3300,MFS61,SMALL_RETAIL,large
SM057,Mitsui Outlet Sendai,140.7300,38.2800,MFS67,SMALL_RETAIL,large
SM058,AEON Mall Shizuoka,138.3700,34.9700,MFS70,SMALL_RETAIL,large
SM059,LaLaport Kashiwanoha,139.9700,35.8900,MFS41,SMALL_RETAIL,large
SM060,AEON Mall Koshigaya,139.8100,35.8800,MFS30,SMALL_RETAIL,large
SM061,Mizonokuchi Marui Family,139.6100,35.5900,MFS17,SMALL_RETAIL,medium
SM062,AEON Mall Atsugi,139.3700,35.4500,MFS25,SMALL_RETAIL,large
