poi_id,name,lon,lat,zone_id,facility_type,capacity_level
PT001,Tokyo Port Container Terminal,139.7720,35.6210,MFS02,LOGISTICS_HUB,high
PT002,Tokyo Port Oi Terminal,139.7480,35.6020,MFS02,LOGISTICS_HUB,high
PT003,Tokyo Port Aomi Terminal,139.7810,35.6150,MFS02,LOGISTICS_HUB,medium
PT004,Yokohama Port Honmoku Terminal,139.6530,35.4190,MFS12,LOGISTICS_HUB,high
PT005,Yokohama Port Daikoku Terminal,139.6620,35.4580,MFS15,LOGISTICS_HUB,high
PT006,Yokohama Port Minami-Honmoku Terminal,139.6680,35.4100,MFS12,LOGISTICS_HUB,medium
PT007,Kawasaki Port Higashi-Ogishima Terminal,139.7310,35.5080,MFS16,LOGISTICS_HUB,high
PT008,Chiba Port Central Terminal,140.1020,35.5810,MFS38,LOGISTICS_HUB,medium
PT009,Chiba Port Gaiko Terminal,140.1150,35.5740,MFS38,LOGISTICS_HUB,medium
PT010,Kisarazu Port Terminal,139.9180,35.3720,MFS44,LARGE_DISTRIBUTION,medium
PT011,Kashima Port Industrial Terminal,140.6720,35.9310,MFS54,LOGISTICS_HUB,medium
PT012,Funabashi Port Terminal,139.9780,35.6820,MFS39,LARGE_DISTRIBUTION,low
PT013,Haneda Air Cargo Terminal,139.7820,35.5530,MFS02,LOGISTICS_HUB,high
PT014,Narita Air Cargo Terminal,140.3910,35.7680,MFS42,LOGISTICS_HUB,high
PT015,Tokyo Freight Terminal (JR),139.7380,35.5920,MFS02,LARGE_DISTRIBUTION,high
PT016,Sumida Freight Terminal (JR),139.8190,35.7020,MFS04,LARGE_DISTRIBUTION,medium
PT017,Yokohama Freight Terminal (JR),139.6410,35.4610,MFS11,LARGE_DISTRIBUTION,medium
PT018,Kawasaki Freight Terminal (JR),139.7020,35.5180,MFS16,LARGE_DISTRIBUTION,medium
PT019,Saitama Freight Terminal (JR),139.6280,35.8720,MFS27,LARGE_DISTRIBUTION,medium
PT020,Chiba Freight Terminal (JR),140.1080,35.6020,MFS38,LARGE_DISTRIBUTION,medium
PT021,Utsunomiya Freight Terminal (JR),139.8830,36.5610,MFS50,LARGE_DISTRIBUTION,low
PT022,Takasaki Freight Terminal (JR),139.0120,36.3220,MFS48,LARGE_DISTRIBUTION,low
PT023,Mito Freight Depot (JR),140.4470,36.3710,MFS52,LARGE_DISTRIBUTION,low
PT024,Koshigaya Truck Terminal,139.7910,35.8910,MFS28,LARGE_DISTRIBUTION,medium
PT025,Adachi Truck Terminal,139.7920,35.7780,MFS05,LARGE_DISTRIBUTION,medium
PT026,Ota Truck Terminal,139.7150,35.5620,MFS03,LARGE_DISTRIBUTION,medium
PT027,Itabashi Truck Terminal,139.6940,35.7710,MFS06,LARGE_DISTRIBUTION,medium
PT028,Kawasaki Truck Terminal,139.7080,35.5410,MFS16,LARGE_DISTRIBUTION,medium
PT029,Yokohama Kanazawa Truck Terminal,139.6220,35.3680,MFS13,LARGE_DISTRIBUTION,medium
PT030,Chiba Mihama Truck Terminal,140.0560,35.6410,MFS39,LARGE_DISTRIBUTION,medium
PT031,Saitama Iwatsuki Truck Terminal,139.7230,35.9320,MFS29,LARGE_DISTRIBUTION,low
PT032,Tochigi Sano Truck Terminal,139.5780,36.3140,MFS49,LARGE_DISTRIBUTION,low
PT033,Gunma Isesaki Truck Terminal,139.1940,36.3110,MFS47,LARGE_DISTRIBUTION,low
PT034,Ibaraki Tsukuba Truck Terminal,140.0830,36.0830,MFS53,LARGE_DISTRIBUTION,low
PT035,Sagamihara Truck Terminal,139.3720,35.5710,MFS20,LARGE_DISTRIBUTION,low
