poi_id,name,lon,lat,zone_id,facility_type,business_type
RS001,Ginza Shopping District,139.7640,35.6722,MFS01,SMALL_RETAIL,shopping_district
RS002,Shibuya Commercial Center,139.7005,35.6617,MFS03,SMALL_RETAIL,retail_cluster
RS003,Shinjuku Retail Hub,139.7000,35.6938,MFS03,SMALL_RETAIL,shopping_district
RS004,Akihabara Electronics Quarter,139.7730,35.6983,MFS04,SMALL_RETAIL,electronics
RS005,Ikebukuro Shopping Area,139.7101,35.7295,MFS03,SMALL_RETAIL,shopping_district
RS006,Ueno Shopping Street,139.7787,35.7141,MFS04,SMALL_RETAIL,retail_cluster
RS007,Asakusa Traditional Shops,139.7967,35.7125,MFS04,SMALL_RETAIL,traditional
RS008,Roppongi Commercial,139.7294,35.6634,MFS03,SMALL_RETAIL,business_district
RS009,Meguro Retail District,139.7167,35.6333,MFS02,SMALL_RETAIL,retail_cluster
RS010,Shinagawa Commercial,139.7400,35.6280,MFS02,SMALL_RETAIL,business_district
RS011,Setagaya Shopping Streets,139.6500,35.6450,MFS05,SMALL_RETAIL,residential_retail
RS012,Nakano Broadway,139.6650,35.7050,MFS05,SMALL_RETAIL,shopping_center
RS013,Kichijoji Shops,139.5800,35.7050,MFS05,SMALL_RETAIL,shopping_district
RS014,Tachikawa Commercial,139.4130,35.6980,MFS09,SMALL_RETAIL,suburban_center
RS015,Machida Retail Center,139.4460,35.5430,MFS09,SMALL_RETAIL,suburban_center
RS016,Urawa Shopping District,139.6500,35.8590,MFS27,SMALL_RETAIL,retail_cluster
RS017,Omiya Commercial Area,139.6270,35.9060,MFS27,SMALL_RETAIL,shopping_district
RS018,Funabashi Shopping,139.9830,35.6950,MFS39,SMALL_RETAIL,retail_cluster
RS019,Ichikawa Retail District,139.9300,35.7220,MFS39,SMALL_RETAIL,residential_retail
RS020,Koto Shopping Streets,139.8170,35.6730,MFS04,SMALL_RETAIL,residential_retail
RS021,Sumida Commercial,139.8050,35.7050,MFS04,SMALL_RETAIL,retail_cluster
RS022,Arakawa Shops,139.7830,35.7360,MFS04,SMALL_RETAIL,residential_retail
RS023,Adachi Shopping Area,139.8050,35.7750,MFS07,SMALL_RETAIL,residential_retail
RS024,Katsushika Retail,139.8480,35.7480,MFS07,SMALL_RETAIL,residential_retail
RS025,Edogawa Shopping,139.8680,35.7070,MFS07,SMALL_RETAIL,residential_retail
RS026,Itabashi Commercial,139.7100,35.7510,MFS06,SMALL_RETAIL,residential_retail
RS027,Kita Shopping District,139.7350,35.7530,MFS06,SMALL_RETAIL,retail_cluster
RS028,Nerima Retail Shops,139.6530,35.7360,MFS06,SMALL_RETAIL,residential_retail
RS029,Chofu Shopping Center,139.5420,35.6550,MFS08,SMALL_RETAIL,suburban_center
RS030,Fuchu Retail District,139.4780,35.6690,MFS08,SMALL_RETAIL,suburban_center
RS031,Nishitokyo Shops,139.5380,35.7250,MFS08,SMALL_RETAIL,residential_retail
RS032,Kawasaki Commercial,139.7030,35.5310,MFS16,SMALL_RETAIL,retail_cluster
RS033,Kawasaki Lazona Area,139.6970,35.5290,MFS16,SMALL_RETAIL,shopping_center
RS034,Yokohama Shopping District,139.6230,35.4650,MFS11,SMALL_RETAIL,retail_cluster
RS035,Yokohama Chinatown,139.6450,35.4430,MFS11,SMALL_RETAIL,tourist_area
RS036,Tsukiji Outer Market,139.7750,35.6660,MFS01,SMALL_RETAIL,market
RS037,Nihonbashi Shopping,139.7750,35.6830,MFS01,SMALL_RETAIL,traditional
RS038,Marunouchi Business Retail,139.7640,35.6810,MFS01,SMALL_RETAIL,business_district
RS039,Yotsuya Shopping,139.7300,35.6860,MFS01,SMALL_RETAIL,retail_cluster
RS040,Ochanomizu Shops,139.7660,35.6990,MFS01,SMALL_RETAIL,retail_cluster
RS041,Jimbocho Book District,139.7570,35.6960,MFS01,SMALL_RETAIL,specialized
RS042,Harajuku Fashion Street,139.7030,35.6702,MFS03,SMALL_RETAIL,fashion
RS043,Takadanobaba Shops,139.7040,35.7130,MFS03,SMALL_RETAIL,retail_cluster
RS044,Mejiro Shopping,139.7063,35.7210,MFS03,SMALL_RETAIL,residential_retail
RS045,Sugamo Shopping Street,139.7390,35.7330,MFS03,SMALL_RETAIL,traditional
RS046,Sengoku Retail Area,139.7450,35.7250,MFS03,SMALL_RETAIL,residential_retail
RS047,Komagome Shops,139.7470,35.7360,MFS03,SMALL_RETAIL,residential_retail
RS048,Tabata Shopping,139.7610,35.7380,MFS03,SMALL_RETAIL,residential_retail
RS049,Nippori Retail District,139.7710,35.7280,MFS04,SMALL_RETAIL,retail_cluster
RS050,Kinshicho Commercial,139.8140,35.6970,MFS04,SMALL_RETAIL,shopping_center
RS051,Ome Station Shops,139.2500,35.7900,MFS10,SMALL_RETAIL,suburban_center
RS052,Akiruno Retail Area,139.2900,35.7300,MFS10,SMALL_RETAIL,residential_retail
RS053,Higashimurayama Shopping,139.4700,35.7600,MFS10,SMALL_RETAIL,residential_retail
RS054,Yokohama Motomachi Shopping,139.6500,35.4400,MFS11,SMALL_RETAIL,shopping_district
RS055,Yokohama Isezakicho,139.6350,35.4450,MFS11,SMALL_RETAIL,traditional
RS056,Yokohama Noge Shops,139.6300,35.4480,MFS11,SMALL_RETAIL,traditional
RS057,Yokosuka Dobuita Street,139.6700,35.2800,MFS12,SMALL_RETAIL,traditional
RS058,Yokosuka Chuo Shops,139.6700,35.2850,MFS12,SMALL_RETAIL,retail_cluster
RS059,Totsuka Station Retail,139.5350,35.4000,MFS13,SMALL_RETAIL,suburban_center
RS060,Futamatagawa Shops,139.5300,35.4500,MFS13,SMALL_RETAIL,residential_retail
