large_zone,region,office,factory,store_restaurant,logistics_facility,other,unknown,all_facilities
0,tokyo_chiyoda_chuo_minato,3414,6794,110,19530,15,0,29863
1,tokyo_meguro_shinagawa_ota,12897,35868,27,41169,8832,0,98794
2,tokyo_toshima_bunkyo_shinjuku_shibuya,506,513,90,795,1811,0,3715
3,tokyo_arakawa_taito_sumida_koto,9323,27377,3680,70887,14377,0,125644
4,tokyo_nakano_suginami_setagaya,555,7219,940,1368,839,0,10922
5,tokyo_nerima_itabashi_kita,861,10059,257,70380,95,0,81653
6,tokyo_adachi_katsushika_edogawa,5940,43928,272,13641,127,0,63907
7,chofu_nishitokyo_fuchu_musashino_etc,4600,13130,885,20437,1034,50,40137
8,machida_tama_hachioji_inagi_etc,1456,17442,538,3847,491,0,23773
9,mizuho_fussa_hamura_akiruno_etc,6668,15399,65,3725,237,0,26093
10,yokohama_nishi_naka,11044,469,75,41068,11940,0,64596
11,yokohama_isogo_minami_kanazawa_konan,1124,35655,71,43121,1262,764,81996
12,yokohama_hodogaya_totsuka_sakae_izumi_etc,450,14691,38,6139,306,0,21623
13,yokohama_kohoku_tsuzuki_midori_aoba,963,8218,91,6654,31,0,15957
14,yokohama_tsurumi_kanagawa,854,4219,225,40942,20753,0,66994
15,kawasaki_kawasaki_saiwai_nakahara,775,22939,70,36168,2664,0,62615
16,kawasaki_takatsu_miyamae_tama_asao,222,8076,13,1983,135,116,10546
17,sagamihara_city,1659,13588,359,10184,485,12,26287
18,yokosuka_miura,474,2953,157,2141,124,0,5848
19,kamakura_zushi_hayama,216,279,49,168,0,0,712
20,fujisawa_chigasaki_samukawa,7779,13813,107,18011,1438,89,41237
21,hiratsuka_oiso_ninomiya,3042,5675,103,6802,101,0,15723
22,odawara_manazuru_yugawara_hakone,215,4085,250,725,240,45,5558
23,minami_ashigara_nakai_oi_matsuda_etc,139,6115,31,1715,1380,0,9380
24,atsugi_hadano_kiyokawa_isehara_etc,2693,15530,75,17481,5676,0,41456
25,zama_yamato_ebina_ayase,503,10117,64,8364,526,0,19573
26,saitama_city,2662,23353,1058,6490,857,0,34420
27,kawaguchi_warabi_toda,2971,20074,53,16101,333,284,39817
28,asaka_wako_niiza_tokorozawa_etc,3082,24999,192,39811,2613,20,70717
29,soka_kasukabe_misato_koshigaya_etc,3025,50097,107,19745,10503,513,83992
30,hanno_hidaka_moroyama_ogose_etc,152,14984,8,1927,1,0,17072
31,tsurugashima_sakado_kawajima_higashimatsuyama_etc,817,4623,18,6021,448,14,11941
32,ageo_konosu_okegawa_kitamoto_etc,799,8660,68,5161,197,0,14885
33,kuki_kazo_hanyu_gyoda_etc,4594,16094,56,26891,643,1,48280
34,kumagaya_fukaya_ogawa_yorii_etc,3184,62542,332,4310,9618,258,80243
35,honjo_kamikawa_kamisato,79,14251,0,2526,427,0,17282
36,chichibu_yokoze_minano_nagatoro_etc,2824,32550,165,63,0,0,35602
37,chiba_city,6544,13043,63,17425,2625,267,39967
38,ichikawa_urayasu_narashino_funabashi,3578,37274,2499,58276,838,4,102469
39,matsudo_kamagaya_kashiwa_abiko,8753,8360,221,9608,1155,0,28097
40,nagareyama_noda,3893,2691,33,4343,9365,0,20326
41,yachiyo_sakura_narita_shiroi_etc,7201,16664,71,8510,303,4,32753
42,ichihara_city,592,21923,7,5772,263,0,28558
43,kisarazu_sodegaura_kimitsu_futtsu,2695,7823,2,27872,66,58,38516
44,katsuura_otaki_tateyama_kamogawa_etc,2181,2141,57,563,7,0,4949
45,choshi_asahi_sosa_katori_etc,550,9799,51,5747,751,0,16899
46,togane_mobara_sanmu_oamishirasato_etc,1957,6108,125,7163,24,0,15377
47,tsuchiura_ishioka_omitama_kasumigaura_etc,2299,26787,186,4915,209,0,34396
48,koga_shimotsuma_yachiyo_goka_etc,894,14699,42,8362,1094,0,25091
49,tsukuba_city,796,5508,10,1424,881,114,8734
50,joso_bando,437,8725,0,2271,0,616,12049
51,ryugasaki_toride_ushiku_moriya_etc,1932,6251,81,3186,384,0,11834
52,inashiki_miho_kawachi,212,1841,174,600,0,0,2827
53,kashima_kamisu_namegata_itako,71458,26548,32,75029,0,0,173068
54,mito_hitachi_kasama_hitachinaka_etc,16851,19659,242,6944,98,35,43830
55,yuki_chikusei_sakuragawa,983,5988,5,1875,0,0,8851
56,maebashi_takasaki_isesaki_shibukawa_etc,8665,42351,492,20761,19212,3,91484
57,kiryu_ota_tatebayashi_midori_etc,2634,37742,17,9508,1083,62,51047
58,utsunomiya_kanuma_moka_kaminokawa_etc,4727,19946,0,12351,1119,25,38169
59,tochigi_oyama_shimotsuke_nogi_etc,4800,30035,1051,5796,1526,0,43208
60,ashikaga_sano,15229,19941,243,1612,55,0,37081
