zone_id,generated_tons,generated_trucks,attracted_tons,attracted_trucks,facility_type
MFS01,51981.6,13592,95113.9,10164,RESIDENTIAL
MFS02,117189.6,34356,88762.1,26863,MEDIUM_WAREHOUSE
MFS03,44499.8,7870,71470.1,5718,RESIDENTIAL
MFS04,121846.6,27400,106772.2,21983,MIXED
MFS05,38005.4,6681,46390.1,5399,MIXED
MFS06,75535.7,11758,69785.8,11982,MIXED
MFS07,96323.0,18896,67916.6,14804,MEDIUM_WAREHOUSE
MFS08,95399.0,18775,98250.2,14399,MIXED
MFS09,49193.8,9097,57752.6,9056,MIXED
MFS10,43401.6,6643,27772.8,6008,MEDIUM_WAREHOUSE
MFS11,27978.7,6582,35893.4,7043,MIXED
MFS12,46786.1,10977,47393.3,11721,MIXED
MFS13,47979.4,6349,43100.6,5582,MIXED
MFS14,52187.5,7623,58460.2,7333,MIXED
MFS15,71802.7,12066,41257.9,9281,MEDIUM_WAREHOUSE
MFS16,65329.4,18207,45920.2,12180,MEDIUM_WAREHOUSE
MFS17,34869.1,4923,24298.6,3879,MEDIUM_WAREHOUSE
MFS18,61147.7,9170,49246.6,9487,MIXED
MFS19,8785.9,2342,13131.4,2283,RESIDENTIAL
MFS20,5639.0,849,8442.7,602,RESIDENTIAL
MFS21,53296.3,9489,42815.5,8049,MIXED
MFS22,25264.8,3880,20692.3,10093,MIXED
MFS23,14023.7,2463,18295.2,2189,MIXED
MFS24,18770.4,3309,10549.4,1778,MEDIUM_WAREHOUSE
MFS25,74236.8,13237,55160.2,11399,MEDIUM_WAREHOUSE
MFS26,67251.4,8095,49489.4,6874,MEDIUM_WAREHOUSE
MFS27,108731.0,13673,93265.9,11046,MIXED
MFS28,105584.2,16525,59753.8,14363,MEDIUM_WAREHOUSE
MFS29,119201.3,28318,107157.6,33166,MIXED
MFS30,112189.4,20191,78423.8,17639,MEDIUM_WAREHOUSE
MFS31,20665.9,3725,11895.8,2352,MEDIUM_WAREHOUSE
MFS32,53269.9,5380,24599.5,4124,LOGISTICS_HUB
MFS33,40265.3,5559,33718.1,5576,MIXED
MFS34,62958.7,13986,54938.4,12263,MIXED
MFS35,57066.2,9848,35370.7,10553,MEDIUM_WAREHOUSE
MFS36,20977.4,2393,9472.3,3128,LOGISTICS_HUB
MFS37,14678.4,2675,7117.4,1638,LOGISTICS_HUB
MFS38,54748.3,10501,43406.9,8721,MIXED
MFS39,104845.0,22139,65994.7,17168,MEDIUM_WAREHOUSE
MFS40,59938.6,7063,42488.2,7215,MEDIUM_WAREHOUSE
MFS41,25697.8,5645,22112.6,4750,MIXED
MFS42,62557.4,11917,49801.0,9610,MIXED
MFS43,26965.0,6326,15908.6,2843,MEDIUM_WAREHOUSE
MFS44,25132.8,4553,26305.0,5542,MIXED
MFS45,19425.1,1654,11299.2,1175,MEDIUM_WAREHOUSE
MFS46,24235.2,3442,18775.7,4189,MIXED
MFS47,34462.6,6585,21325.9,7513,MEDIUM_WAREHOUSE
MFS48,56173.9,9238,32836.3,7444,MEDIUM_WAREHOUSE
MFS49,31109.8,6352,25317.6,5793,MIXED
MFS50,16399.7,3310,19050.2,2450,MIXED
MFS51,24097.9,3292,15433.4,2757,MEDIUM_WAREHOUSE
MFS52,24208.8,4040,26151.8,3258,MIXED
MFS53,8627.5,1212,6489.1,791,MEDIUM_WAREHOUSE
MFS54,57372.5,10970,24842.4,4151,LOGISTICS_HUB
MFS55,71412.0,12604,56369.3,9050,MIXED
MFS56,22234.1,3767,17519.0,2366,MIXED
MFS57,124660.8,25696,95473.0,18993,MEDIUM_WAREHOUSE
MFS58,73339.2,13037,68317.9,12053,MIXED
MFS59,97241.8,15084,58877.3,11007,MEDIUM_WAREHOUSE
MFS60,60741.1,9211,41400.5,8173,MEDIUM_WAREHOUSE
MFS61,42926.4,9761,23797.0,4214,MEDIUM_WAREHOUSE
MFS62,0.0,0,390.7,76,RESIDENTIAL
MFS63,2360.2,436,7106.9,1382,RESIDENTIAL
MFS64,5449.0,1006,22609.0,4397,RESIDENTIAL
MFS65,1103.5,204,6346.6,1234,RESIDENTIAL
MFS66,15.8,3,559.7,109,RESIDENTIAL
MFS67,59986.1,11075,125574.2,24422,RESIDENTIAL
MFS68,23960.6,4423,46569.6,9057,RESIDENTIAL
MFS69,18744.0,3463,50566.6,9834,RESIDENTIAL
MFS70,28997.8,5355,54325.9,10566,RESIDENTIAL
MFS71,154799.0,28585,286160.2,55654,RESIDENTIAL
