large_zone,region,tokyo_chiyoda_chuo_minato,tokyo_meguro_shinagawa_ota,tokyo_toshima_bunkyo_shinjuku_shibuya,tokyo_arakawa_taito_sumida_koto,tokyo_nakano_suginami_setagaya,tokyo_nerima_itabashi_kita,tokyo_adachi_katsushika_edogawa,chofu_nishitokyo_fuchu_musashino_etc,machida_tama_hachioji_inagi_etc,mizuho_fussa_hamura_akiruno_etc,yokohama_nishi_naka,yokohama_isogo_minami_kanazawa_konan,yokohama_hodogaya_totsuka_sakae_izumi_etc,yokohama_kohoku_tsuzuki_midori_aoba,yokohama_tsurumi_kanagawa,kawasaki_kawasaki_saiwai_nakahara,kawasaki_takatsu_miyamae_tama_asao,sagamihara_city,yokosuka_miura,kamakura_zushi_hayama,fujisawa_chigasaki_samukawa,hiratsuka_oiso_ninomiya,odawara_manazuru_yugawara_hakone,minami_ashigara_nakai_oi_matsuda_etc,atsugi_hadano_kiyokawa_isehara_etc,zama_yamato_ebina_ayase,saitama_city,kawaguchi_warabi_toda,asaka_wako_niiza_tokorozawa_etc,soka_kasukabe_misato_koshigaya_etc,hanno_hidaka_moroyama_ogose_etc,tsurugashima_sakado_kawajima_higashimatsuyama_etc,ageo_konosu_okegawa_kitamoto_etc,kuki_kazo_hanyu_gyoda_etc,kumagaya_fukaya_ogawa_yorii_etc,honjo_kamikawa_kamisato,chichibu_yokoze_minano_nagatoro_etc,chiba_city,ichikawa_urayasu_narashino_funabashi,matsudo_kamagaya_kashiwa_abiko,nagareyama_noda,yachiyo_sakura_narita_shiroi_etc,ichihara_city,kisarazu_sodegaura_kimitsu_futtsu,katsuura_otaki_tateyama_kamogawa_etc,choshi_asahi_sosa_katori_etc,togane_mobara_sanmu_oamishirasato_etc,tsuchiura_ishioka_omitama_kasumigaura_etc,koga_shimotsuma_yachiyo_goka_etc,tsukuba_city,joso_bando,ryugasaki_toride_ushiku_moriya_etc,inashiki_miho_kawachi,kashima_kamisu_namegata_itako,mito_hitachi_kasama_hitachinaka_etc,yuki_chikusei_sakuragawa,maebashi_takasaki_isesaki_shibukawa_etc,kiryu_ota_tatebayashi_midori_etc,utsunomiya_kanuma_moka_kaminokawa_etc,tochigi_oyama_shimotsuke_nogi_etc,ashikaga_sano,tokyo_islands,ibaraki_north,tochigi_north,gunma_north,gunma_other_ueno_kanna_nanmoku,hokkaido_tohoku,hokuriku,yamanashi_nagano,shizuoka,chubu_west,overseas,unknown,all_regions
0,tokyo_chiyoda_chuo_minato,3063,494,943,644,107,70,281,65,56,3,65,28,22,76,38,72,29,16,10,18,13,8,0,0,15,17,67,29,124,32,6,7,16,24,3,0,7,88,117,31,8,23,3,10,3,5,6,3,3,9,9,0,6,10,30,0,47,3,60,12,3,0,0,21,3,0,418,140,83,71,1438,91,623,9842
1,tokyo_meguro_shinagawa_ota,827,2893,462,556,325,232,231,418,194,27,120,147,135,345,214,371,119,160,37,10,117,54,30,3,176,249,156,180,222,204,16,49,75,124,53,7,5,149,312,115,34,184,21,103,11,54,32,93,21,22,9,18,10,32,56,20,140,90,120,64,48,0,5,37,0,0,1502,396,534,314,3317,457,4332,22194
2,tokyo_toshima_bunkyo_shinjuku_shibuya,540,92,1498,685,347,849,111,318,35,57,126,35,14,13,49,9,35,5,3,4,7,9,2,0,7,0,268,169,268,52,0,13,39,3,2,0,0,10,97,62,9,74,0,54,0,0,3,37,3,18,0,35,0,0,7,36,32,52,82,40,109,0,0,1,36,0,543,39,134,78,698,28,447,8425
3,tokyo_arakawa_taito_sumida_koto,2567,641,1203,4930,255,564,1020,324,176,26,133,61,82,82,90,90,20,57,24,7,46,77,29,3,306,176,256,475,350,445,25,84,42,99,40,13,9,135,605,162,131,175,39,16,5,23,58,135,117,48,7,37,7,17,78,62,78,58,51,50,112,3,18,93,0,0,746,418,100,310,2248,213,1895,23076
4,tokyo_nakano_suginami_setagaya,268,446,559,73,1866,74,64,992,149,3,66,11,30,324,13,22,48,23,15,3,16,3,39,0,53,9,71,77,42,89,0,6,41,26,12,3,0,4,41,58,0,47,4,7,3,6,5,3,3,20,0,9,0,3,13,0,3,4,20,4,0,3,3,9,0,0,114,56,65,89,785,15,266,7201
5,tokyo_nerima_itabashi_kita,581,227,1134,716,581,2353,461,460,118,9,6,23,46,45,22,24,73,35,5,12,10,31,20,0,17,71,260,629,507,195,27,83,280,154,39,14,9,15,92,153,164,72,0,0,0,20,5,21,8,16,10,49,9,4,4,9,80,27,49,0,149,0,24,5,0,0,500,128,282,208,1589,23,1314,14308
6,tokyo_adachi_katsushika_edogawa,1101,290,1435,2988,126,713,2848,265,119,19,140,48,56,66,114,118,19,39,28,7,46,17,3,2,64,85,179,446,296,899,26,32,33,131,79,14,8,212,446,190,86,126,55,24,5,4,83,30,31,35,68,39,3,60,58,24,85,45,50,95,94,0,13,63,0,0,451,187,163,180,1233,36,1070,18240
7,chofu_nishitokyo_fuchu_musashino_etc,440,294,498,233,490,348,125,5717,1229,859,33,61,28,122,92,124,105,172,28,39,70,19,5,5,150,109,164,189,781,169,41,66,19,63,52,7,0,80,196,91,35,54,12,10,15,24,14,40,14,7,25,28,4,23,30,13,96,34,60,26,5,0,3,17,4,0,519,164,230,165,1025,62,1997,18063
8,machida_tama_hachioji_inagi_etc,141,134,212,118,121,57,29,823,2579,330,42,82,56,284,68,53,128,370,38,13,38,54,16,13,57,197,61,38,151,39,34,3,15,22,7,10,4,28,44,18,8,17,15,5,3,0,0,12,49,14,15,10,2,2,29,4,54,58,23,18,44,0,6,32,0,0,279,107,312,201,815,70,586,9316
9,mizuho_fussa_hamura_akiruno_etc,75,78,116,110,117,81,44,1057,456,1655,15,36,96,77,29,76,24,148,20,0,35,6,0,3,52,25,51,40,431,75,68,17,26,57,30,3,12,40,112,27,0,15,12,7,5,3,3,21,89,9,25,1,1,7,27,28,80,72,17,9,5,0,0,5,6,0,462,107,334,81,845,19,505,8220
