large_zone,region,tokyo_chiyoda_chuo_minato,tokyo_meguro_shinagawa_ota,tokyo_toshima_bunkyo_shinjuku_shibuya,tokyo_arakawa_taito_sumida_koto,tokyo_nakano_suginami_setagaya,tokyo_nerima_itabashi_kita,tokyo_adachi_katsushika_edogawa,chofu_nishitokyo_fuchu_musashino_etc,machida_tama_hachioji_inagi_etc,mizuho_fussa_hamura_akiruno_etc,yokohama_nishi_naka,yokohama_isogo_minami_kanazawa_konan,yokohama_hodogaya_totsuka_sakae_izumi_etc,yokohama_kohoku_tsuzuki_midori_aoba,yokohama_tsurumi_kanagawa,kawasaki_kawasaki_saiwai_nakahara,kawasaki_takatsu_miyamae_tama_asao,sagamihara_city,yokosuka_miura,kamakura_zushi_hayama,fujisawa_chigasaki_samukawa,hiratsuka_oiso_ninomiya,odawara_manazuru_yugawara_hakone,minami_ashigara_nakai_oi_matsuda_etc,atsugi_hadano_kiyokawa_isehara_etc,zama_yamato_ebina_ayase,saitama_city,kawaguchi_warabi_toda,asaka_wako_niiza_tokorozawa_etc,soka_kasukabe_misato_koshigaya_etc,hanno_hidaka_moroyama_ogose_etc,tsurugashima_sakado_kawajima_higashimatsuyama_etc,ageo_konosu_okegawa_kitamoto_etc,kuki_kazo_hanyu_gyoda_etc,kumagaya_fukaya_ogawa_yorii_etc,honjo_kamikawa_kamisato,chichibu_yokoze_minano_nagatoro_etc,chiba_city,ichikawa_urayasu_narashino_funabashi,matsudo_kamagaya_kashiwa_abiko,nagareyama_noda,yachiyo_sakura_narita_shiroi_etc,ichihara_city,kisarazu_sodegaura_kimitsu_futtsu,katsuura_otaki_tateyama_kamogawa_etc,choshi_asahi_sosa_katori_etc,togane_mobara_sanmu_oamishirasato_etc,tsuchiura_ishioka_omitama_kasumigaura_etc,koga_shimotsuma_yachiyo_goka_etc,tsukuba_city,joso_bando,ryugasaki_toride_ushiku_moriya_etc,inashiki_miho_kawachi,kashima_kamisu_namegata_itako,mito_hitachi_kasama_hitachinaka_etc,yuki_chikusei_sakuragawa,maebashi_takasaki_isesaki_shibukawa_etc,kiryu_ota_tatebayashi_midori_etc,utsunomiya_kanuma_moka_kaminokawa_etc,tochigi_oyama_shimotsuke_nogi_etc,ashikaga_sano,tokyo_islands,ibaraki_north,tochigi_north,gunma_north,gunma_other_ueno_kanna_nanmoku,hokkaido_tohoku,hokuriku,yamanashi_nagano,shizuoka,chubu_west,overseas,unknown,all_regions
0,tokyo_chiyoda_chuo_minato,11537,348,2604,1535,91,49,57,87,10,1,30,33,64,38,26,31,11,19,0,1,21,1,0,0,1,4,34,20,44,4,0,0,1,44,0,0,0,20,149,14,25,33,5,4,0,1,0,0,24,0,0,0,24,20,1,0,6,0,2,3,2,0,0,162,0,0,175,7,22,95,418,244,610,18811
1,tokyo_meguro_shinagawa_ota,1942,9337,225,1721,342,351,537,262,373,22,113,229,206,197,363,875,162,145,28,0,80,105,7,0,250,270,107,508,332,658,4,93,315,451,45,22,0,231,880,133,73,325,8,442,1,47,29,569,10,8,103,26,26,91,111,110,356,596,303,655,87,0,5,52,0,0,2006,96,133,653,8081,5866,20196,62984
2,tokyo_toshima_bunkyo_shinjuku_shibuya,191,27,396,187,34,936,146,46,8,6,1,0,1,3,7,0,1,0,0,0,0,0,0,0,0,0,124,209,320,68,0,17,71,0,0,0,0,2,4,3,1,25,0,1,0,0,0,142,0,0,0,1,0,0,0,142,12,178,1,3,286,0,0,0,107,0,1369,1,287,193,340,12,527,6437
3,tokyo_arakawa_taito_sumida_koto,9962,2854,1128,18667,412,564,2217,161,265,34,121,53,9,34,19,34,11,106,33,2,10,13,6,2,157,75,99,469,306,1808,33,26,7,169,142,52,35,97,1391,155,137,145,47,65,9,5,42,37,93,25,50,8,5,24,110,101,52,9,67,286,169,3,24,29,0,0,789,980,78,1686,3707,3017,3123,56662
4,tokyo_nakano_suginami_setagaya,156,488,1053,54,4181,7,14,3347,128,0,24,11,23,299,15,25,14,1,1,0,12,0,1,0,13,11,58,66,9,48,0,0,1,57,3,0,0,0,0,1,0,7,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,9,2,7,38,33,0,343,10583
5,tokyo_nerima_itabashi_kita,175,112,330,448,1069,4759,299,176,73,131,1,3,5,29,4,12,16,0,28,0,11,8,6,0,0,2,142,967,786,154,6,87,368,62,41,29,0,7,86,166,2,62,0,0,0,0,13,5,2,10,1,163,0,1,3,1,35,19,15,0,2,0,2,6,0,0,330,83,17,100,1052,8,869,13396
6,tokyo_adachi_katsushika_edogawa,661,461,1566,4036,127,1476,4739,840,182,87,109,52,81,28,246,583,23,35,38,2,79,17,0,3,68,387,214,1061,323,979,150,18,17,161,36,13,40,227,1773,95,167,483,181,55,0,7,42,25,18,66,26,74,0,354,197,1,30,8,108,62,157,0,8,50,0,0,860,236,67,217,1193,20,2455,28203
7,chofu_nishitokyo_fuchu_musashino_etc,151,503,445,687,345,950,411,10744,3653,1066,41,136,90,114,135,237,146,146,24,1,49,32,12,1,196,385,459,365,1098,404,57,60,18,223,93,4,0,144,298,134,31,53,11,18,3,91,4,25,12,0,21,43,0,37,43,28,165,31,122,17,5,0,1,12,0,0,430,81,420,112,656,161,4758,31449
8,machida_tama_hachioji_inagi_etc,331,258,150,116,538,23,7,4284,6901,784,12,47,181,1043,115,102,150,646,14,2,19,350,14,9,22,1408,24,27,170,82,110,1,1,30,12,0,0,5,16,0,2,7,14,0,0,0,0,3,218,0,1,2,0,0,5,0,12,298,4,1,1,0,12,57,0,0,244,38,223,195,238,145,543,20268
9,mizuho_fussa_hamura_akiruno_etc,27,50,14,300,284,396,76,5338,3486,7407,10,57,517,21,8,295,137,115,2,0,115,5,0,10,137,36,43,132,1523,744,79,28,364,38,68,0,0,11,554,4,0,162,1,0,0,0,13,30,77,1,101,0,4,0,7,63,55,84,19,18,3,0,0,0,0,0,242,93,147,251,428,71,998,25302
