industry,office,factory,store,logistics,other,office_share,factory_share,store_share,logistics_share,other_share
chemical_manufacturing,2856.0,8202.0,71.0,225.0,169.0,0.02918067291285646,0.12956731908440358,0.0060839760068551844,0.011450381679389313,0.027209789083883433
steel_manufacturing,580.0,1776.0,6.0,44.0,14.0,0.005926047020117908,0.02805554239135586,0.0005141388174807198,0.002239185750636132,0.0022540653678956688
metal_product_manufacturing,1868.0,8133.0,67.0,93.0,84.0,0.019085958333759055,0.1284773233496043,0.005741216795201371,0.004732824427480916,0.013524392207374013
machinery_manufacturing,7072.0,16731.0,93.0,193.0,228.0,0.07225690435564457,0.26430027012937773,0.007969151670951156,0.009821882951653944,0.036709064562872325
light_misc_manufacturing,8982.0,17749.0,1242.0,553.0,486.0,0.09177199023223974,0.2803816564775761,0.106426735218509,0.028142493638676845,0.07824826919980679
road_freight_transport,14355.0,0.0,175.0,6624.0,1622.0,0.14666966374791823,0.0,0.014995715509854327,0.3370992366412214,0.2611495733376268
water_transport,349.0,0.0,19.0,25.0,28.0,0.003565845534519224,0.0,0.0016281062553556128,0.001272264631043257,0.0045081307357913375
air_transport,129.0,0.0,0.0,13.0,21.0,0.0013180345958538106,0.0,0.0,0.0006615776081424936,0.0033810980518435034
warehousing,837.0,0.0,12.0,3024.0,176.0,0.00855189888937705,0.0,0.0010282776349614395,0.15389312977099237,0.028336821767831265
transport_related_services,2360.0,0.0,115.0,812.0,388.0,0.024112880978410797,0.0,0.00985432733504713,0.04132315521628499,0.06246981162453711
raw_material_wholesale,8741.0,1545.0,1280.0,1822.0,299.0,0.08930961552215626,0.024406426235723425,0.10968294772922023,0.09272264631043257,0.048140396071486076
product_wholesale,36357.0,2470.0,5597.0,4766.0,1120.0,0.3714711922593565,0.039018687897887934,0.4796058269065981,0.24254452926208653,0.18032522943165352
service_industry,12564.0,6198.0,2754.0,976.0,1416.0,0.12837043924269206,0.09791005165631961,0.2359897172236504,0.04966921119592875,0.22798261149573337
other,823.0,499.0,239.0,480.0,160.0,0.008408856375098342,0.00788272277775145,0.02047986289631534,0.024427480916030534,0.02576074706166479
