zone_id,zone_type,name,center_lon,center_lat,radius_km,jobs_weight,shops_weight,nightlife_weight,residential_weight,transport_hub
Z01,hub,CHIBA PORT,140.0572,35.5785,3.0,0.5,0.4,0.2,0.3,1
Z02,residential,YOTSUKAIDO,140.1671,35.6581,3.0,0.2,0.4,0.2,0.9,0
Z03,residential,YACHIYO,140.1170,35.7130,3.0,0.2,0.3,0.1,0.9,0
Z04,residential,ICHIHARA,140.0869,35.5108,3.0,0.2,0.3,0.1,0.9,0
Z05,residential,SAKURA,140.2305,35.7121,1.8,0.2,0.3,0.1,1.0,0
Z06,residential,SHISUI,140.2632,35.7181,1.8,0.2,0.3,0.1,1.0,0
Z07,residential,KAMAGAYA,140.0108,35.7551,3.0,0.2,0.3,0.1,1.0,0
Z08,residential,URAYASU,139.8914,35.6600,3.0,0.2,0.3,0.1,1.0,0
Z09,residential,SHIROI,140.0584,35.7955,3.0,0.2,0.3,0.1,1.0,0
Z10,residential,NAGARA,140.2337,35.4282,3.0,0.2,0.3,0.1,1.0,0
Z11,hub,TOKYO PORT,139.8338,35.5818,3.0,0.5,0.4,0.2,0.3,1
Z12,residential,SODEGAURA,139.9536,35.4211,3.0,0.2,0.3,0.1,1.0,0
Z13,residential,MOBARA,140.2912,35.4261,3.0,0.2,0.3,0.1,1.0,0
Z14,hub,NARITA INTERNATIONAL AIRPORT,140.3804,35.7643,3.0,0.5,0.3,0.2,0.1,1
Z15,hub,TOKYO INTL,139.7780,35.5500,3.0,0.5,0.3,0.2,0.1,1
Z16,hub,KAWASAKI PORT,139.8035,35.4820,3.0,0.5,0.4,0.2,0.3,1
Z17,hub,KISARAZU PORT,139.8313,35.3957,3.0,0.5,0.4,0.2,0.3,1
Z18,hub,IBARAKI,140.4145,36.1825,3.0,0.5,0.3,0.2,0.1,1
ZS01,hub,Shinagawa Station Area,139.7404,35.6309,1.5,0.7,0.5,0.3,0.2,1
ZS02,hub,Tokyo Station Area,139.7652,35.6753,1.5,0.7,0.5,0.3,0.2,1
ZS03,hub,Ueno Station Area,139.7720,35.7280,1.5,0.7,0.5,0.3,0.2,1
ZP01,mixed,Mutsuzawa,140.3176,35.3565,2.0,0.3,0.4,0.2,0.7,0
ZP02,mixed,Kisarazu,139.9267,35.3814,2.0,0.6,0.6,0.4,0.5,0
ZP03,mixed,Chonan,140.2236,35.3928,2.0,0.3,0.4,0.2,0.7,0
ZP04,mixed,Ichinomiya,140.3625,35.3712,2.0,0.3,0.4,0.2,0.7,0
ZP05,mixed,Chosei,140.3466,35.4092,2.0,0.3,0.4,0.2,0.7,0
ZP06,mixed,Shirako,140.3825,35.4399,2.0,0.3,0.4,0.2,0.7,0
ZP07,mixed,Kujukuri,140.4422,35.5259,2.0,0.3,0.4,0.2,0.7,0
ZP08,mixed,Togane,140.3651,35.5466,2.0,0.6,0.6,0.4,0.5,0
ZP09,mixed,Sanmu,140.4089,35.6062,2.0,0.3,0.4,0.2,0.7,0
ZP10,mixed,Shibayama,140.4121,35.6931,2.0,0.3,0.4,0.2,0.7,0
ZP11,mixed,Oamishirasato,140.3155,35.5220,2.0,0.6,0.6,0.4,0.5,0
ZP12,mixed,Yachimata,140.3160,35.6525,2.0,0.6,0.6,0.4,0.5,0
ZP13,mixed,Narita,140.3134,35.7773,2.0,0.6,0.6,0.4,0.5,0
ZP14,mixed,Misato,139.8724,35.8199,2.0,0.6,0.6,0.4,0.5,0
ZP15,mixed,Inzai,140.1407,35.8339,2.0,0.6,0.6,0.4,0.5,0
ZP16,mixed,Sakae,140.2374,35.8374,2.0,0.6,0.6,0.4,0.5,0
ZP17,mixed,Nagareyama,139.9015,35.8545,2.0,0.6,0.6,0.4,0.5,0
ZP18,mixed,Kashiwa,139.9633,35.8545,2.0,0.6,0.6,0.4,0.5,0
ZP19,mixed,Tone,140.1429,35.8560,2.0,0.6,0.6,0.4,0.5,0
ZP20,mixed,Abiko,140.0139,35.8705,2.0,0.6,0.6,0.4,0.5,0
ZP21,mixed,Tomisato,140.3429,35.7246,2.0,0.6,0.6,0.4,0.5,0
ZP22,mixed,Kozaki,140.4015,35.8996,2.0,0.3,0.4,0.2,0.7,0
ZP23,mixed,Yashio,139.8386,35.8182,2.0,0.6,0.6,0.4,0.5,0
ZP24,mixed,Soka,139.7964,35.8298,2.0,0.3,0.4,0.2,0.7,0
ZP25,mixed,Hatogaya,139.7352,35.8311,2.0,0.3,0.4,0.2,0.7,0
ZP26,mixed,Koshigaya,139.7827,35.8873,2.0,0.3,0.4,0.2,0.7,0
ZP27,mixed,Yoshikawa,139.8419,35.8911,2.0,0.3,0.4,0.2,0.7,0
ZP28,mixed,Matsubushi,139.8144,35.9193,2.0,0.3,0.4,0.2,0.7,0
ZP29,mixed,Kawachi,140.2416,35.8767,2.0,0.3,0.4,0.2,0.7,0
ZP30,mixed,Toride,140.0716,35.8944,2.0,0.6,0.6,0.4,0.5,0
