zone_id,zone_type,name,center_lon,center_lat,radius_km,jobs_weight,shops_weight,nightlife_weight,residential_weight,transport_hub
Z01,hub,Kyoto Station,135.7587,34.9856,1.5,0.9,0.8,0.5,0.2,1
Z02,commercial,Kawaramachi/Shijo,135.77,35.0036,1.2,0.6,1.0,0.9,0.2,1
Z03,nightlife,Gion/Hanamikoji,135.7752,35.0036,0.8,0.3,0.7,1.0,0.1,0
Z04,commercial,Nishiki Market/Teramachi,135.765,35.005,0.8,0.4,1.0,0.5,0.1,0
Z05,business,Karasuma Oike,135.759,35.011,1.0,0.8,0.6,0.3,0.2,0
Z06,mixed,Sanjo/Keihan,135.771,35.009,1.0,0.5,0.7,0.6,0.3,0
Z07,commercial,Kiyomizu-Gojo Area,135.779,34.995,1.0,0.3,0.7,0.4,0.3,0
Z08,mixed,Nijo Castle Area,135.7479,35.0144,1.0,0.4,0.6,0.3,0.5,0
Z09,mixed,Kitaoji/Shimogamo,135.761,35.047,1.2,0.4,0.5,0.3,0.7,0
Z10,commercial,Kinkakuji Area,135.7293,35.0393,1.2,0.3,0.6,0.3,0.5,0
Z11,commercial,Arashiyama,135.673,35.0106,1.5,0.2,0.7,0.4,0.4,0
Z12,mixed,Fushimi Inari/Fukakusa,135.7716,34.9671,1.2,0.3,0.5,0.3,0.6,0
Z13,mixed,Toji/Kujo,135.75,34.981,1.0,0.4,0.5,0.3,0.6,0
Z14,residential,Kamigyo-ku,135.756,35.03,1.2,0.3,0.5,0.2,0.8,0
Z15,residential,Nakagyo-ku North,135.758,35.018,1.0,0.5,0.6,0.3,0.5,0
Z16,residential,Sakyo-ku South,135.781,35.025,1.5,0.4,0.5,0.3,0.7,0
Z17,residential,Sakyo-ku North/Ichijoji,135.79,35.05,1.5,0.3,0.4,0.2,0.8,0
Z18,residential,Ukyo-ku,135.71,35.015,2.0,0.3,0.4,0.2,0.8,0
Z19,residential,Nishikyo-ku,135.69,34.99,2.0,0.3,0.4,0.2,0.9,0
Z20,residential,Minami-ku,135.75,34.965,1.5,0.3,0.4,0.2,0.8,0
Z21,residential,Fushimi-ku Central,135.76,34.94,1.5,0.4,0.5,0.3,0.7,0
Z22,residential,Yamashina-ku,135.813,34.975,1.5,0.3,0.4,0.2,0.8,1
Z23,mixed,Takaragaike/Kokusaikaikan,135.785,35.063,1.5,0.4,0.4,0.2,0.6,1
Z24,residential,Katsura,135.713,34.98,1.2,0.3,0.5,0.2,0.8,0
Z25,commercial,Shugakuin/Eizan Line,135.794,35.045,1.0,0.3,0.5,0.3,0.7,0
Z26,mixed,Daigo/醍醐,135.82,34.951,1.5,0.3,0.4,0.2,0.8,0
Z27,mixed,Uji,135.8031,34.8919,2.0,0.4,0.5,0.3,0.7,0
Z28,residential,Muko,135.7008,34.9394,1.2,0.3,0.3,0.1,0.9,0
Z29,residential,Nagaokakyo,135.6902,34.9195,1.2,0.3,0.4,0.2,0.9,0
Z30,residential,Oyamazaki,135.6855,34.9043,1.0,0.2,0.3,0.1,0.9,0
Z31,residential,Kumiyama,135.7356,34.8798,1.5,0.2,0.3,0.1,0.9,0
Z32,residential,Yawata,135.7008,34.8694,1.5,0.3,0.3,0.1,0.9,0
Z33,residential,Joyo,135.7789,34.8504,1.5,0.3,0.3,0.2,0.9,0
Z34,residential,Kyotanabe,135.767,34.813,1.5,0.3,0.3,0.2,0.9,0
Z35,mixed,Otsu,135.86,35.0087,2.0,0.4,0.5,0.3,0.7,0
Z36,residential,Seta/Otsu South,135.9109,34.9776,2.0,0.3,0.3,0.1,0.9,0
Z37,mixed,Kusatsu,135.959,34.991,1.5,0.4,0.5,0.3,0.7,0
Z38,residential,Shimamoto,135.6723,34.878,1.2,0.2,0.3,0.1,0.9,0
Z39,residential,Kameoka,135.578,35.013,2.0,0.3,0.3,0.2,0.8,0
Z40,residential,Ujitawara,135.8538,34.8504,2.0,0.2,0.2,0.1,0.9,0
Z41,hub,Osaka Intl Airport,135.432,34.7912,2.5,0.5,0.3,0.2,0.1,1
Z43,commercial,Pontocho/Kiyamachi,135.77,35.006,0.5,0.3,0.7,1.0,0.1,0
Z44,mixed,Kyoto Gosho/Imperial Palace,135.762,35.025,1.0,0.3,0.4,0.2,0.5,0
Z45,commercial,Higashiyama/Maruyama Park,135.783,35.001,1.0,0.2,0.6,0.4,0.3,0
Z46,commercial,Philosopher's Path/Nanzenji,135.794,35.011,1.0,0.2,0.5,0.3,0.4,0
Z47,mixed,Nishijin,135.745,35.035,1.0,0.3,0.5,0.2,0.7,0
Z48,mixed,Tofukuji/Sennyuji,135.774,34.977,1.0,0.3,0.5,0.3,0.6,0
Z49,residential,Seika/Hosono,135.782,34.762,1.5,0.3,0.3,0.1,0.9,0
Z50,residential,Kizugawa,135.82,34.73,2.0,0.2,0.3,0.1,0.9,0
ZS01,hub,Demachiyanagi Station,135.772,35.03,1.0,0.4,0.5,0.3,0.4,1
ZP01,residential,Wazuka,135.897,34.8,2.0,0.1,0.2,0.1,0.9,0
ZP02,residential,Ide,135.787,34.785,2.0,0.2,0.3,0.1,0.9,0
Z42,mixed,Takeda/Keihan Fushimi,135.7650,34.9550,1.2,0.3,0.4,0.2,0.7,0
