zone_id,zone_type,name,center_lon,center_lat,radius_km,jobs_weight,shops_weight,nightlife_weight,residential_weight,transport_hub
Z01,business,NAGOYA,136.8815,35.1691,2.7,1.0,0.7,0.5,0.1,1
Z02,mixed,OHARU,136.8206,35.1744,2.4,0.4,0.6,0.4,0.6,0
Z03,residential,AMA,136.7838,35.1944,2.4,0.2,0.3,0.1,0.9,0
Z04,residential,KANIE,136.7869,35.1335,3.0,0.2,0.3,0.1,0.9,0
Z05,hub,NAGOYA,136.9236,35.2561,3.0,0.5,0.3,0.2,0.1,1
Z06,residential,KASUGAI,136.9739,35.2377,3.0,0.2,0.3,0.1,0.9,0
Z07,residential,INAZAWA,136.7965,35.2502,3.0,0.2,0.3,0.1,0.9,0
Z08,residential,IWAKURA,136.8651,35.2792,3.0,0.2,0.3,0.1,0.9,0
Z09,residential,TOBISHIMA,136.7956,35.0823,3.0,0.2,0.3,0.1,0.9,0
Z10,residential,TSUSHIMA,136.7414,35.1772,2.6,0.2,0.3,0.1,0.9,0
Z11,residential,OWARIASAHI,137.0329,35.2102,2.6,0.2,0.3,0.1,1.0,0
Z12,residential,NISSHIN,137.0414,35.1255,3.0,0.2,0.3,0.1,1.0,0
Z13,residential,NAGAKUTE,137.0519,35.1748,2.6,0.2,0.3,0.1,1.0,0
Z14,residential,YATOMI,136.7217,35.1147,2.9,0.2,0.3,0.1,1.0,0
Z15,residential,KISOSAKI,136.7318,35.0719,2.9,0.2,0.3,0.1,1.0,0
Z16,residential,OGUCHI,136.9074,35.3271,2.5,0.2,0.3,0.1,1.0,0
Z17,residential,TOKAI,136.8859,35.0115,3.0,0.2,0.3,0.1,1.0,0
Z18,residential,TOYOAKE,137.0190,35.0474,3.0,0.2,0.3,0.1,1.0,0
Z19,residential,KONAN,136.8641,35.3396,2.5,0.2,0.3,0.1,1.0,0
Z20,residential,SETO,137.0846,35.2163,2.8,0.2,0.3,0.1,1.0,0
Z21,hub,NAGOYA PORT,136.7941,35.0134,3.0,0.5,0.4,0.2,0.3,1
Z22,residential,ONISHI,136.7547,35.3105,3.0,0.2,0.3,0.1,1.0,0
Z23,residential,OBU,136.9614,35.0072,3.0,0.2,0.3,0.1,1.0,0
Z24,residential,HASHIMA,136.7004,35.3240,3.0,0.2,0.3,0.1,1.0,0
Z25,residential,CHIRYU,137.0467,35.0028,3.0,0.2,0.3,0.1,1.0,0
Z26,residential,TOYOTA,137.1544,35.0849,3.0,0.2,0.3,0.1,1.0,0
Z27,residential,TAJIMI,137.1268,35.3269,3.0,0.2,0.3,0.1,1.0,0
Z28,hub,MIKAWAANJO,137.0672,34.9612,3.0,0.6,0.5,0.3,0.4,1
Z29,hub,YOKKAICHI PORT,136.6622,34.9564,3.0,0.5,0.4,0.2,0.3,1
Z30,hub,CYUBU INTL,136.8122,34.8588,3.0,0.5,0.3,0.2,0.1,1
ZS01,hub,Gifu-Hashima Station Area,136.6811,35.3193,1.5,0.7,0.5,0.3,0.2,1
ZP01,residential,Kota,137.1648,34.8595,2.0,0.2,0.3,0.1,0.9,0
ZP02,residential,Nishio,137.0560,34.8690,2.0,0.2,0.3,0.1,0.9,0
ZP03,residential,Taketoyo,136.9182,34.8529,2.0,0.2,0.3,0.1,0.9,0
ZP04,residential,Hekinan,136.9868,34.8771,2.0,0.2,0.3,0.1,0.9,0
ZP05,residential,Tokoname,136.8433,34.8875,2.0,0.2,0.3,0.1,0.9,0
ZP06,residential,Takahama,136.9847,34.9186,2.0,0.2,0.3,0.1,0.9,0
ZP07,residential,Agui,136.9129,34.9255,2.0,0.2,0.3,0.1,0.9,0
ZP08,mixed,Higashiura,136.9636,34.9756,2.0,0.3,0.4,0.2,0.7,0
ZP09,mixed,Kariya,136.9899,34.9808,2.0,0.3,0.4,0.2,0.7,0
ZP10,residential,Anjo,137.0951,34.9572,2.0,0.2,0.3,0.1,0.9,0
ZP11,mixed,Miyoshi,137.0742,35.0911,2.0,0.3,0.4,0.2,0.7,0
ZP12,mixed,Togo,137.0551,35.0918,2.0,0.3,0.4,0.2,0.7,0
ZP13,mixed,Chita,136.8675,34.9869,2.0,0.3,0.4,0.2,0.7,0
ZP14,residential,Kawagoe,136.6739,35.0231,2.0,0.2,0.3,0.1,0.9,0
ZP15,residential,Asahi,136.6634,35.0345,2.0,0.2,0.3,0.1,0.9,0
ZP16,mixed,Kuwana,136.6803,35.0596,2.0,0.3,0.4,0.2,0.7,0
ZP17,mixed,Kiyosu,136.8500,35.1985,2.0,0.6,0.6,0.4,0.5,0
ZP18,residential,Kaizu,136.6307,35.2181,2.0,0.2,0.3,0.1,0.9,0
ZP19,mixed,Toyoyama,136.9093,35.2516,2.0,0.3,0.4,0.2,0.7,0
ZP20,mixed,Kitanagoya,136.8613,35.2546,2.0,0.3,0.4,0.2,0.7,0
ZP21,mixed,Aisai,136.7319,35.1543,2.0,0.3,0.4,0.2,0.7,0
ZP22,residential,Wanouchi,136.6333,35.2812,2.0,0.2,0.3,0.1,0.9,0
ZP23,mixed,Komaki,136.9227,35.2874,2.0,0.3,0.4,0.2,0.7,0
ZP24,residential,Anpachi,136.6693,35.3367,2.0,0.2,0.3,0.1,0.9,0
ZP25,residential,Fuso,136.9106,35.3574,2.0,0.2,0.3,0.1,0.9,0
ZP26,residential,Kasamatsu,136.7597,35.3660,2.0,0.2,0.3,0.1,0.9,0
ZP27,residential,Inuyama,136.9401,35.3755,2.0,0.2,0.3,0.1,0.9,0
ZP28,residential,Gifu,136.7242,35.3828,2.0,0.2,0.3,0.1,0.9,0
ZP29,residential,Toki,137.1891,35.3537,2.0,0.2,0.3,0.1,0.9,0
ZR01,hub,Kinuura Port,136.9497,34.8641,2.0,0.4,0.2,0.1,0.2,1
