zone_id,zone_type,name,center_lon,center_lat,radius_km,jobs_weight,shops_weight,nightlife_weight,residential_weight,transport_hub
Z01,hub,Shin-Osaka Station,135.5011,34.7331,1.5,0.8,0.6,0.3,0.2,1
Z02,hub,Osaka/Umeda Station,135.4983,34.7024,1.5,0.9,0.9,0.6,0.1,1
Z03,commercial,Namba,135.5013,34.6687,1.5,0.6,1.0,1.0,0.2,1
Z04,nightlife,Dotonbori/Shinsaibashi,135.5024,34.6748,1.0,0.4,1.0,1.0,0.1,0
Z05,commercial,Tennoji/Abeno,135.5159,34.6469,1.5,0.6,0.8,0.5,0.4,1
Z06,business,Honmachi/Semba,135.506,34.687,1.2,1.0,0.7,0.4,0.1,0
Z07,business,Yodoyabashi/Kitahama,135.503,34.692,1.0,0.9,0.5,0.3,0.1,0
Z08,commercial,Tenmabashi/OAP,135.517,34.696,1.2,0.6,0.7,0.5,0.3,1
Z09,mixed,Tsuruhashi/Korea Town,135.528,34.668,1.0,0.4,0.8,0.7,0.4,0
Z10,commercial,Shinsekai/Tsutenkaku,135.506,34.652,0.8,0.3,0.8,0.8,0.3,0
Z11,mixed,Nishi-ku/Utsubo Park,135.488,34.685,1.0,0.5,0.6,0.4,0.5,0
Z12,commercial,Fukushima/OCAT,135.485,34.694,1.0,0.6,0.7,0.5,0.3,0
Z13,hub,Osaka Intl Airport (Itami),135.432,34.7912,2.5,0.5,0.3,0.2,0.1,1
Z14,hub,Kansai Intl Airport,135.2417,34.431,3.0,0.5,0.3,0.2,0.1,1
Z15,hub,Osaka Port/Tempozan,135.429,34.6654,1.5,0.4,0.6,0.5,0.2,1
Z16,hub,Cosmosquare/ATC,135.42,34.645,1.5,0.5,0.5,0.3,0.2,1
Z17,residential,Higashi-Osaka,135.6008,34.6794,2.0,0.3,0.4,0.2,0.9,0
Z18,residential,Yao,135.599,34.5985,1.5,0.4,0.4,0.2,0.8,0
Z19,residential,Kadoma,135.5879,34.7371,1.5,0.3,0.4,0.2,0.9,0
Z20,residential,Settsu,135.5622,34.7772,1.5,0.3,0.3,0.1,0.9,0
Z21,residential,Daito,135.6227,34.7034,1.5,0.3,0.3,0.2,0.9,0
Z22,residential,Neyagawa,135.6195,34.7622,1.5,0.3,0.3,0.1,0.9,0
Z23,residential,Shijonawate,135.6335,34.7404,1.2,0.2,0.3,0.1,0.9,0
Z24,mixed,Moriguchi,135.564,34.737,1.2,0.4,0.5,0.3,0.7,0
Z25,mixed,Suita/Expo Park,135.527,34.805,1.5,0.5,0.6,0.3,0.6,0
Z26,residential,Toyonaka,135.47,34.78,1.5,0.4,0.5,0.3,0.7,0
Z27,residential,Ibaraki,135.572,34.8158,1.5,0.3,0.4,0.2,0.9,0
Z28,residential,Takatsuki,135.6195,34.8469,1.5,0.4,0.5,0.2,0.8,1
Z29,residential,Hirakata,135.6523,34.8089,1.5,0.3,0.4,0.2,0.9,0
Z30,residential,Mino,135.4718,34.8218,1.5,0.3,0.4,0.2,0.9,0
Z31,residential,Ikeda,135.4301,34.8216,1.2,0.3,0.4,0.2,0.9,0
Z32,mixed,Sakai/Sakai-Higashi,135.484,34.573,2.0,0.5,0.6,0.3,0.6,1
Z33,residential,Matsubara,135.5573,34.5755,1.5,0.2,0.3,0.1,0.9,0
Z34,residential,Fujiidera,135.589,34.5755,1.2,0.2,0.3,0.1,0.9,0
Z35,residential,Kashiwara,135.6238,34.5868,1.2,0.2,0.3,0.1,0.9,0
Z36,residential,Habikino,135.6143,34.5496,1.5,0.2,0.3,0.1,0.9,0
Z37,mixed,Izumi,135.4296,34.4813,1.5,0.3,0.4,0.2,0.8,0
Z38,residential,Osakasayama,135.5563,34.496,1.5,0.3,0.3,0.1,0.9,0
Z39,residential,Tondabayashi,135.6059,34.5003,1.5,0.2,0.3,0.1,0.9,0
Z40,hub,Sakai-Senboku Port,135.3882,34.5774,2.0,0.4,0.3,0.1,0.3,1
Z41,hub,Kobe Sannomiya,135.1958,34.6932,1.5,0.7,0.8,0.7,0.2,1
Z42,hub,Shin-Kobe Station,135.1958,34.7071,1.2,0.6,0.5,0.3,0.2,1
Z43,hub,Kobe Port/Meriken,135.185,34.677,1.5,0.4,0.5,0.4,0.2,1
Z44,commercial,Motomachi/Nankinmachi,135.188,34.688,1.0,0.4,0.8,0.6,0.2,0
Z45,mixed,Rokko Island/Portopia,135.238,34.695,1.5,0.5,0.5,0.3,0.4,0
Z46,mixed,Amagasaki Station,135.428,34.733,1.5,0.5,0.6,0.4,0.5,1
Z47,residential,Nishinomiya,135.346,34.7365,1.5,0.3,0.5,0.3,0.8,0
Z48,residential,Ashiya,135.303,34.727,1.2,0.2,0.4,0.2,0.9,0
Z49,residential,Takarazuka,135.3504,34.8071,1.5,0.3,0.4,0.3,0.8,0
Z50,residential,Kawanishi,135.4161,34.83,1.5,0.2,0.3,0.2,0.9,0
Z51,residential,Katano,135.6786,34.7994,1.2,0.2,0.3,0.1,0.9,0
Z52,mixed,Ikoma,135.7082,34.6896,1.5,0.3,0.4,0.2,0.8,0
Z53,hub,Hannan Port,135.3309,34.4854,2.0,0.4,0.3,0.1,0.3,1
Z54,residential,Izumisano,135.3252,34.4121,1.5,0.3,0.3,0.1,0.9,0
Z55,residential,Kawachinagano,135.5753,34.4485,1.5,0.2,0.3,0.1,0.9,0
Z56,commercial,Nishi-Umeda/Hilton,135.492,34.699,0.8,0.7,0.8,0.5,0.1,0
Z57,business,Nakanoshima,135.492,34.692,1.0,1.0,0.4,0.2,0.1,0
Z58,mixed,Tennoji-ku South/Shitennoji,135.517,34.653,1.0,0.4,0.5,0.3,0.5,0
Z59,commercial,Osaka Business Park,135.533,34.688,1.0,0.8,0.5,0.3,0.2,0
Z60,nightlife,Kitashinchi,135.497,34.698,0.6,0.5,0.6,1.0,0.1,0
Z61,mixed,Nishinari/Shin-Imamiya,135.501,34.641,1.0,0.3,0.5,0.5,0.6,0
Z62,residential,Sumiyoshi-ku,135.5,34.612,1.5,0.3,0.4,0.2,0.8,0
Z63,residential,Hirano-ku,135.552,34.625,1.5,0.3,0.4,0.2,0.9,0
Z64,mixed,USJ Area,135.433,34.666,1.2,0.3,0.7,0.6,0.1,0
Z65,residential,Sanda,135.2248,34.8797,2.0,0.2,0.3,0.1,0.9,0
ZS01,hub,Shin-Kobe Station Area,135.1958,34.7071,1.5,0.7,0.5,0.3,0.2,1
ZP01,residential,Heguri,135.6994,34.6285,2.0,0.2,0.3,0.1,0.9,0
ZP02,residential,Kumiyama,135.7356,34.8798,2.0,0.2,0.3,0.1,0.9,0
ZP03,residential,Yawata,135.7008,34.8694,2.0,0.2,0.3,0.1,0.9,0
ZP04,residential,Shimamoto,135.6723,34.878,2.0,0.2,0.3,0.1,0.9,0
ZP05,residential,Tajiri,135.2933,34.3859,2.0,0.2,0.3,0.1,0.9,0
ZP06,residential,Kumatori,135.3624,34.3994,2.0,0.2,0.3,0.1,0.9,0
ZR01,hub,Osaka Port South,135.3506,34.6298,2.0,0.4,0.2,0.1,0.2,1
