parameter_name,mu_star,sigma,rank_by_mu_star,n_effects
APP_PREFERRED share,22.9079,22.6014,1,4
LOCAL street share,0.00000,0.00000,4,4
APP_PREFERRED app share,0.00000,0.00000,5,4
HUB stand share,0.00000,0.00000,6,4
AT_STAND mean wait airport,0.00000,0.00000,7,4
AT_STAND mean wait station,0.00000,0.00000,8,4
Empty leg sigma,0.694737,0.968974,3,4
Loaded leg sigma,1.07632,1.28393,2,4
Attractiveness beta1 jobs,0.00000,0.00000,9,4
Attractiveness beta2 shops,0.00000,0.00000,10,4
Attractiveness beta3 nightlife,0.00000,0.00000,11,4
Attractiveness beta4 residential,0.00000,0.00000,12,4
