zone_id,zone_type,name,center_lon,center_lat,radius_km,jobs_weight,shops_weight,nightlife_weight,residential_weight,transport_hub
Z01,business,Marunouchi/Tokyo Station,139.7673,35.6809,1.5,1.0,0.5,0.2,0.1,1
Z02,business,Otemachi,139.7649,35.6866,1.0,1.0,0.4,0.1,0.1,0
Z03,commercial,Shinjuku,139.7005,35.6762,2.0,0.6,1.0,1.0,0.3,1
Z04,commercial,Shibuya,139.7103,35.6586,1.5,0.5,1.0,1.0,0.2,1
Z05,nightlife,Roppongi,139.7308,35.6642,1.2,0.4,0.7,1.0,0.2,0
Z06,commercial,Ginza,139.7638,35.6719,1.5,0.7,1.0,0.8,0.1,0
Z07,hub,Haneda Airport,139.7798,35.5494,2.5,0.5,0.4,0.3,0.1,1
Z08,mixed,Ueno,139.8107,35.7100,1.5,0.5,0.8,0.6,0.4,1
Z09,commercial,Ikebukuro,139.7111,35.7295,1.5,0.5,0.9,0.7,0.3,1
Z10,residential,Setagaya,139.6533,35.6464,2.5,0.2,0.4,0.1,1.0,0
Z11,residential,Meguro,139.6983,35.6336,1.5,0.3,0.5,0.3,0.9,0
Z12,mixed,Koto,139.8173,35.6729,2.0,0.4,0.5,0.2,0.8,0
Z13,hub,Shinagawa Station,139.7403,35.6284,1.5,0.8,0.6,0.3,0.2,1
Z14,business,Akasaka,139.7368,35.6747,1.0,0.9,0.6,0.7,0.2,0
Z15,commercial,Aoyama,139.7217,35.6657,1.2,0.5,0.9,0.5,0.3,0
Z16,commercial,Harajuku/Omotesando,139.7026,35.6702,1.0,0.3,1.0,0.6,0.1,0
Z17,mixed,Ebisu,139.7101,35.6467,1.0,0.4,0.8,0.8,0.3,0
Z18,residential,Shinagawa Ward,139.7305,35.6089,2.0,0.4,0.5,0.2,0.8,0
Z19,commercial,Akihabara,139.7737,35.6983,1.2,0.6,0.9,0.4,0.1,1
Z20,nightlife,Kabukicho,139.7014,35.6946,0.8,0.3,0.7,1.0,0.1,0
Z21,mixed,Nakano,139.6648,35.7062,1.5,0.4,0.7,0.5,0.6,0
