poi_id,name,lon,lat,zone_id,facility_type,capacity_level
CEN_LOG_000001,Census logistics 51365493,136.543750,34.495833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000002,Census logistics 51365547,136.718750,34.454167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000003,Census logistics 51365595,136.693750,34.495833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000004,Census logistics 51365687,136.843750,34.487500,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000005,Census logistics 51367367,136.468750,34.637500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000006,Census logistics 51365731,136.893750,34.445833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000007,Census logistics 51367383,136.418750,34.654167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000008,Census logistics 51367411,136.518750,34.595833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000009,Census logistics 51367414,136.556250,34.595833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000010,Census logistics 51366505,136.693750,34.504167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000011,Census logistics 51366517,136.718750,34.512500,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000012,Census logistics 51366529,136.743750,34.520833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000013,Census logistics 51366543,136.668750,34.537500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000014,Census logistics 51366564,136.681250,34.554167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000015,Census logistics 51367415,136.568750,34.595833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000016,Census logistics 51367462,136.531250,34.637500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000017,Census logistics 51367470,136.506250,34.645833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000018,Census logistics 51367483,136.543750,34.654167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000019,Census logistics 51366349,136.493750,34.537500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000020,Census logistics 51366721,136.893750,34.520833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000021,Census logistics 51366472,136.531250,34.562500,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000022,Census logistics 51377038,137.106250,34.612500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000023,Census logistics 51377059,137.118750,34.629167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000024,Census logistics 51367068,136.106250,34.637500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000025,Census logistics 51366484,136.556250,34.570833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000026,Census logistics 51387184,138.181250,34.654167,MFS70,LOGISTICS_HUB,low
CEN_LOG_000027,Census logistics 51367210,136.256250,34.595833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000028,Census logistics 51367358,136.481250,34.629167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000029,Census logistics 51377283,137.293750,34.654167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000030,Census logistics 51377685,137.818750,34.654167,MFS70,LOGISTICS_HUB,medium
CEN_LOG_000031,Census logistics 51377690,137.756250,34.662500,MFS70,LOGISTICS_HUB,low
CEN_LOG_000032,Census logistics 51387134,138.181250,34.612500,MFS70,LOGISTICS_HUB,low
CEN_LOG_000033,Census logistics 51387136,138.206250,34.612500,MFS70,LOGISTICS_HUB,low
CEN_LOG_000034,Census logistics 51387750,138.881250,34.629167,MFS70,LOGISTICS_HUB,low
CEN_LOG_000035,Census logistics 52340771,134.893750,34.729167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000036,Census logistics 52340792,134.906250,34.745833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000037,Census logistics 52340793,134.918750,34.745833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000038,Census logistics 52341424,134.556250,34.770833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000039,Census logistics 52340686,134.831250,34.737500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000040,Census logistics 52340708,134.981250,34.670833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000041,Census logistics 52340721,134.893750,34.687500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000042,Census logistics 52340726,134.956250,34.687500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000043,Census logistics 52340745,134.943750,34.704167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000044,Census logistics 52341533,134.668750,34.779167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000045,Census logistics 52341311,134.393750,34.762500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000046,Census logistics 52341543,134.668750,34.787500,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000047,Census logistics 52341548,134.731250,34.787500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000048,Census logistics 52341560,134.631250,34.804167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000049,Census logistics 52341313,134.418750,34.762500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000050,Census logistics 52342245,134.318750,34.870833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000051,Census logistics 52341562,134.656250,34.804167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000052,Census logistics 52341588,134.731250,34.820833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000053,Census logistics 52341337,134.468750,34.779167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000054,Census logistics 52341632,134.781250,34.779167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000055,Census logistics 52341636,134.831250,34.779167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000056,Census logistics 52341640,134.756250,34.787500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000057,Census logistics 52341722,134.906250,34.770833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000058,Census logistics 52341733,134.918750,34.779167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000059,Census logistics 52341390,134.381250,34.829167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000060,Census logistics 52341746,134.956250,34.787500,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000061,Census logistics 52341755,134.943750,34.795833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000062,Census logistics 52341788,134.981250,34.820833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000063,Census logistics 52342521,134.643750,34.854167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000064,Census logistics 52342558,134.731250,34.879167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_000065,Census logistics 52342659,134.868750,34.879167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000066,Census logistics 52342677,134.843750,34.895833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000067,Census logistics 52342771,134.893750,34.895833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000068,Census logistics 52342784,134.931250,34.904167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000069,Census logistics 52342798,134.981250,34.912500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000070,Census logistics 52342396,134.456250,34.912500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000071,Census logistics 52343473,134.543750,34.979167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000072,Census logistics 52343305,134.443750,34.920833,MFS71,LOGISTICS_HUB,low
CEN_LOG_000073,Census logistics 52343519,134.743750,34.929167,MFS71,LOGISTICS_HUB,low
CEN_LOG_000074,Census logistics 52342431,134.518750,34.862500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000075,Census logistics 52343329,134.493750,34.937500,MFS71,LOGISTICS_HUB,low
CEN_LOG_000076,Census logistics 52343536,134.706250,34.945833,MFS71,LOGISTICS_HUB,low
