poi_id,name,lon,lat,zone_id,facility_type,capacity_level
CEN_MAN_000001,Census manufacturing 51365493,136.543750,34.495833,MFS71,INDUSTRIAL,medium
CEN_MAN_000002,Census manufacturing 51365547,136.718750,34.454167,MFS71,INDUSTRIAL,low
CEN_MAN_000003,Census manufacturing 51365595,136.693750,34.495833,MFS71,INDUSTRIAL,high
CEN_MAN_000004,Census manufacturing 51365687,136.843750,34.487500,MFS71,INDUSTRIAL,medium
CEN_MAN_000005,Census manufacturing 51366500,136.631250,34.504167,MFS71,INDUSTRIAL,low
CEN_MAN_000006,Census manufacturing 51367367,136.468750,34.637500,MFS71,INDUSTRIAL,low
CEN_MAN_000007,Census manufacturing 51365731,136.893750,34.445833,MFS71,INDUSTRIAL,low
CEN_MAN_000008,Census manufacturing 51365732,136.906250,34.445833,MFS71,INDUSTRIAL,low
CEN_MAN_000009,Census manufacturing 51367383,136.418750,34.654167,MFS71,INDUSTRIAL,low
CEN_MAN_000010,Census manufacturing 51367411,136.518750,34.595833,MFS71,INDUSTRIAL,medium
CEN_MAN_000011,Census manufacturing 51367414,136.556250,34.595833,MFS71,INDUSTRIAL,medium
CEN_MAN_000012,Census manufacturing 51366505,136.693750,34.504167,MFS71,INDUSTRIAL,medium
CEN_MAN_000013,Census manufacturing 51366517,136.718750,34.512500,MFS71,INDUSTRIAL,medium
CEN_MAN_000014,Census manufacturing 51366529,136.743750,34.520833,MFS71,INDUSTRIAL,medium
CEN_MAN_000015,Census manufacturing 51366543,136.668750,34.537500,MFS71,INDUSTRIAL,medium
CEN_MAN_000016,Census manufacturing 51366564,136.681250,34.554167,MFS71,INDUSTRIAL,low
CEN_MAN_000017,Census manufacturing 51367415,136.568750,34.595833,MFS71,INDUSTRIAL,medium
CEN_MAN_000018,Census manufacturing 51367462,136.531250,34.637500,MFS71,INDUSTRIAL,low
CEN_MAN_000019,Census manufacturing 51367470,136.506250,34.645833,MFS71,INDUSTRIAL,low
CEN_MAN_000020,Census manufacturing 51367483,136.543750,34.654167,MFS71,INDUSTRIAL,medium
CEN_MAN_000021,Census manufacturing 51366131,136.143750,34.529167,MFS71,INDUSTRIAL,low
CEN_MAN_000022,Census manufacturing 51366349,136.493750,34.537500,MFS71,INDUSTRIAL,low
CEN_MAN_000023,Census manufacturing 51366721,136.893750,34.520833,MFS71,INDUSTRIAL,low
CEN_MAN_000024,Census manufacturing 51367016,136.081250,34.595833,MFS71,INDUSTRIAL,low
CEN_MAN_000025,Census manufacturing 51366472,136.531250,34.562500,MFS71,INDUSTRIAL,high
CEN_MAN_000026,Census manufacturing 51377038,137.106250,34.612500,MFS71,INDUSTRIAL,low
CEN_MAN_000027,Census manufacturing 51377059,137.118750,34.629167,MFS71,INDUSTRIAL,low
CEN_MAN_000028,Census manufacturing 51367068,136.106250,34.637500,MFS71,INDUSTRIAL,low
CEN_MAN_000029,Census manufacturing 51366484,136.556250,34.570833,MFS71,INDUSTRIAL,medium
CEN_MAN_000030,Census manufacturing 51377148,137.231250,34.620833,MFS71,INDUSTRIAL,low
CEN_MAN_000031,Census manufacturing 51377188,137.231250,34.654167,MFS71,INDUSTRIAL,low
CEN_MAN_000032,Census manufacturing 51387184,138.181250,34.654167,MFS70,INDUSTRIAL,low
CEN_MAN_000033,Census manufacturing 51367161,136.143750,34.637500,MFS71,INDUSTRIAL,low
CEN_MAN_000034,Census manufacturing 51367210,136.256250,34.595833,MFS71,INDUSTRIAL,low
CEN_MAN_000035,Census manufacturing 51367358,136.481250,34.629167,MFS71,INDUSTRIAL,medium
CEN_MAN_000036,Census manufacturing 51377283,137.293750,34.654167,MFS71,INDUSTRIAL,low
CEN_MAN_000037,Census manufacturing 51377685,137.818750,34.654167,MFS70,INDUSTRIAL,medium
CEN_MAN_000038,Census manufacturing 51377690,137.756250,34.662500,MFS70,INDUSTRIAL,low
CEN_MAN_000039,Census manufacturing 51387134,138.181250,34.612500,MFS70,INDUSTRIAL,low
CEN_MAN_000040,Census manufacturing 51387136,138.206250,34.612500,MFS70,INDUSTRIAL,medium
CEN_MAN_000041,Census manufacturing 51387750,138.881250,34.629167,MFS70,INDUSTRIAL,low
CEN_MAN_000042,Census manufacturing 52340771,134.893750,34.729167,MFS71,INDUSTRIAL,medium
CEN_MAN_000043,Census manufacturing 52340792,134.906250,34.745833,MFS71,INDUSTRIAL,high
CEN_MAN_000044,Census manufacturing 52340793,134.918750,34.745833,MFS71,INDUSTRIAL,medium
CEN_MAN_000045,Census manufacturing 52341424,134.556250,34.770833,MFS71,INDUSTRIAL,low
CEN_MAN_000046,Census manufacturing 52340686,134.831250,34.737500,MFS71,INDUSTRIAL,medium
CEN_MAN_000047,Census manufacturing 52340708,134.981250,34.670833,MFS71,INDUSTRIAL,high
