poi_id,name,lon,lat,zone_id,facility_type,capacity_level
CEN_RET_000001,Census retail 51365493,136.543750,34.495833,MFS71,SMALL_RETAIL,low
CEN_RET_000002,Census retail 51365547,136.718750,34.454167,MFS71,SMALL_RETAIL,low
CEN_RET_000003,Census retail 51365595,136.693750,34.495833,MFS71,SMALL_RETAIL,medium
CEN_RET_000004,Census retail 51365687,136.843750,34.487500,MFS71,SMALL_RETAIL,low
CEN_RET_000005,Census retail 51367367,136.468750,34.637500,MFS71,SMALL_RETAIL,low
CEN_RET_000006,Census retail 51367411,136.518750,34.595833,MFS71,SMALL_RETAIL,low
CEN_RET_000007,Census retail 51367414,136.556250,34.595833,MFS71,SMALL_RETAIL,low
CEN_RET_000008,Census retail 51366505,136.693750,34.504167,MFS71,SMALL_RETAIL,low
CEN_RET_000009,Census retail 51366517,136.718750,34.512500,MFS71,SMALL_RETAIL,low
CEN_RET_000010,Census retail 51366529,136.743750,34.520833,MFS71,SMALL_RETAIL,low
CEN_RET_000011,Census retail 51366543,136.668750,34.537500,MFS71,SMALL_RETAIL,low
CEN_RET_000012,Census retail 51367415,136.568750,34.595833,MFS71,SMALL_RETAIL,low
CEN_RET_000013,Census retail 51367470,136.506250,34.645833,MFS71,SMALL_RETAIL,low
CEN_RET_000014,Census retail 51367483,136.543750,34.654167,MFS71,SMALL_RETAIL,low
CEN_RET_000015,Census retail 51366349,136.493750,34.537500,MFS71,SMALL_RETAIL,low
CEN_RET_000016,Census retail 51366472,136.531250,34.562500,MFS71,SMALL_RETAIL,medium
CEN_RET_000017,Census retail 51377059,137.118750,34.629167,MFS71,SMALL_RETAIL,low
CEN_RET_000018,Census retail 51367068,136.106250,34.637500,MFS71,SMALL_RETAIL,low
CEN_RET_000019,Census retail 51366484,136.556250,34.570833,MFS71,SMALL_RETAIL,low
CEN_RET_000020,Census retail 51387184,138.181250,34.654167,MFS70,SMALL_RETAIL,low
CEN_RET_000021,Census retail 51367210,136.256250,34.595833,MFS71,SMALL_RETAIL,low
CEN_RET_000022,Census retail 51367358,136.481250,34.629167,MFS71,SMALL_RETAIL,low
CEN_RET_000023,Census retail 51377283,137.293750,34.654167,MFS71,SMALL_RETAIL,low
CEN_RET_000024,Census retail 51377685,137.818750,34.654167,MFS70,SMALL_RETAIL,low
CEN_RET_000025,Census retail 51387136,138.206250,34.612500,MFS70,SMALL_RETAIL,low
CEN_RET_000026,Census retail 51387750,138.881250,34.629167,MFS70,SMALL_RETAIL,low
CEN_RET_000027,Census retail 52340771,134.893750,34.729167,MFS71,SMALL_RETAIL,low
CEN_RET_000028,Census retail 52340792,134.906250,34.745833,MFS71,SMALL_RETAIL,medium
