poi_id,name,lon,lat,zone_id,facility_type,capacity_level
CEN_WHO_000001,Census wholesale 51365493,136.543750,34.495833,MFS71,MEDIUM_WAREHOUSE,medium
CEN_WHO_000002,Census wholesale 51365547,136.718750,34.454167,MFS71,MEDIUM_WAREHOUSE,medium
CEN_WHO_000003,Census wholesale 51365595,136.693750,34.495833,MFS71,MEDIUM_WAREHOUSE,high
CEN_WHO_000004,Census wholesale 51365687,136.843750,34.487500,MFS71,MEDIUM_WAREHOUSE,high
CEN_WHO_000005,Census wholesale 51366500,136.631250,34.504167,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000006,Census wholesale 51367367,136.468750,34.637500,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000007,Census wholesale 51365731,136.893750,34.445833,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000008,Census wholesale 51365732,136.906250,34.445833,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000009,Census wholesale 51367383,136.418750,34.654167,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000010,Census wholesale 51367411,136.518750,34.595833,MFS71,MEDIUM_WAREHOUSE,high
CEN_WHO_000011,Census wholesale 51367414,136.556250,34.595833,MFS71,MEDIUM_WAREHOUSE,medium
CEN_WHO_000012,Census wholesale 51366505,136.693750,34.504167,MFS71,MEDIUM_WAREHOUSE,medium
CEN_WHO_000013,Census wholesale 51366517,136.718750,34.512500,MFS71,MEDIUM_WAREHOUSE,high
CEN_WHO_000014,Census wholesale 51366529,136.743750,34.520833,MFS71,MEDIUM_WAREHOUSE,medium
CEN_WHO_000015,Census wholesale 51366543,136.668750,34.537500,MFS71,MEDIUM_WAREHOUSE,medium
CEN_WHO_000016,Census wholesale 51366564,136.681250,34.554167,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000017,Census wholesale 51367415,136.568750,34.595833,MFS71,MEDIUM_WAREHOUSE,medium
CEN_WHO_000018,Census wholesale 51367462,136.531250,34.637500,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000019,Census wholesale 51367470,136.506250,34.645833,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000020,Census wholesale 51367483,136.543750,34.654167,MFS71,MEDIUM_WAREHOUSE,medium
CEN_WHO_000021,Census wholesale 51366131,136.143750,34.529167,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000022,Census wholesale 51366349,136.493750,34.537500,MFS71,MEDIUM_WAREHOUSE,medium
CEN_WHO_000023,Census wholesale 51366721,136.893750,34.520833,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000024,Census wholesale 51367016,136.081250,34.595833,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000025,Census wholesale 51366472,136.531250,34.562500,MFS71,MEDIUM_WAREHOUSE,high
CEN_WHO_000026,Census wholesale 51377038,137.106250,34.612500,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000027,Census wholesale 51377059,137.118750,34.629167,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000028,Census wholesale 51367068,136.106250,34.637500,MFS71,MEDIUM_WAREHOUSE,medium
CEN_WHO_000029,Census wholesale 51366484,136.556250,34.570833,MFS71,MEDIUM_WAREHOUSE,medium
CEN_WHO_000030,Census wholesale 51377148,137.231250,34.620833,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000031,Census wholesale 51377188,137.231250,34.654167,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000032,Census wholesale 51387184,138.181250,34.654167,MFS70,MEDIUM_WAREHOUSE,low
CEN_WHO_000033,Census wholesale 51367161,136.143750,34.637500,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000034,Census wholesale 51367210,136.256250,34.595833,MFS71,MEDIUM_WAREHOUSE,low
CEN_WHO_000035,Census wholesale 51367358,136.481250,34.629167,MFS71,MEDIUM_WAREHOUSE,medium
CEN_WHO_000036,Census wholesale 51377283,137.293750,34.654167,MFS71,MEDIUM_WAREHOUSE,medium
CEN_WHO_000037,Census wholesale 51377685,137.818750,34.654167,MFS70,MEDIUM_WAREHOUSE,high
CEN_WHO_000038,Census wholesale 51377690,137.756250,34.662500,MFS70,MEDIUM_WAREHOUSE,low
CEN_WHO_000039,Census wholesale 51387134,138.181250,34.612500,MFS70,MEDIUM_WAREHOUSE,low
CEN_WHO_000040,Census wholesale 51387136,138.206250,34.612500,MFS70,MEDIUM_WAREHOUSE,medium
CEN_WHO_000041,Census wholesale 51387750,138.881250,34.629167,MFS70,MEDIUM_WAREHOUSE,low
