region,sub_region,factory,logistics,office,store,other
tokyo_chiyoda_chuo_minato,tokyo_ward_coastal,2330,1475,309,24,353
tokyo_meguro_shinagawa_ota,tokyo_ward_coastal,2850,2788,2288,33,337
tokyo_toshima_bunkyo_shinjuku_shibuya,tokyo_ward_inland,205,195,613,69,298
tokyo_arakawa_taito_sumida_koto,tokyo_ward_coastal,3548,4245,951,781,418
tokyo_nakano_suginami_setagaya,tokyo_ward_inland,1586,449,142,433,176
tokyo_nerima_itabashi_kita,tokyo_ward_inland,2425,9001,419,63,164
tokyo_adachi_katsushika_edogawa,tokyo_ward_coastal,2161,1175,783,91,271
chofu_nishitokyo_fuchu_musashino_etc,tokyo_tama,3073,1520,1196,337,209
machida_tama_hachioji_inagi_etc,tokyo_tama,3650,266,510,83,92
mizuho_fussa_hamura_akiruno_etc,tokyo_tama,4603,357,542,28,52
yokohama_nishi_naka,yokohama_city,238,2631,1435,11,2397
yokohama_isogo_minami_kanazawa_konan,yokohama_city,5873,2819,466,11,764
yokohama_hodogaya_totsuka_sakae_izumi_etc,yokohama_city,3671,393,75,16,40
yokohama_kohoku_tsuzuki_midori_aoba,yokohama_city,1739,443,51,18,12
yokohama_tsurumi_kanagawa,yokohama_city,3521,2596,119,66,4806
kawasaki_kawasaki_saiwai_nakahara,kawasaki_city,6140,2134,911,25,720
kawasaki_takatsu_miyamae_tama_asao,kawasaki_city,1217,107,420,13,560
sagamihara_city,sagamihara_city,3109,980,710,127,147
yokosuka_miura,metropolitan_area_total,594,270,77,1,17
kamakura_zushi_hayama,metropolitan_area_total,70,10,40,5,0
fujisawa_chigasaki_samukawa,metropolitan_area_total,2754,1231,889,30,117
hiratsuka_oiso_ninomiya,metropolitan_area_total,945,446,144,19,10
odawara_manazuru_yugawara_hakone,metropolitan_area_total,1150,76,123,13,12
minami_ashigara_nakai_oi_matsuda_etc,metropolitan_area_total,3618,144,43,6,110
atsugi_hadano_kiyokawa_isehara_etc,metropolitan_area_total,4114,1168,261,11,32
zama_yamato_ebina_ayase,metropolitan_area_total,3078,877,85,17,39
saitama_city,saitama_city,6839,1309,1175,489,213
kawaguchi_warabi_toda,saitama_south,6772,1639,735,16,52
asaka_wako_niiza_tokorozawa_etc,saitama_south,7136,3056,584,49,388
soka_kasukabe_misato_koshigaya_etc,saitama_south,14492,1007,553,6,1090
hanno_hidaka_moroyama_ogose_etc,saitama_south,6662,180,17,2,181
tsurugashima_sakado_kawajima_higashimatsuyama_etc,saitama_south,1886,466,129,19,77
ageo_konosu_okegawa_kitamoto_etc,saitama_south,3058,307,214,29,18
kuki_kazo_hanyu_gyoda_etc,saitama_north,3146,1705,1599,53,380
kumagaya_fukaya_ogawa_yorii_etc,saitama_north,7802,287,864,85,940
honjo_kamikawa_kamisato,saitama_north,1877,175,8,1,52
chichibu_yokoze_minano_nagatoro_etc,saitama_north,7780,25,1205,59,0
chiba_city,chiba_city,5142,1607,557,12,1512
ichikawa_urayasu_narashino_funabashi,chiba_northwest,6754,4671,1168,1080,96
matsudo_kamagaya_kashiwa_abiko,chiba_northwest,2914,909,304,67,27
nagareyama_noda,chiba_northwest,586,352,2005,8,899
yachiyo_sakura_narita_shiroi_etc,chiba_northwest,3880,768,1179,21,56
ichihara_city,chiba_southwest,8975,623,1182,1,283
kisarazu_sodegaura_kimitsu_futtsu,chiba_southwest,2075,3116,64,2,0
katsuura_otaki_tateyama_kamogawa_etc,chiba_southwest,366,32,14,12,3
choshi_asahi_sosa_katori_etc,chiba_east,2254,523,199,29,97
togane_mobara_sanmu_oamishirasato_etc,chiba_east,1667,782,416,79,19
tsuchiura_ishioka_omitama_kasumigaura_etc,ibaraki_south,5069,452,412,42,79
koga_shimotsuma_yachiyo_goka_etc,ibaraki_south,2447,394,79,27,112
tsukuba_city,ibaraki_south,1330,163,34,3,226
joso_bando,ibaraki_south,1944,287,51,0,0
ryugasaki_toride_ushiku_moriya_etc,ibaraki_south,1113,246,226,19,101
inashiki_miho_kawachi,ibaraki_south,338,78,44,22,0
kashima_kamisu_namegata_itako,ibaraki_central,21301,5252,4030,7,0
mito_hitachi_kasama_hitachinaka_etc,ibaraki_central,8584,886,1747,23,1812
yuki_chikusei_sakuragawa,ibaraki_central,2283,267,203,3,0
maebashi_takasaki_isesaki_shibukawa_etc,metropolitan_area_total,11387,1982,1581,318,1533
kiryu_ota_tatebayashi_midori_etc,metropolitan_area_total,9549,973,277,5,124
utsunomiya_kanuma_moka_kaminokawa_etc,metropolitan_area_total,4952,1095,421,0,88
tochigi_oyama_shimotsuke_nogi_etc,metropolitan_area_total,6807,1443,792,261,233
ashikaga_sano,metropolitan_area_total,11640,497,2328,33,4
