poi_id,name,lon,lat,zone_id,facility_type,capacity_level
IS001,JFE Steel East Japan Works Keihin,139.73,35.53,MFS16,INDUSTRIAL,high
IS002,Toshiba Kawasaki Complex,139.6950,35.5350,MFS16,INDUSTRIAL,high
IS003,Nippon Steel Keihin Plant,139.705,35.525,MFS16,INDUSTRIAL,high
IS004,Kawasaki Heavy Industries Keihin,139.72,35.535,MFS16,INDUSTRIAL,high
IS005,Mitsubishi Chemical Kawasaki,139.6972,35.5442,MFS16,INDUSTRIAL,medium
IS006,AGC Glass Keihin Plant,139.6980,35.5150,MFS16,INDUSTRIAL,medium
IS007,Showa Denko Kawasaki,139.713,35.52,MFS16,INDUSTRIAL,medium
IS008,Canon Kawasaki Office Factory,139.6900,35.5450,MFS16,INDUSTRIAL,medium
IS009,Ebara Corporation Haneda Works,139.7442,35.5692,MFS02,INDUSTRIAL,high
IS010,IHI Aeroengine Mizuho Plant,139.73,35.605,MFS02,INDUSTRIAL,high
IS011,Ota Ward Automotive Parts District,139.723,35.585,MFS02,INDUSTRIAL,medium
IS012,Shinagawa Metal Processing Center,139.7420,35.6150,MFS02,INDUSTRIAL,medium
IS013,Omori Industrial Park,139.725,35.595,MFS02,INDUSTRIAL,medium
IS014,Keikyu Kamata Factory Zone,139.715,35.575,MFS02,INDUSTRIAL,medium
IS015,Haneda Airport Maintenance Facility,139.755,35.56,MFS02,INDUSTRIAL,high
IS016,Ota Precision Machinery Cluster,139.71,35.59,MFS02,INDUSTRIAL,low
IS017,Tsurumi JX Nippon Oil Refinery,139.6750,35.5050,MFS15,INDUSTRIAL,high
IS018,Asahi Glass Tsurumi Works,139.6700,35.5100,MFS15,INDUSTRIAL,medium
IS019,Toshiba Tsurumi Semiconductor,139.6800,35.5150,MFS15,INDUSTRIAL,medium
IS020,Tsurumi Food Processing Center,139.6650,35.5200,MFS15,INDUSTRIAL,medium
IS021,Kirin Brewery Yokohama,139.6550,35.5000,MFS15,INDUSTRIAL,medium
IS022,Koto Ward Printing District,139.8100,35.6850,MFS04,INDUSTRIAL,medium
IS023,Sumida Small Factory Cluster,139.795,35.7,MFS04,INDUSTRIAL,medium
IS024,Shin-Kiba Timber Processing,139.8300,35.6500,MFS04,INDUSTRIAL,medium
IS025,Koto Food Processing Zone,139.8200,35.6750,MFS04,INDUSTRIAL,medium
IS026,Sumida Electronics Assembly,139.8,35.695,MFS04,INDUSTRIAL,low
IS027,Ariake Industrial Hub,139.790,35.645,MFS04,INDUSTRIAL,medium
IS028,Ojima Chemical Processing,139.8350,35.6900,MFS04,INDUSTRIAL,low
IS029,Tatsumi Industrial Park,139.8142,35.6592,MFS04,INDUSTRIAL,medium
IS030,Adachi Manufacturing Zone,139.8400,35.7500,MFS07,INDUSTRIAL,medium
IS031,Katsushika Plastics Factory Area,139.8600,35.7450,MFS07,INDUSTRIAL,medium
IS032,Adachi Metal Stamping Cluster,139.8350,35.7600,MFS07,INDUSTRIAL,low
IS033,Ayase Food Processing,139.8500,35.7550,MFS07,INDUSTRIAL,low
IS034,Hachioji Electronics Factory,139.3100,35.6550,MFS09,INDUSTRIAL,medium
IS035,Hachioji Precision Instruments,139.3300,35.6600,MFS09,INDUSTRIAL,medium
IS036,Olympus Hachioji Plant,139.3200,35.6400,MFS09,INDUSTRIAL,medium
IS037,Yokohama Central Industrial Park,139.645,35.470,MFS11,INDUSTRIAL,medium
IS038,Nissan Yokohama Plant,139.642,35.475,MFS11,INDUSTRIAL,high
IS039,Yokohama Rubber Company Works,139.628,35.46,MFS11,INDUSTRIAL,medium
IS040,Yokohama South Shipyard,139.6250,35.4050,MFS12,INDUSTRIAL,high
IS041,JFE Steel Yokohama Works,139.6300,35.4150,MFS12,INDUSTRIAL,high
IS042,Yokohama South Food Processing,139.6150,35.4200,MFS12,INDUSTRIAL,medium
IS043,Saitama Industrial Complex,139.6550,35.8650,MFS27,INDUSTRIAL,medium
IS044,Saitama Automotive Parts Center,139.6400,35.8700,MFS27,INDUSTRIAL,medium
IS045,Saitama Food Processing Park,139.6600,35.8550,MFS27,INDUSTRIAL,medium
IS046,Kawaguchi Foundry District,139.7250,35.8250,MFS28,INDUSTRIAL,medium
IS047,Kawaguchi Iron Works Zone,139.7150,35.8350,MFS28,INDUSTRIAL,medium
IS048,Warabi Metal Processing,139.7050,35.8200,MFS28,INDUSTRIAL,low
IS049,Soka Chemical Plant,139.8100,35.8850,MFS30,INDUSTRIAL,medium
IS050,Koshigaya Industrial Park,139.8292,35.8942,MFS30,INDUSTRIAL,medium
IS051,Chiba Port Industrial Zone,140.1050,35.6050,MFS38,INDUSTRIAL,high
IS052,JFE Steel Chiba Works,140.1200,35.5950,MFS38,INDUSTRIAL,high
IS053,Chiba Food Processing District,140.1350,35.6150,MFS38,INDUSTRIAL,medium
IS054,Chiba Pharmaceutical Park,140.1000,35.6200,MFS38,INDUSTRIAL,medium
IS055,Ichikawa Steel Processing,139.9100,35.7050,MFS39,INDUSTRIAL,medium
IS056,Funabashi Industrial Zone,139.9350,35.6966,MFS39,INDUSTRIAL,medium
IS057,Ichikawa Chemical Complex,139.9250,35.7100,MFS39,INDUSTRIAL,medium
IS058,Mitsui Chemicals Ichihara,140.1100,35.4950,MFS43,INDUSTRIAL,high
IS059,Sumitomo Chemical Chiba Plant,140.1250,35.5050,MFS43,INDUSTRIAL,high
IS060,Idemitsu Kosan Chiba Refinery,140.1058,35.4842,MFS43,INDUSTRIAL,high
IS061,ENEOS Ichihara Refinery,140.1350,35.5100,MFS43,INDUSTRIAL,high
IS062,Cosmo Oil Chiba Refinery,140.0942,35.4892,MFS43,INDUSTRIAL,high
IS063,Ube Industries Ichihara,140.1142,35.5142,MFS43,INDUSTRIAL,medium
IS064,Nippon Steel Kashima Works,140.6500,35.9650,MFS54,INDUSTRIAL,high
IS065,Mitsubishi Chemical Kashima,140.6350,35.9750,MFS54,INDUSTRIAL,high
IS066,Sumitomo Metal Kashima Complex,140.6450,35.9800,MFS54,INDUSTRIAL,high
IS067,Kashima Petrochemical Complex,140.6533,35.9558,MFS54,INDUSTRIAL,medium
IS068,Hitachi Ltd Hitachi Works,140.6500,36.6000,MFS55,INDUSTRIAL,high
IS069,Hitachi High-Tech Naka Plant,140.4800,36.4000,MFS55,INDUSTRIAL,medium
IS070,Mito Electronics Assembly,140.4617,36.3717,MFS55,INDUSTRIAL,medium
IS071,Subaru Gunma Yajima Plant,139.0700,36.3800,MFS57,INDUSTRIAL,high
IS072,Subaru Gunma Oizumi Plant,139.3900,36.2400,MFS58,INDUSTRIAL,high
IS073,Sanyo Electric Gunma,139.3600,36.3200,MFS58,INDUSTRIAL,medium
IS074,Kiryu Textile Industrial Area,139.3400,36.4100,MFS58,INDUSTRIAL,low
IS075,Honda Tochigi Plant,139.8700,36.5500,MFS59,INDUSTRIAL,high
IS076,Honda R&D Tochigi Proving Ground,139.9000,36.5700,MFS59,INDUSTRIAL,high
IS077,Utsunomiya Industrial Park,139.8800,36.5400,MFS59,INDUSTRIAL,medium
IS078,Kisarazu Steel Processing,139.9242,35.3942,MFS44,INDUSTRIAL,medium
IS079,Futtsu Industrial Park,139.855,35.32,MFS44,INDUSTRIAL,medium
IS080,Tsukuba Science City Manufacturing,140.1050,36.0750,MFS50,INDUSTRIAL,medium
IS081,Tsukuba High-Tech Industrial Park,140.1200,36.0850,MFS50,INDUSTRIAL,medium
IS082,CBD Tokyo Redevelopment Site A,139.7650,35.6850,MFS01,CONSTRUCTION_SITE,medium
IS083,Toranomon Construction Zone,139.7500,35.6700,MFS01,CONSTRUCTION_SITE,high
IS084,Shibuya Station Redevelopment,139.7020,35.6580,MFS01,CONSTRUCTION_SITE,high
IS085,Shinagawa Gateway Construction,139.7400,35.6280,MFS02,CONSTRUCTION_SITE,high
IS086,Yokohama Minato Mirai Construction,139.625,35.465,MFS11,CONSTRUCTION_SITE,medium
IS087,Kawasaki Station Redevelopment,139.6970,35.5320,MFS16,CONSTRUCTION_SITE,medium
IS088,Toyosu Market Expansion Site,139.778,35.65,MFS04,CONSTRUCTION_SITE,medium
IS089,Saitama New Urban Center Build,139.6300,35.8580,MFS27,CONSTRUCTION_SITE,medium
IS090,Chiba Makuhari Development,140.040,35.650,MFS39,CONSTRUCTION_SITE,medium
IS091,Shizuoka Industrial Park,138.3900,34.9750,MFS70,INDUSTRIAL,medium
IS092,Suzuki Motor Shizuoka Plant,138.3700,34.9900,MFS70,INDUSTRIAL,high
IS093,Yamaha Motor Iwata Works,137.8700,34.7200,MFS70,INDUSTRIAL,medium
IS094,Toyota Supplier Park Chubu,136.9000,35.0800,MFS71,INDUSTRIAL,high
IS095,Nagoya Port Industrial Zone,136.8808,35.0492,MFS71,INDUSTRIAL,high
IS096,Saitama Precision Manufacturing,139.6000,35.8800,MFS27,INDUSTRIAL,medium
IS097,Koshigaya Industrial Park,139.7800,35.8800,MFS27,INDUSTRIAL,medium
IS098,Kasukabe Electronics Zone,139.7400,35.9600,MFS30,INDUSTRIAL,medium
IS099,Ageo Manufacturing District,139.5800,35.9700,MFS30,INDUSTRIAL,low
IS100,Sayama Automotive Parts,139.4100,35.8500,MFS29,INDUSTRIAL,medium
IS101,Iruma Precision Works,139.3800,35.8300,MFS09,INDUSTRIAL,low
IS102,Tokorozawa Tech Park,139.4600,35.7900,MFS09,INDUSTRIAL,medium
IS103,Hanno Textile Mills,139.3100,35.8500,MFS29,INDUSTRIAL,low
IS104,Chichibu Cement Works,139.0800,35.9900,MFS60,INDUSTRIAL,medium
IS105,Kumagaya Industrial Zone,139.3800,36.1400,MFS59,INDUSTRIAL,medium
IS106,Fukaya Manufacturing Park,139.2800,36.1900,MFS59,INDUSTRIAL,medium
IS107,Honjo Industrial Complex,139.1900,36.2400,MFS59,INDUSTRIAL,low
IS108,Chiba Makuhari Tech Park,140.0400,35.6480,MFS43,INDUSTRIAL,high
IS109,Kashiwa R&D Center,139.9600,35.8500,MFS43,INDUSTRIAL,medium
IS110,Matsudo Electronics,139.8900,35.7800,MFS43,INDUSTRIAL,medium
IS111,Nagareyama Tech Zone,139.8875,35.8408,MFS28,INDUSTRIAL,low
IS112,Noda Industrial Park,139.8600,35.9500,MFS43,INDUSTRIAL,medium
IS113,Funabashi Shipbuilding,139.9692,35.6792,MFS39,INDUSTRIAL,medium
IS114,Ichikawa Chemical Complex,139.9100,35.7000,MFS39,INDUSTRIAL,medium
IS115,Urayasu Electronics Assembly,139.8900,35.6400,MFS04,INDUSTRIAL,low
IS116,Yachiyo Automotive Plant,140.0900,35.7100,MFS43,INDUSTRIAL,medium
IS117,Sakura Precision Machinery,140.2200,35.7200,MFS54,INDUSTRIAL,low
IS118,Narita Aircraft Maintenance,140.3692,35.7600,MFS54,INDUSTRIAL,high
IS119,Inzai Semiconductor Fab,140.1492,35.8300,MFS54,INDUSTRIAL,high
IS120,Tomisato Food Processing,140.3400,35.7300,MFS54,INDUSTRIAL,medium
IS121,Yotsukaido Electronics,140.1700,35.6700,MFS43,INDUSTRIAL,low
IS122,Yokosuka Shipyard Complex,139.6600,35.2800,MFS18,INDUSTRIAL,high
IS123,Zushi Precision Parts,139.5800,35.2900,MFS18,INDUSTRIAL,low
IS124,Kamakura Tech Center,139.5500,35.3200,MFS17,INDUSTRIAL,low
IS125,Fujisawa Manufacturing,139.4800,35.3400,MFS17,INDUSTRIAL,medium
IS126,Chigasaki Industrial Zone,139.4000,35.3300,MFS17,INDUSTRIAL,medium
IS127,Hiratsuka Chemical Complex,139.3400,35.3300,MFS22,INDUSTRIAL,high
IS128,Odawara Manufacturing Park,139.1500,35.2600,MFS23,INDUSTRIAL,medium
IS129,Atsugi Semiconductor,139.3600,35.4400,MFS26,INDUSTRIAL,high
IS130,Ebina Electronics Zone,139.3900,35.4500,MFS26,INDUSTRIAL,medium
IS131,Sagamihara Industrial Park,139.3600,35.5700,MFS26,INDUSTRIAL,high
IS132,Machida Tech District,139.4500,35.5400,MFS09,INDUSTRIAL,medium
IS133,Hachioji Western Industrial,139.3000,35.6600,MFS09,INDUSTRIAL,medium
IS134,Ome Textile Complex,139.2600,35.7900,MFS09,INDUSTRIAL,low
IS135,Akishima Manufacturing,139.3600,35.7000,MFS09,INDUSTRIAL,medium
IS136,Tachikawa Aerospace Parts,139.4000,35.6900,MFS09,INDUSTRIAL,medium
IS137,Hino Automotive Assembly,139.3900,35.6700,MFS09,INDUSTRIAL,high
IS138,Fussa Military Contractor,139.3300,35.7400,MFS09,INDUSTRIAL,low
IS139,Hamura Electronics,139.3100,35.7700,MFS09,INDUSTRIAL,low
IS140,Mizuho Agricultural Processing,139.3492,35.7792,MFS09,INDUSTRIAL,low
IS141,Konosu Industrial Zone,139.5100,36.0700,MFS08,INDUSTRIAL,low
IS142,Gyoda Factory District,139.4784,36.1484,MFS08,INDUSTRIAL,low
IS143,Yashio Industrial Estate,139.8700,35.8100,MFS19,INDUSTRIAL,medium
IS144,Misato Light Industry,139.8800,35.8392,MFS19,INDUSTRIAL,low
IS145,Ogawa Manufacturing,139.2700,36.0700,MFS36,INDUSTRIAL,low
IS146,Fukaya Industrial Park,139.2717,36.2100,MFS35,INDUSTRIAL,low
IS147,Chichibu Cement Factory,139.0800,36.0200,MFS31,INDUSTRIAL,medium
IS148,Noda Industrial Zone,139.8900,35.9300,MFS40,INDUSTRIAL,medium
IS149,Abiko Manufacturing,140.0400,35.8500,MFS42,INDUSTRIAL,low
IS150,Mito North Industrial,140.4700,36.4200,MFS52,INDUSTRIAL,medium
IS151,Tsuchiura Industrial Park,140.1816,36.1016,MFS53,INDUSTRIAL,medium
IS152,Chikusei Factory,139.9700,36.3800,MFS56,INDUSTRIAL,low
IS154,Nikko Manufacturing,139.6100,36.7600,MFS60,INDUSTRIAL,low
IS155,Utsunomiya NW Industrial,139.8325,36.5692,MFS61,INDUSTRIAL,medium
IS156,Nasu Highland Factory,140.0984,37.0184,MFS64,INDUSTRIAL,low
IS157,Numata Industrial,139.0700,36.6600,MFS65,INDUSTRIAL,low
IS158,Nakanojo Factory,138.8800,36.5600,MFS66,INDUSTRIAL,low
IS159,Sendai Industrial Zone,141.0000,38.2500,MFS67,INDUSTRIAL,high
IS160,Niigata Industrial Estate,139.1000,37.8800,MFS68,INDUSTRIAL,high
IS161,Nagano Manufacturing,138.2000,36.6000,MFS69,INDUSTRIAL,medium
IS162,Hamamatsu Auto Parts,137.7700,34.7100,MFS70,INDUSTRIAL,high
IS163,Nagoya Port Industrial,136.9000,35.1000,MFS71,INDUSTRIAL,high
IS164,Osaka Factory District,135.5200,34.6500,MFS71,INDUSTRIAL,high
IS165,Toyota City Industrial,137.1700,35.0800,MFS71,INDUSTRIAL,high
IS166,Toyota City Main Plant,137.1500,35.0830,MFS71,INDUSTRIAL,high
IS167,Kofu Industrial Park,138.5800,35.6300,MFS69,INDUSTRIAL,medium
IS168,Ina Manufacturing Complex,137.9300,35.7800,MFS69,INDUSTRIAL,medium
IS169,Matsumoto East Industrial,138.0500,36.2300,MFS69,INDUSTRIAL,medium
IS170,JFE Steel East Japan Works Keihin Branch 1,139.7395,35.5231,MFS16,INDUSTRIAL,high
IS171,JFE Steel East Japan Works Keihin Branch 2,139.7388,35.5349,MFS16,INDUSTRIAL,high
IS172,JFE Steel East Japan Works Keihin Branch 3,139.7427,35.5291,MFS16,INDUSTRIAL,high
IS173,JFE Steel East Japan Works Keihin Branch 4,139.7203,35.5057,MFS16,INDUSTRIAL,high
IS174,JFE Steel East Japan Works Keihin Branch 5,139.7407,35.5294,MFS16,INDUSTRIAL,high
IS175,JFE Steel East Japan Works Keihin Branch 6,139.7271,35.5342,MFS16,INDUSTRIAL,high
IS176,JFE Steel East Japan Works Keihin Branch 7,139.7223,35.5255,MFS16,INDUSTRIAL,high
IS177,JFE Steel East Japan Works Keihin Branch 8,139.7277,35.5168,MFS16,INDUSTRIAL,high
IS178,JFE Steel East Japan Works Keihin Branch 9,139.7299,35.5324,MFS16,INDUSTRIAL,high
IS179,JFE Steel East Japan Works Keihin Branch 10,139.7189,35.5308,MFS16,INDUSTRIAL,high
IS180,Toshiba Kawasaki Complex Branch 1,139.6960,35.5348,MFS16,INDUSTRIAL,high
IS181,Toshiba Kawasaki Complex Branch 2,139.7037,35.5324,MFS16,INDUSTRIAL,high
IS182,Toshiba Kawasaki Complex Branch 3,139.6913,35.5315,MFS16,INDUSTRIAL,high
