poi_id,name,lon,lat,zone_id,facility_type,size_class
SM001,Tokyo Midtown,139.7294,35.6657,MFS03,SMALL_RETAIL,large
SM002,Roppongi Hills,139.7293,35.6605,MFS03,SMALL_RETAIL,large
SM003,Shibuya Hikarie,139.7033,35.6592,MFS03,SMALL_RETAIL,large
SM004,Shibuya 109,139.7009,35.6601,MFS03,SMALL_RETAIL,large
SM005,Shinjuku Takashimaya,139.7020,35.6903,MFS03,SMALL_RETAIL,large
SM006,Isetan Shinjuku,139.7046,35.6916,MFS03,SMALL_RETAIL,large
SM007,Lumine Shinjuku,139.7003,35.6906,MFS03,SMALL_RETAIL,large
SM008,Ikebukuro Sunshine City,139.7191,35.7296,MFS03,SMALL_RETAIL,large
SM009,Tobu Ikebukuro,139.7103,35.7303,MFS03,SMALL_RETAIL,large
SM010,Seibu Ikebukuro,139.7108,35.7294,MFS03,SMALL_RETAIL,large
SM011,Ginza Six,139.7653,35.6713,MFS01,SMALL_RETAIL,large
SM012,Mitsukoshi Ginza,139.7677,35.6718,MFS01,SMALL_RETAIL,large
SM013,Matsuya Ginza,139.7653,35.6722,MFS01,SMALL_RETAIL,large
SM014,Coredo Nihonbashi,139.7747,35.6847,MFS01,SMALL_RETAIL,medium
SM015,Tokyo Station City,139.7668,35.6811,MFS01,SMALL_RETAIL,large
SM016,Akihabara Yodobashi,139.7721,35.6983,MFS04,SMALL_RETAIL,large
SM017,Akihabara UDX,139.7715,35.7009,MFS04,SMALL_RETAIL,medium
SM018,Omotesando Hills,139.7104,35.6655,MFS03,SMALL_RETAIL,large
SM019,LaLaport Toyosu,139.7958,35.6549,MFS04,SMALL_RETAIL,large
SM020,AEON Lake Town,139.8226,35.8796,MFS30,SMALL_RETAIL,large
SM021,Lazona Kawasaki,139.6970,35.5306,MFS16,SMALL_RETAIL,large
SM022,Grand Tree Musashikosugi,139.6600,35.5780,MFS16,SMALL_RETAIL,large
SM023,Yokohama Landmark Plaza,139.625,35.46,MFS11,SMALL_RETAIL,large
SM024,Queen's Square Yokohama,139.628,35.458,MFS11,SMALL_RETAIL,large
