poi_id,name,lon,lat,zone_id,facility_type,capacity_level
PT001,Tokyo Port Container Terminal,139.7720,35.6210,MFS02,LOGISTICS_HUB,high
PT002,Tokyo Port Oi Terminal,139.7472,35.6012,MFS02,LOGISTICS_HUB,high
PT003,Tokyo Port Aomi Terminal,139.7810,35.6150,MFS02,LOGISTICS_HUB,medium
PT004,Yokohama Port Honmoku Terminal,139.6530,35.4190,MFS12,LOGISTICS_HUB,high
PT005,Yokohama Port Daikoku Terminal,139.6940,35.4600,MFS15,LOGISTICS_HUB,high
PT006,Yokohama Port Minami-Honmoku Terminal,139.6680,35.4100,MFS12,LOGISTICS_HUB,medium
PT007,Kawasaki Port Higashi-Ogishima Terminal,139.7300,35.5130,MFS16,LOGISTICS_HUB,high
PT008,Chiba Port Central Terminal,140.1020,35.5810,MFS38,LOGISTICS_HUB,medium
PT009,Chiba Port Gaiko Terminal,140.1150,35.5740,MFS38,LOGISTICS_HUB,medium
PT010,Kisarazu Port Terminal,139.9180,35.3720,MFS44,LARGE_DISTRIBUTION,medium
PT011,Kashima Port Industrial Terminal,140.6720,35.9310,MFS54,LOGISTICS_HUB,medium
PT012,Funabashi Port Terminal,139.9750,35.6880,MFS39,LARGE_DISTRIBUTION,low
PT013,Haneda Air Cargo Terminal,139.7820,35.5530,MFS02,LOGISTICS_HUB,high
PT014,Narita Air Cargo Terminal,140.3910,35.7680,MFS42,LOGISTICS_HUB,high
PT015,Tokyo Freight Terminal (JR),139.7380,35.5920,MFS02,LARGE_DISTRIBUTION,high
PT016,Sumida Freight Terminal (JR),139.8190,35.7020,MFS04,LARGE_DISTRIBUTION,medium
PT017,Yokohama Freight Terminal (JR),139.648146,35.469622,MFS11,LARGE_DISTRIBUTION,medium
PT018,Kawasaki Freight Terminal (JR),139.7020,35.5180,MFS16,LARGE_DISTRIBUTION,medium
PT019,Saitama Freight Terminal (JR),139.6280,35.8720,MFS27,LARGE_DISTRIBUTION,medium
PT020,Chiba Freight Terminal (JR),140.1080,35.6020,MFS38,LARGE_DISTRIBUTION,medium
PT021,Utsunomiya Freight Terminal (JR),139.8830,36.5610,MFS50,LARGE_DISTRIBUTION,low
PT022,Takasaki Freight Terminal (JR),139.0120,36.3220,MFS48,LARGE_DISTRIBUTION,low
PT023,Mito Freight Depot (JR),140.4470,36.3710,MFS52,LARGE_DISTRIBUTION,low
PT024,Koshigaya Truck Terminal,139.7910,35.8910,MFS28,LARGE_DISTRIBUTION,medium
PT025,Adachi Truck Terminal,139.7920,35.7780,MFS05,LARGE_DISTRIBUTION,medium
PT026,Ota Truck Terminal,139.7150,35.5620,MFS03,LARGE_DISTRIBUTION,medium
PT027,Itabashi Truck Terminal,139.6940,35.7710,MFS06,LARGE_DISTRIBUTION,medium
PT028,Kawasaki Truck Terminal,139.7080,35.5410,MFS16,LARGE_DISTRIBUTION,medium
PT029,Yokohama Kanazawa Truck Terminal,139.6220,35.3680,MFS13,LARGE_DISTRIBUTION,medium
PT030,Chiba Mihama Truck Terminal,140.0560,35.6410,MFS39,LARGE_DISTRIBUTION,medium
PT031,Saitama Iwatsuki Truck Terminal,139.7230,35.9320,MFS29,LARGE_DISTRIBUTION,low
PT032,Tochigi Sano Truck Terminal,139.5780,36.3140,MFS49,LARGE_DISTRIBUTION,low
PT033,Gunma Isesaki Truck Terminal,139.1940,36.3110,MFS47,LARGE_DISTRIBUTION,low
PT034,Ibaraki Tsukuba Truck Terminal,140.0830,36.0830,MFS53,LARGE_DISTRIBUTION,low
PT035,Sagamihara Truck Terminal,139.3720,35.5710,MFS20,LARGE_DISTRIBUTION,low
PT037,Niigata Port Container Terminal,139.0700,37.9200,MFS68,LARGE_DISTRIBUTION,high
PT038,Nagoya Port Truck Terminal,136.8800,35.0700,MFS71,LARGE_DISTRIBUTION,high
PT039,Osaka Port Freight Hub,135.4500,34.6600,MFS71,LOGISTICS_HUB,high
PT040,Yokkaichi Truck Terminal,136.6200,34.9700,MFS71,LARGE_DISTRIBUTION,medium
PT042,Choshi Port Terminal,140.8383,35.7417,MFS45,LARGE_DISTRIBUTION,low
PT043,Numata Regional Terminal,139.0592,36.6400,MFS65,LARGE_DISTRIBUTION,low
PT044,Shimonita Freight Station,138.7600,36.2300,MFS66,LARGE_DISTRIBUTION,low
PT045,Nasushiobara Terminal,140.0700,36.9700,MFS64,LARGE_DISTRIBUTION,low
PT0046,Tomakomai Port Container Terminal,141.7359,42.626416,MFS67,LOGISTICS_HUB,high
PT0047,Hakodate Port Ferry Terminal,140.7287,41.789292,MFS67,LOGISTICS_HUB,medium
PT0048,Sendai-Shiogama Port Terminal,141.019671,38.273794,MFS67,LOGISTICS_HUB,medium
PT0049,Onahama Port Iwaki Terminal,140.9058,36.9417,MFS67,LOGISTICS_HUB,medium
PT0050,Akita Port International Terminal,140.043321,39.765315,MFS67,LOGISTICS_HUB,medium
PT0051,Hachinohe Port Terminal,141.531244,40.526648,MFS67,LOGISTICS_HUB,medium
PT0052,Kushiro Port Terminal,144.373821,42.980085,MFS67,LOGISTICS_HUB,medium
PT0053,Toyama Shinko Port Terminal,137.2400,36.7300,MFS68,LOGISTICS_HUB,medium
PT0054,Kanazawa Port Terminal,136.6075,36.6275,MFS68,LOGISTICS_HUB,medium
PT0055,Tsuruga Port Terminal,136.0450,35.6550,MFS68,LOGISTICS_HUB,medium
PT0056,Shimizu Port Container Terminal,138.5050,35.0100,MFS70,LOGISTICS_HUB,high
PT0057,Tagonoura Port Fuji Terminal,138.68827,35.135457,MFS70,LOGISTICS_HUB,medium
PT0058,Kobe Port Rokko Island Terminal,135.279615,34.68272,MFS71,LOGISTICS_HUB,high
PT0059,Kobe Port Port Island Terminal,135.213834,34.654534,MFS71,LOGISTICS_HUB,high
PT0060,Sakai-Senboku Port Terminal,135.4400,34.5300,MFS71,LOGISTICS_HUB,high
PT0061,Yokkaichi Port Container Terminal,136.6400,34.9292,MFS71,LOGISTICS_HUB,high
PT0062,Tsu Port Matsusaka Terminal,136.54018,34.681226,MFS71,LOGISTICS_HUB,medium
PT0063,Himeji Port Terminal,134.657664,34.78167,MFS71,LOGISTICS_HUB,medium
PT0064,Wakayama Shimotsu Port,135.141497,34.190356,MFS71,LOGISTICS_HUB,medium
