poi_id,name,lon,lat,zone_id,facility_type,business_type
RS156,Odaiba Shopping District,139.7750,35.6255,MFS02,SMALL_RETAIL,entertainment_district
RS157,Daikanyama Boutiques,139.7000,35.6500,MFS03,SMALL_RETAIL,fashion_district
RS158,Ebisu Garden Place Shops,139.7100,35.6450,MFS03,SMALL_RETAIL,shopping_center
RS159,Harajuku Fashion Street,139.7030,35.6700,MFS03,SMALL_RETAIL,fashion_district
RS160,Omotesando Boutiques,139.7100,35.6650,MFS03,SMALL_RETAIL,luxury_retail
RS161,Aoyama Fashion District,139.7200,35.6650,MFS01,SMALL_RETAIL,luxury_retail
RS162,Marunouchi Business Retail,139.7650,35.6800,MFS01,SMALL_RETAIL,business_district
RS163,Tokyo Station Shopping,139.7673,35.6809,MFS01,SMALL_RETAIL,station_retail
RS164,Nihonbashi Department Stores,139.7750,35.6850,MFS01,SMALL_RETAIL,shopping_district
RS165,Kanda Bookstore District,139.7700,35.6950,MFS01,SMALL_RETAIL,specialty_retail
RS166,Ochanomizu Student Retail,139.7650,35.6990,MFS01,SMALL_RETAIL,student_district
RS167,Jimbocho Book Town,139.7580,35.6960,MFS01,SMALL_RETAIL,specialty_retail
RS168,Tsukiji Outer Market,139.7720,35.6655,MFS01,SMALL_RETAIL,market_retail
RS169,Monzennakacho Shopping,139.7950,35.6730,MFS04,SMALL_RETAIL,residential_retail
RS170,Kiyosumi Traditional Shops,139.7980,35.6800,MFS04,SMALL_RETAIL,residential_retail
RS171,Toyosu Shopping Complex,139.794614,35.658449,MFS04,SMALL_RETAIL,residential_retail
RS172,Kiba Retail Area,139.8100,35.6800,MFS04,SMALL_RETAIL,residential_retail
RS173,Kameido Shopping Street,139.8250,35.6970,MFS04,SMALL_RETAIL,shopping_district
RS174,Kinshicho Retail Hub,139.8135,35.6957,MFS04,SMALL_RETAIL,shopping_district
RS175,Ryogoku Traditional Shops,139.7930,35.6970,MFS04,SMALL_RETAIL,traditional
RS176,Koiwa Shopping Street,139.8800,35.7300,MFS07,SMALL_RETAIL,residential_retail
RS177,Katsushika Retail Cluster,139.8500,35.7400,MFS07,SMALL_RETAIL,residential_retail
RS178,Shin-Koiwa Commercial,139.8850,35.7200,MFS07,SMALL_RETAIL,residential_retail
RS179,Mizue Shopping Area,139.8950,35.7100,MFS07,SMALL_RETAIL,residential_retail
