industry,office,factory,store_restaurant,logistics_facility,other,unknown,all_facilities,office_frac,factory_frac,store_restaurant_frac,logistics_facility_frac,other_frac,unknown_frac
chemical_manufacturing,2856,8202,71,225,169,80,11603,0.24614323881754718,0.7068861501335861,0.006119107127467035,0.019391536671550462,0.014565198655520124,0.006894768594329053
steel_manufacturing,580,1776,6,44,14,30,2450,0.23673469387755103,0.7248979591836735,0.0024489795918367346,0.017959183673469388,0.005714285714285714,0.012244897959183673
metal_product_manufacturing,1868,8133,67,93,84,129,10374,0.1800655484866011,0.7839791787160209,0.00645845382687488,0.008964719491035281,0.008097165991902834,0.012434933487565067
machinery_manufacturing,7072,16731,93,193,228,243,24559,0.2879596074758744,0.6812573801864896,0.00378679913677267,0.007858626165560488,0.009283765625636223,0.009894539679954396
light_misc_manufacturing,8982,17749,1242,553,486,312,29324,0.30630200518346745,0.6052721320420134,0.04235438548629109,0.018858273086891284,0.016573455190287818,0.01063974901104897
road_freight_transport,14355,0,175,6624,1622,289,23065,0.6223715586386299,0.0,0.007587253414264037,0.28718838066334273,0.07032300021677867,0.01252980706698461
water_transport,349,0,19,25,28,0,422,0.8270142180094787,0.0,0.045023696682464455,0.05924170616113744,0.06635071090047394,0.0
air_transport,129,0,0,13,21,1,164,0.7865853658536586,0.0,0.0,0.07926829268292683,0.12804878048780488,0.006097560975609756
warehousing,837,0,12,3024,176,47,4095,0.2043956043956044,0.0,0.0029304029304029304,0.7384615384615385,0.04297924297924298,0.011477411477411478
transport_related_services,2360,0,115,812,388,46,3720,0.6344086021505376,0.0,0.030913978494623656,0.21827956989247313,0.1043010752688172,0.012365591397849462
raw_material_wholesale,8741,1545,1280,1822,299,91,13778,0.6344171868195674,0.11213528814051386,0.09290172739149369,0.13223980258382928,0.021701262882856728,0.006604732181739004
product_wholesale,36357,2470,5597,4766,1120,237,50547,0.7192711733634044,0.048865412388470135,0.11072862880091795,0.09428848398520188,0.02215759590084476,0.0046887055611608995
service_industry,12564,6198,2754,976,1416,262,24170,0.5198179561439802,0.2564335953661564,0.11394290442697559,0.04038063715349607,0.058585022755482004,0.010839884153909806
other,823,499,239,480,160,15,2216,0.3713898916967509,0.22518050541516246,0.1078519855595668,0.21660649819494585,0.07220216606498195,0.006768953068592058
all_industries,97873,63303,11670,19650,6210,1781,200488,0.48817385579186784,0.31574458321695065,0.058207972546985356,0.0980108535174175,0.030974422409321255,0.008883324687761861
