large_zone,region,office,factory,store_restaurant,logistics_facility,other,unknown,all_facilities
0,tokyo_chiyoda_chuo_minato,3020,20672,118,18379,12503,0,54693
1,tokyo_meguro_shinagawa_ota,22373,25286,161,34730,11913,0,94464
2,tokyo_toshima_bunkyo_shinjuku_shibuya,3033,837,172,1487,1137,0,6666
3,tokyo_arakawa_taito_sumida_koto,9304,31473,3820,52876,14806,0,112279
4,tokyo_nakano_suginami_setagaya,702,6479,1071,3419,673,0,12344
5,tokyo_nerima_itabashi_kita,2075,9909,156,68539,625,0,81304
6,tokyo_adachi_katsushika_edogawa,7657,19168,446,14632,9603,0,51505
7,chofu_nishitokyo_fuchu_musashino_etc,6374,15364,899,22365,1055,34,46091
8,machida_tama_hachioji_inagi_etc,2719,18252,221,3917,463,0,25572
9,mizuho_fussa_hamura_akiruno_etc,2888,23013,74,5258,265,0,31498
10,yokohama_nishi_naka,10745,1096,42,43435,10733,0,66051
11,yokohama_isogo_minami_kanazawa_konan,3486,27099,42,46528,3420,824,81399
12,yokohama_hodogaya_totsuka_sakae_izumi_etc,565,16938,60,6485,177,0,24225
13,yokohama_kohoku_tsuzuki_midori_aoba,380,8024,69,7307,54,80,15914
14,yokohama_tsurumi_kanagawa,891,16248,247,42854,21525,0,81765
15,kawasaki_kawasaki_saiwai_nakahara,8009,45170,109,53621,5981,0,112890
16,kawasaki_takatsu_miyamae_tama_asao,3692,8955,58,2688,4652,39,20085
17,sagamihara_city,4035,12014,360,11168,520,14,28110
18,yokosuka_miura,737,2677,5,3962,216,0,7597
19,kamakura_zushi_hayama,383,314,26,145,0,0,868
20,fujisawa_chigasaki_samukawa,8484,12411,145,18074,1473,51,40637
21,hiratsuka_oiso_ninomiya,1370,4261,89,6552,125,0,12396
22,odawara_manazuru_yugawara_hakone,1174,5185,64,1114,150,108,7794
23,minami_ashigara_nakai_oi_matsuda_etc,409,16306,31,2110,1378,0,20233
24,atsugi_hadano_kiyokawa_isehara_etc,2493,18542,53,17147,403,0,38639
25,zama_yamato_ebina_ayase,811,13873,82,12885,488,0,28140
26,saitama_city,4339,24376,902,8286,940,0,38842
27,kawaguchi_warabi_toda,4526,21283,50,27719,476,284,54337
28,asaka_wako_niiza_tokorozawa_etc,3593,22429,150,51694,3556,0,81423
29,soka_kasukabe_misato_koshigaya_etc,3404,45546,19,17033,9985,496,76484
30,hanno_hidaka_moroyama_ogose_etc,105,20938,7,3053,1662,0,25764
31,tsurugashima_sakado_kawajima_higashimatsuyama_etc,795,5928,59,7874,710,93,15459
32,ageo_konosu_okegawa_kitamoto_etc,1317,9610,88,5186,168,0,16369
33,kuki_kazo_hanyu_gyoda_etc,8989,14653,150,27579,3799,1,55171
34,kumagaya_fukaya_ogawa_yorii_etc,4857,36333,238,4642,9405,412,55887
35,honjo_kamikawa_kamisato,46,8741,2,2827,521,0,12136
36,chichibu_yokoze_minano_nagatoro_etc,6776,36232,165,405,0,0,43577
37,chiba_city,6347,23504,69,18624,4526,269,53339
38,ichikawa_urayasu_narashino_funabashi,7434,33238,3437,67224,1001,3,112337
39,matsudo_kamagaya_kashiwa_abiko,1937,14341,214,13077,282,0,29850
40,nagareyama_noda,12763,2884,27,5062,9372,0,30109
41,yachiyo_sakura_narita_shiroi_etc,7506,19094,68,11048,583,79,38378
42,ichihara_city,10157,37501,6,8159,350,0,56173
43,kisarazu_sodegaura_kimitsu_futtsu,553,8671,7,40798,0,46,50075
44,katsuura_otaki_tateyama_kamogawa_etc,119,1528,52,425,4,0,2127
45,choshi_asahi_sosa_katori_etc,1053,9272,76,6631,222,0,17254
46,togane_mobara_sanmu_oamishirasato_etc,2197,6859,208,9912,43,0,19220
47,tsuchiura_ishioka_omitama_kasumigaura_etc,3591,26430,182,5989,302,0,36493
48,koga_shimotsuma_yachiyo_goka_etc,690,12758,116,5227,425,0,19215
49,tsukuba_city,295,6935,11,2162,859,125,10387
50,joso_bando,448,10138,0,3797,0,775,15158
51,ryugasaki_toride_ushiku_moriya_etc,1970,5801,81,3264,384,0,11501
52,inashiki_miho_kawachi,382,1763,97,1040,0,0,3282
53,kashima_kamisu_namegata_itako,40216,68772,33,48502,0,0,157523
54,mito_hitachi_kasama_hitachinaka_etc,17437,27715,113,8184,3857,0,57306
55,yuki_chikusei_sakuragawa,2028,7370,13,2463,0,0,11874
56,maebashi_takasaki_isesaki_shibukawa_etc,15090,51323,1516,29111,19230,3,116275
57,kiryu_ota_tatebayashi_midori_etc,2646,43037,23,14283,1554,89,61632
58,utsunomiya_kanuma_moka_kaminokawa_etc,4013,22319,1,16075,1106,25,43539
59,tochigi_oyama_shimotsuke_nogi_etc,7554,30678,1244,21197,2927,2,63603
60,ashikaga_sano,22218,52463,159,7299,55,0,82195
