zone_id,generated_tons,generated_trucks,attracted_tons,attracted_trucks,facility_type
MFS01,228043,59628,417265,44589,RESIDENTIAL
MFS02,514111,150719,389399,117847,MEDIUM_WAREHOUSE
MFS03,195221,34525,313539,25084,RESIDENTIAL
MFS04,534541,120203,468410,96439,MIXED
MFS05,166730,29309,203513,23685,MIXED
MFS06,331375,51582,306150,52565,MIXED
MFS07,422569,82896,297950,64945,MEDIUM_WAREHOUSE
MFS08,418515,82365,431024,63168,MIXED
MFS09,215813,39908,253361,39728,MIXED
MFS10,190403,29142,121839,26357,MEDIUM_WAREHOUSE
MFS11,122743,28875,157464,30897,MIXED
MFS12,205251,48156,207914,51420,MIXED
MFS13,210486,27853,189082,24488,MIXED
MFS14,228947,33442,256465,32169,MIXED
MFS15,314998,52933,180998,40715,MEDIUM_WAREHOUSE
MFS16,286600,79874,201452,53433,MEDIUM_WAREHOUSE
MFS17,152971,21597,106598,17017,MEDIUM_WAREHOUSE
MFS18,268255,40228,216045,41619,MIXED
MFS19,38543.7,10274,57607.5,10015,RESIDENTIAL
MFS20,24738.3,3724,37038.1,2640,RESIDENTIAL
MFS21,233811,41628,187832,35310,MIXED
MFS22,110837,17021,90777.1,44277,MIXED
MFS23,61522,10805,80261,9603,MIXED
MFS24,82345.7,14516,46280.2,7800,MEDIUM_WAREHOUSE
MFS25,325677,58070,241988,50007,MEDIUM_WAREHOUSE
MFS26,295032,35512,217110,30156,MEDIUM_WAREHOUSE
MFS27,477003,59983,409158,48458,MIXED
MFS28,463198,72495,262140,63010,MEDIUM_WAREHOUSE
MFS29,522936,124231,470100,145499,MIXED
MFS30,492175,88577,344045,77382,MEDIUM_WAREHOUSE
MFS31,90661.3,16341,52186.9,10318,MEDIUM_WAREHOUSE
MFS32,233695,23602,107918,18091,LOGISTICS_HUB
MFS33,176644,24387,147921,24461,MIXED
MFS34,276200,61356,241015,53797,MIXED
MFS35,250349,43203,155171,46296,MEDIUM_WAREHOUSE
MFS36,92027.9,10498,41555,13722,LOGISTICS_HUB
MFS37,64394.1,11735,31224,7185,LOGISTICS_HUB
MFS38,240181,46067,190426,38259,MIXED
MFS39,459955,97123,289519,75316,MEDIUM_WAREHOUSE
MFS40,262951,30985,186396,31652,MEDIUM_WAREHOUSE
MFS41,112736,24764,97008,20838,MIXED
MFS42,274439,52279,218477,42159,MIXED
MFS43,118295,27752,69791,12472,MEDIUM_WAREHOUSE
MFS44,110258,19974,115400,24312,MIXED
MFS45,85217.9,7256,49569.6,5154,MEDIUM_WAREHOUSE
MFS46,106320,15100,82369,18377,MIXED
MFS47,151187,28888,93556.7,32959,MEDIUM_WAREHOUSE
MFS48,246435,40527,144053,32656,MEDIUM_WAREHOUSE
MFS49,136479,27866,111068,25413,MIXED
MFS50,71945.5,14520,83573.2,10748,MIXED
MFS51,105717,14442,67706.3,12094,MEDIUM_WAREHOUSE
MFS52,106204,17723,114728,14292,MIXED
MFS53,37848.8,5317,28467.7,3470,MEDIUM_WAREHOUSE
MFS54,251693,48125,108984,18210,LOGISTICS_HUB
MFS55,313284,55293,247292,39702,MIXED
MFS56,97541,16525,76855.9,10379,MIXED
MFS57,546887,112728,418840,83322,MEDIUM_WAREHOUSE
MFS58,321739,57193,299711,52876,MIXED
MFS59,426600,66173,258295,48287,MEDIUM_WAREHOUSE
MFS60,266471,40408,181624,35854,MEDIUM_WAREHOUSE
MFS61,188318,42821,104397,18486,MEDIUM_WAREHOUSE
MFS62,0,0,1714,333,RESIDENTIAL
MFS63,10354.2,1912,31178,6062,RESIDENTIAL
MFS64,23904.8,4413,99185.7,19289,RESIDENTIAL
MFS65,4841.05,894,27842.5,5413,RESIDENTIAL
MFS66,69.3146,13,2455.4,478,RESIDENTIAL
MFS67,263159,48586,550894,107139,RESIDENTIAL
MFS68,105115,19403,204301,39733,RESIDENTIAL
MFS69,82229.9,15192,221836,43141,RESIDENTIAL
MFS70,127213,23492,238328,46353,RESIDENTIAL
MFS71,679103,125402,1.25538e+06,244154,RESIDENTIAL
