zone_id,generated_tons,generated_trucks,attracted_tons,attracted_trucks,facility_type
MFS01,228043,58064,417265,43419,RESIDENTIAL
MFS02,514111,146767,389399,114756,MEDIUM_WAREHOUSE
MFS03,195221,33619,313539,24426,RESIDENTIAL
MFS04,534541,117051,468410,93910,MIXED
MFS05,166730,28540,203513,23063,MIXED
MFS06,331375,50229,306150,51186,MIXED
MFS07,422569,80722,297950,63242,MEDIUM_WAREHOUSE
MFS08,418515,80205,431024,61511,MIXED
MFS09,215813,38861,253361,38686,MIXED
MFS10,190403,28377,121839,25665,MEDIUM_WAREHOUSE
MFS11,122743,28117,157464,30086,MIXED
MFS12,205251,46893,207914,50071,MIXED
MFS13,210486,27122,189082,23845,MIXED
MFS14,228947,32565,256465,31325,MIXED
MFS15,314998,51545,180998,39647,MEDIUM_WAREHOUSE
MFS16,286600,77779,201452,52031,MEDIUM_WAREHOUSE
MFS17,152971,21030,106598,16570,MEDIUM_WAREHOUSE
MFS18,268255,39173,216045,40527,MIXED
MFS19,38543.7,10004,57607.5,9752,RESIDENTIAL
MFS20,24738.3,3626,37038.1,2570,RESIDENTIAL
MFS21,233811,40536,187832,34384,MIXED
MFS22,110837,16574,90777.1,43116,MIXED
MFS23,61522,10521,80261,9351,MIXED
MFS24,82345.7,14135,46280.2,7595,MEDIUM_WAREHOUSE
MFS25,325677,56547,241988,48695,MEDIUM_WAREHOUSE
MFS26,295032,34580,217110,29365,MEDIUM_WAREHOUSE
MFS27,477003,58410,409158,47187,MIXED
MFS28,463198,70594,262140,61357,MEDIUM_WAREHOUSE
MFS29,522936,120973,470100,141683,MIXED
MFS30,492175,86254,344045,75353,MEDIUM_WAREHOUSE
MFS31,90661.3,15912,52186.9,10047,MEDIUM_WAREHOUSE
MFS32,233695,22983,107918,17616,LOGISTICS_HUB
MFS33,176644,23747,147921,23819,MIXED
MFS34,276200,59747,241015,52386,MIXED
MFS35,250349,42070,155171,45082,MEDIUM_WAREHOUSE
MFS36,92027.9,10222,41555,13362,LOGISTICS_HUB
MFS37,64394.1,11427,31224,6996,LOGISTICS_HUB
MFS38,240181,44859,190426,37255,MIXED
MFS39,459955,94576,289519,73341,MEDIUM_WAREHOUSE
MFS40,262951,30172,186396,30822,MEDIUM_WAREHOUSE
MFS41,112736,24114,97008,20291,MIXED
MFS42,274439,50908,218477,41053,MIXED
MFS43,118295,27024,69791,12144,MEDIUM_WAREHOUSE
MFS44,110258,19450,115400,23674,MIXED
MFS45,85217.9,7065,49569.6,5018,MEDIUM_WAREHOUSE
MFS46,106320,14704,82369,17895,MIXED
MFS47,151187,28130,93556.7,32094,MEDIUM_WAREHOUSE
MFS48,246435,39464,144053,31799,MEDIUM_WAREHOUSE
MFS49,136479,27135,111068,24746,MIXED
MFS50,71945.5,14139,83573.2,10466,MIXED
MFS51,105717,14063,67706.3,11776,MEDIUM_WAREHOUSE
MFS52,106204,17258,114728,13917,MIXED
MFS53,37848.8,5177,28467.7,3379,MEDIUM_WAREHOUSE
MFS54,251693,46863,108984,17732,LOGISTICS_HUB
MFS55,313284,53843,247292,38660,MIXED
MFS56,97541,16091,76855.9,10106,MIXED
MFS57,546887,109772,418840,81137,MEDIUM_WAREHOUSE
MFS58,321739,55693,299711,51489,MIXED
MFS59,426600,64437,258295,47020,MEDIUM_WAREHOUSE
MFS60,266471,39348,181624,34913,MEDIUM_WAREHOUSE
MFS61,188318,41698,104397,18001,MEDIUM_WAREHOUSE
MFS62,0,1,1714,324,RESIDENTIAL
MFS63,10354.2,1861,31178,5903,RESIDENTIAL
MFS64,23904.8,4297,99185.7,18783,RESIDENTIAL
MFS65,4841.05,870,27842.5,5271,RESIDENTIAL
MFS66,69.3146,12,2455.4,465,RESIDENTIAL
MFS67,263159,47312,550894,104329,RESIDENTIAL
MFS68,105115,18894,204301,38691,RESIDENTIAL
MFS69,82229.9,14793,221836,42009,RESIDENTIAL
MFS70,127213,22876,238328,45137,RESIDENTIAL
MFS71,679103,122113,1.25538e+06,237752,RESIDENTIAL
OSK01,47555,9236,42206,8750,LOGISTICS_HUB
OSK02,13396,3563,17398,4050,LOGISTICS_HUB
OSK03,2538,1886,4141,1556,LOGISTICS_HUB
OSK04,21355,1206,4846,1490,LOGISTICS_HUB
OSK05,23499,7233,43887,6290,LOGISTICS_HUB
OSK06,3749,1484,6397,2357,LOGISTICS_HUB
OSK07,18272,13345,44056,18042,LOGISTICS_HUB
OSK08,66854,13725,82381,13776,LOGISTICS_HUB
OSK09,124968,81093,151723,57693,LOGISTICS_HUB
OSK10,5103,3429,5466,2274,LOGISTICS_HUB
OSK11,40864,10474,40150,11139,LOGISTICS_HUB
OSK12,46520,7440,41867,8351,LOGISTICS_HUB
OSK13,164082,42734,186132,47252,LOGISTICS_HUB
OSK14,52595,15828,39030,32527,LOGISTICS_HUB
OSK15,21095,4097,12398,5550,LOGISTICS_HUB
OSK16,77148,7576,40360,9543,LOGISTICS_HUB
OSK17,4750,960,3700,1203,LOGISTICS_HUB
OSK18,2787,1401,4506,1086,LOGISTICS_HUB
OSK19,48478,9440,64795,9905,LOGISTICS_HUB
OSK20,9104,2517,6717,2419,LOGISTICS_HUB
OSK21,172932,19952,160780,17901,LOGISTICS_HUB
OSK22,44774,4649,12540,5471,LOGISTICS_HUB
OSK23,7471,2973,4673,1890,LOGISTICS_HUB
OSK24,107,85,739,56,RESIDENTIAL
OSK25,3953,713,4125,871,LOGISTICS_HUB
OSK26,30897,10265,30620,5403,LOGISTICS_HUB
OSK27,4021,424,3164,425,LOGISTICS_HUB
OSK28,844,221,1676,531,MIXED
OSK29,10032,383,8751,483,LOGISTICS_HUB
OSK30,150,16,664,64,RESIDENTIAL
