origin_industry,agriculture_forestry_fishery,mining,construction,light_misc_manufacturing,chemical_manufacturing,steel_manufacturing,metal_product_manufacturing,machinery_manufacturing,wholesale,road_freight_transport,warehousing,other_transport_communication,service_industry,other_establishments,non_establishment
agriculture_forestry_fishery,0.0,0.0,0.0,0.24593716143011918,0.012351029252437704,0.0,0.0,0.002275189599133261,0.2962080173347779,0.0,0.40910075839653304,0.0,0.025460455037919827,0.00866738894907909,0.0
mining,0.0,0.0,0.0,0.009646982811438247,0.2151188049326605,0.7615100981407835,0.00045672782363622187,7.797792110862324e-05,0.006338491015829518,0.0,0.005759226459022602,0.0,0.0,0.0010916908955207255,0.0
construction,0.0,0.0,0.0,0.01786881673567226,0.333188058400523,0.0,0.071039442144258,0.10721290041403356,0.08324253650032687,0.0,0.07605142732621487,0.0,0.12464589235127478,0.18675092612769667,0.0
light_misc_manufacturing,0.02436461735056084,0.004682348115544197,0.007761843911212078,0.43825705586318964,0.03683720636723618,0.016340890087872907,0.006755328379636203,0.009197469512676101,0.08819474024642276,0.02091280546484295,0.17208575890955558,0.015498446053607206,0.07379115591525076,0.07762790477542714,0.007692429046965466
chemical_manufacturing,0.00044570632139611966,0.028106585372460274,0.41825721440936525,0.030427459449343382,0.3768311511781668,0.006193101648128403,0.0013469688276446267,0.01105400926379658,0.027665803982792288,0.007748148841286688,0.07803184953348584,0.0038611464748569925,0.005811419439198024,0.003432677414509341,0.0007867578435693935
steel_manufacturing,0.0,0.02618023344308523,0.01357879304958062,0.00349283408237,0.04604773005840083,0.3328847124420198,0.10608281862097142,0.15312392351013804,0.09269629166766805,0.022535188701162407,0.08450094931385037,0.10519358792568916,0.00924479479599766,0.004438142389066468,0.0
metal_product_manufacturing,0.0009577278731836195,0.0005085865257595773,0.05074636723910172,0.2382892998678996,0.014464993394980185,0.028910171730515192,0.06684940554821664,0.1128335535006605,0.018302509907529723,0.14728533685601056,0.3034544253632761,0.0007001321003963012,0.009313077939233817,0.005990752972258917,0.0013936591809775428
machinery_manufacturing,0.0016131001168407653,0.00031390056327712187,0.01625307360968209,0.009826831522592122,0.030683780060338665,0.021249324241842945,0.05585686134314563,0.46803445930627974,0.13455870812479293,0.019383359782362275,0.11289084979858047,0.06666899185602428,0.03885391416563486,0.02276651029768237,0.0010463352109237396
wholesale,0.025057049378642914,0.015382711976245463,0.1040429451226218,0.12511341141537446,0.04059441328494446,0.04116490707137358,0.02246577037281425,0.0894781700208952,0.15088873309138898,0.009066039810843507,0.11160370614758605,0.011598894754206533,0.032239772352358954,0.2171794237325415,0.004124051468162322
road_freight_transport,0.0,0.0,0.0,0.056622758873033294,0.019667032564946944,0.020764727405781194,0.06577021587998537,0.011068422978412002,0.03485181119648738,0.0,0.11095865349432858,0.0,0.6796560556165386,0.0006403219904866448,0.0
warehousing,0.01350350704199148,0.0009153658672719493,0.003577740981227558,0.1756981525237679,0.02750562801168394,0.028363318387318835,0.0022474836741148674,0.11718543600811178,0.06612029991255651,0.04393384062959311,0.4714320266423561,0.020997599955348008,0.006578727046084578,0.02017898007404789,0.0017618932445254796
other_transport_communication,0.0,0.0,0.0,0.068557336621455,0.07990135635018496,0.012083847102342787,0.04290998766954377,0.03551171393341554,0.10406905055487053,0.0,0.6542540073982738,0.0,0.0002466091245376079,0.002466091245376079,0.0
service_industry,0.00743452618952419,0.017749150339864055,0.16210390843662534,0.059320021991203516,0.1369514694122351,0.012719912035185925,0.005022990803678529,0.013975659736105558,0.03491103558576569,0.0743265193922431,0.20042607956817274,0.0025864654138344663,0.16207267093162736,0.10871901239504199,0.001680577768892443
other_establishments,0.005619767677645491,0.003447177080617595,0.13220937979780423,0.02928652124793604,0.06943599548101156,0.05515483328988152,0.01906086150459141,0.05912343211378581,0.07832913299151241,0.0035630485791257496,0.08571594102140725,0.023087396077749775,0.02740360939717853,0.392340893948611,0.016222009791141623
non_establishment,0.0,0.0,0.0,0.0,0.012,0.0,0.2,0.048,0.008,0.0,0.02,0.0,0.692,0.02,0.0
