large_zone,region,MFS01,MFS02,MFS03,MFS04,MFS05,MFS06,MFS07,MFS08,MFS09,MFS10,MFS11,MFS12,MFS13,MFS14,MFS15,MFS16,MFS17,MFS18,MFS19,MFS20,MFS21,MFS25,MFS26,MFS27,MFS28,MFS29,MFS30,MFS31,MFS32,MFS33,MFS38,MFS39,MFS40,MFS41,MFS42,MFS43,MFS44,MFS22,MFS23,MFS24,MFS34,MFS35,MFS36,MFS37,MFS45,MFS46,MFS47,MFS48,MFS49,MFS50,MFS51,MFS52,MFS53,MFS54,MFS55,MFS56,MFS57,MFS58,MFS65,MFS66,MFS59,MFS60,MFS61,MFS64,MFS63,MFS67,MFS68,MFS69,MFS70,MFS71,PRF01,PRF02,PRF03,PRF04,PRF05,PRF06,PRF07,PRF15,PRF16,PRF17,PRF18,PRF19,PRF20,PRF22,PRF21,PRF23,PRF24,PRF31,PRF32,PRF33,PRF34,PRF35,PRF36,PRF37,PRF38,PRF39,PRF40,PRF41,PRF42,PRF43,PRF44,PRF45,PRF46,PRF47,OSK01,OSK02,OSK03,OSK04,OSK05,OSK06,OSK07,OSK08,OSK09,OSK10,OSK11,OSK12,OSK13,OSK14,OSK15,OSK16,OSK17,OSK18,OSK19,OSK20,OSK21,OSK22,OSK23,OSK24,OSK25,OSK26,OSK27,OSK28,OSK29,OSK30
0,MFS01,3063.0,494.0,943.0,644.0,107.0,70.0,281.0,65.0,56.0,3.0,65.0,28.0,22.0,76.0,38.0,72.0,29.0,16.0,10.0,18.0,13.0,15.0,17.0,67.0,29.0,124.0,32.0,6.0,7.0,16.0,88.0,117.0,31.0,8.0,23.0,3.0,10.0,8.0,0.0,0.0,24.0,3.0,0.0,7.0,3.0,5.0,6.0,3.0,3.0,9.0,9.0,0.0,6.0,10.0,30.0,0.0,47.0,3.0,3.0,0.0,60.0,12.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,150.5,35.5,37.2,77.3,26.3,31.8,60.2,56.7,31.4,30.7,21.3,23.6,59.4,71.0,45.7,245.2,49.4,11.0,15.2,47.0,73.2,35.4,18.3,23.2,29.9,14.0,119.5,17.7,27.4,36.6,26.8,21.3,32.3,26.8,24.5,9.5,5.0,3.3,20.1,4.1,37.0,21.4,126.7,5.4,16.4,11.6,66.8,32.5,8.4,15.6,2.0,2.9,19.4,5.2,41.0,12.1,7.8,0.2,1.9,19.3,0.8,0.4,0.7,0.0
1,MFS02,827.0,2893.0,462.0,556.0,325.0,232.0,231.0,418.0,194.0,27.0,120.0,147.0,135.0,345.0,214.0,371.0,119.0,160.0,37.0,10.0,117.0,176.0,249.0,156.0,180.0,222.0,204.0,16.0,49.0,75.0,149.0,312.0,115.0,34.0,184.0,21.0,103.0,54.0,30.0,3.0,124.0,53.0,7.0,5.0,11.0,54.0,32.0,93.0,21.0,22.0,9.0,18.0,10.0,32.0,56.0,20.0,140.0,90.0,0.0,0.0,120.0,64.0,48.0,37.0,5.0,0.0,0.0,0.0,0.0,0.0,540.7,127.7,133.7,277.9,94.6,114.2,216.3,160.4,88.7,86.7,60.2,151.7,382.3,314.0,105.5,565.5,113.9,25.3,35.2,108.3,168.8,81.6,42.2,53.5,68.9,32.4,275.7,40.8,63.3,84.4,61.9,49.2,74.6,61.9,56.6,21.8,11.6,7.7,46.3,9.5,85.5,49.5,292.2,12.4,37.7,26.8,154.0,75.0,19.4,35.9,4.5,6.6,44.7,11.9,94.5,27.9,17.9,0.5,4.3,44.7,1.8,1.0,1.7,0.1
2,MFS03,540.0,92.0,1498.0,685.0,347.0,849.0,111.0,318.0,35.0,57.0,126.0,35.0,14.0,13.0,49.0,9.0,35.0,5.0,3.0,4.0,7.0,7.0,0.0,268.0,169.0,268.0,52.0,0.0,13.0,39.0,10.0,97.0,62.0,9.0,74.0,0.0,54.0,9.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,37.0,3.0,18.0,0.0,35.0,0.0,0.0,7.0,36.0,32.0,52.0,36.0,0.0,82.0,40.0,109.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,195.5,46.2,48.3,100.5,34.2,41.3,78.2,15.8,8.7,8.5,5.9,38.1,95.9,78.0,22.2,119.0,24.0,5.3,7.4,22.8,35.5,17.2,8.9,11.2,14.5,6.8,58.0,8.6,13.3,17.8,13.0,10.4,15.7,13.0,11.9,4.6,2.4,1.6,9.8,2.0,18.0,10.4,61.5,2.6,7.9,5.6,32.4,15.8,4.1,7.6,1.0,1.4,9.4,2.5,19.9,5.9,3.8,0.1,0.9,9.4,0.4,0.2,0.4,0.0
3,MFS04,2567.0,641.0,1203.0,4930.0,255.0,564.0,1020.0,324.0,176.0,26.0,133.0,61.0,82.0,82.0,90.0,90.0,20.0,57.0,24.0,7.0,46.0,306.0,176.0,256.0,475.0,350.0,445.0,25.0,84.0,42.0,135.0,605.0,162.0,131.0,175.0,39.0,16.0,77.0,29.0,3.0,99.0,40.0,13.0,9.0,5.0,23.0,58.0,135.0,117.0,48.0,7.0,37.0,7.0,17.0,78.0,62.0,78.0,58.0,0.0,0.0,51.0,50.0,112.0,93.0,18.0,0.0,0.0,0.0,0.0,0.0,268.6,63.4,66.4,138.0,47.0,56.7,107.4,169.3,93.6,91.5,63.5,28.4,71.6,310.0,71.5,383.2,77.2,17.2,23.8,73.4,114.4,55.3,28.6,36.2,46.7,21.9,186.9,27.6,42.9,57.2,41.9,33.4,50.5,41.9,38.4,14.8,7.8,5.2,31.4,6.4,58.0,33.5,198.0,8.4,25.6,18.2,104.3,50.8,13.2,24.3,3.1,4.5,30.3,8.1,64.0,18.9,12.1,0.3,2.9,30.3,1.3,0.7,1.1,0.0
4,MFS05,268.0,446.0,559.0,73.0,1866.0,74.0,64.0,992.0,149.0,3.0,66.0,11.0,30.0,324.0,13.0,22.0,48.0,23.0,15.0,3.0,16.0,53.0,9.0,71.0,77.0,42.0,89.0,0.0,6.0,41.0,4.0,41.0,58.0,0.0,47.0,4.0,7.0,3.0,39.0,0.0,26.0,12.0,3.0,0.0,3.0,6.0,5.0,3.0,3.0,20.0,0.0,9.0,0.0,3.0,13.0,0.0,3.0,4.0,0.0,0.0,20.0,4.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,41.0,9.7,10.1,21.1,7.2,8.7,16.4,22.7,12.5,12.3,8.5,18.5,46.5,89.0,25.0,133.8,27.0,6.0,8.3,25.6,39.9,19.3,10.0,12.7,16.3,7.7,65.3,9.7,15.0,20.0,14.6,11.7,17.6,14.6,13.4,5.2,2.7,1.8,11.0,2.3,20.2,11.7,69.2,2.9,8.9,6.3,36.4,17.7,4.6,8.5,1.1,1.6,10.6,2.8,22.4,6.6,4.2,0.1,1.0,10.6,0.4,0.2,0.4,0.0
5,MFS06,581.0,227.0,1134.0,716.0,581.0,2353.0,461.0,460.0,118.0,9.0,6.0,23.0,46.0,45.0,22.0,24.0,73.0,35.0,5.0,12.0,10.0,17.0,71.0,260.0,629.0,507.0,195.0,27.0,83.0,280.0,15.0,92.0,153.0,164.0,72.0,0.0,0.0,31.0,20.0,0.0,154.0,39.0,14.0,9.0,0.0,20.0,5.0,21.0,8.0,16.0,10.0,49.0,9.0,4.0,4.0,9.0,80.0,27.0,0.0,0.0,49.0,0.0,149.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,180.0,42.5,44.5,92.5,31.5,38.0,72.0,51.8,28.7,28.0,19.5,80.1,201.9,208.0,50.5,270.9,54.6,12.1,16.8,51.9,80.9,39.1,20.2,25.6,33.0,15.5,132.1,19.5,30.3,40.4,29.7,23.6,35.7,29.7,27.1,10.5,5.5,3.7,22.2,4.6,40.9,23.7,140.0,5.9,18.1,12.8,73.8,35.9,9.3,17.2,2.2,3.2,21.4,5.7,45.3,13.4,8.6,0.2,2.1,21.4,0.9,0.5,0.8,0.0
6,MFS07,1101.0,290.0,1435.0,2988.0,126.0,713.0,2848.0,265.0,119.0,19.0,140.0,48.0,56.0,66.0,114.0,118.0,19.0,39.0,28.0,7.0,46.0,64.0,85.0,179.0,446.0,296.0,899.0,26.0,32.0,33.0,212.0,446.0,190.0,86.0,126.0,55.0,24.0,17.0,3.0,2.0,131.0,79.0,14.0,8.0,5.0,4.0,83.0,30.0,31.0,35.0,68.0,39.0,3.0,60.0,58.0,24.0,85.0,45.0,0.0,0.0,50.0,95.0,94.0,63.0,13.0,0.0,0.0,0.0,0.0,0.0,162.4,38.3,40.1,83.4,28.4,34.3,64.9,75.7,41.9,41.0,28.4,46.3,116.7,180.0,39.2,210.2,42.4,9.4,13.1,40.3,62.7,30.3,15.7,19.9,25.6,12.0,102.5,15.2,23.5,31.4,23.0,18.3,27.7,23.0,21.1,8.1,4.3,2.9,17.2,3.5,31.8,18.4,108.6,4.6,14.0,10.0,57.2,27.9,7.2,13.3,1.7,2.5,16.6,4.4,35.1,10.4,6.6,0.2,1.6,16.6,0.7,0.4,0.6,0.0
7,MFS08,440.0,294.0,498.0,233.0,490.0,348.0,125.0,5717.0,1229.0,859.0,33.0,61.0,28.0,122.0,92.0,124.0,105.0,172.0,28.0,39.0,70.0,150.0,109.0,164.0,189.0,781.0,169.0,41.0,66.0,19.0,80.0,196.0,91.0,35.0,54.0,12.0,10.0,19.0,5.0,5.0,63.0,52.0,7.0,0.0,15.0,24.0,14.0,40.0,14.0,7.0,25.0,28.0,4.0,23.0,30.0,13.0,96.0,34.0,4.0,0.0,60.0,26.0,5.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,186.8,44.1,46.2,96.0,32.7,39.4,74.7,66.4,36.7,35.9,24.9,65.3,164.7,165.0,32.6,174.7,35.2,7.8,10.9,33.5,52.2,25.2,13.0,16.5,21.3,10.0,85.2,12.6,19.6,26.1,19.1,15.2,23.0,19.1,17.5,6.7,3.6,2.4,14.3,2.9,26.4,15.3,90.3,3.8,11.7,8.3,47.6,23.2,6.0,11.1,1.4,2.1,13.8,3.7,29.2,8.6,5.5,0.2,1.3,13.8,0.6,0.3,0.5,0.0
8,MFS09,141.0,134.0,212.0,118.0,121.0,57.0,29.0,823.0,2579.0,330.0,42.0,82.0,56.0,284.0,68.0,53.0,128.0,370.0,38.0,13.0,38.0,57.0,197.0,61.0,38.0,151.0,39.0,34.0,3.0,15.0,28.0,44.0,18.0,8.0,17.0,15.0,5.0,54.0,16.0,13.0,22.0,7.0,10.0,4.0,3.0,0.0,0.0,12.0,49.0,14.0,15.0,10.0,2.0,2.0,29.0,4.0,54.0,58.0,0.0,0.0,23.0,18.0,44.0,32.0,6.0,0.0,0.0,0.0,0.0,0.0,100.4,23.7,24.8,51.6,17.6,21.2,40.2,43.3,24.0,23.4,16.3,88.6,223.4,201.0,25.9,138.9,28.0,6.2,8.6,26.6,41.5,20.0,10.4,13.1,16.9,7.9,67.7,10.0,15.6,20.7,15.2,12.1,18.3,15.2,13.9,5.4,2.8,1.9,11.4,2.3,21.0,12.2,71.8,3.0,9.3,6.6,37.8,18.4,4.8,8.8,1.1,1.6,11.0,2.9,23.2,6.8,4.4,0.1,1.1,11.0,0.5,0.2,0.4,0.0
9,MFS10,75.0,78.0,116.0,110.0,117.0,81.0,44.0,1057.0,456.0,1655.0,15.0,36.0,96.0,77.0,29.0,76.0,24.0,148.0,20.0,0.0,35.0,52.0,25.0,51.0,40.0,431.0,75.0,68.0,17.0,26.0,40.0,112.0,27.0,0.0,15.0,12.0,7.0,6.0,0.0,3.0,57.0,30.0,3.0,12.0,5.0,3.0,3.0,21.0,89.0,9.0,25.0,1.0,1.0,7.0,27.0,28.0,80.0,72.0,6.0,0.0,17.0,9.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,166.3,39.3,41.1,85.5,29.1,35.1,66.5,43.3,24.0,23.4,16.3,94.9,239.1,81.0,26.9,144.1,29.0,6.5,9.0,27.6,43.0,20.8,10.8,13.6,17.6,8.2,70.2,10.4,16.1,21.5,15.8,12.5,19.0,15.8,14.4,5.6,2.9,2.0,11.8,2.4,21.8,12.6,74.5,3.1,9.6,6.8,39.2,19.1,4.9,9.1,1.2,1.7,11.4,3.0,24.1,7.1,4.6,0.1,1.1,11.3,0.5,0.2,0.4,0.0
