commodity,vehicle_size,loading_rate
agricultural_food,heavy,0.81
agricultural_food,medium,0.74
agricultural_food,small,0.73
agricultural_food,light,0.59
publications,heavy,0.77
publications,medium,0.79
publications,small,0.65
publications,light,0.54
daily_necessities,heavy,0.8
daily_necessities,medium,0.75
daily_necessities,small,0.74
daily_necessities,light,0.58
light_industrial,heavy,0.83
light_industrial,medium,0.77
light_industrial,small,0.73
light_industrial,light,0.6
forestry_mineral,heavy,0.93
forestry_mineral,medium,0.91
forestry_mineral,small,0.73
forestry_mineral,light,0.63
metal_products,heavy,0.81
metal_products,medium,0.73
metal_products,small,0.69
metal_products,light,0.49
machinery,heavy,0.78
machinery,medium,0.7
machinery,small,0.69
machinery,light,0.52
ceramic_chemical,heavy,0.91
ceramic_chemical,medium,0.84
ceramic_chemical,small,0.78
ceramic_chemical,light,0.64
special_products,heavy,0.86
special_products,medium,0.86
special_products,small,0.72
special_products,light,0.72
mixed_load,heavy,0.86
mixed_load,medium,0.82
mixed_load,small,0.77
mixed_load,light,0.71
