zone_id,mean_tons,gamma_shape,gamma_scale,n_trucks,source
MFS01,6.1920,2.0408,3.0341,104217,ga_targets
MFS02,3.3642,2.0408,1.6485,268566,ga_targets
MFS03,8.5350,2.0408,4.1821,59609,ga_targets
MFS04,4.6295,2.0408,2.2685,216642,ga_targets
MFS05,6.9865,2.0408,3.4234,52994,ga_targets
MFS06,6.1214,2.0408,2.9995,104147,ga_targets
MFS07,4.8736,2.0408,2.3881,147841,ga_targets
MFS08,5.8374,2.0408,2.8603,145533,ga_targets
MFS09,5.8915,2.0408,2.8868,79636,ga_targets
MFS10,5.6261,2.0408,2.7568,55499,ga_targets
MFS11,4.6879,2.0408,2.2971,59772,ga_targets
MFS12,4.1492,2.0408,2.0331,99576,ga_targets
MFS13,7.6339,2.0408,3.7406,52341,ga_targets
MFS14,7.3983,2.0408,3.6252,65611,ga_targets
MFS15,5.2964,2.0408,2.5952,93648,ga_targets
MFS16,3.6611,2.0408,1.7939,133307,ga_targets
MFS17,6.7221,2.0408,3.2939,38614,ga_targets
MFS18,5.9171,2.0408,2.8994,81847,ga_targets
MFS19,4.7391,2.0408,2.3221,20289,ga_targets
MFS20,9.7072,2.0408,4.7565,6364,ga_targets
MFS21,5.4803,2.0408,2.6853,76938,ga_targets
MFS22,3.2891,2.0408,1.6116,61298,ga_targets
MFS23,6.9474,2.0408,3.4042,20408,ga_targets
MFS24,5.7638,2.0408,2.8243,22316,ga_targets
MFS25,5.2524,2.0408,2.5737,108077,ga_targets
MFS26,7.7990,2.0408,3.8215,65668,ga_targets
MFS27,8.1718,2.0408,4.0042,108441,ga_targets
MFS28,5.3529,2.0408,2.6229,135505,ga_targets
MFS29,3.6816,2.0408,1.8040,269730,ga_targets
MFS30,5.0387,2.0408,2.4690,165959,ga_targets
MFS31,5.3583,2.0408,2.6256,26659,ga_targets
MFS32,8.1935,2.0408,4.0148,41693,ga_targets
MFS33,6.6444,2.0408,3.2557,48848,ga_targets
MFS34,4.4915,2.0408,2.2009,115153,ga_targets
MFS35,4.5310,2.0408,2.2202,89499,ga_targets
MFS36,5.5154,2.0408,2.7025,24220,ga_targets
MFS37,5.0538,2.0408,2.4764,18920,ga_targets
MFS38,5.1065,2.0408,2.5022,84326,ga_targets
MFS39,4.3463,2.0408,2.1297,172439,ga_targets
MFS40,7.1738,2.0408,3.5152,62637,ga_targets
MFS41,4.5994,2.0408,2.2537,45602,ga_targets
MFS42,5.2195,2.0408,2.5575,94438,ga_targets
MFS43,4.6760,2.0408,2.2912,40224,ga_targets
MFS44,5.0955,2.0408,2.4968,44286,ga_targets
MFS45,10.8612,2.0408,5.3220,12410,ga_targets
MFS46,5.6364,2.0408,2.7618,33477,ga_targets
MFS47,3.9572,2.0408,1.9390,61847,ga_targets
MFS48,5.3358,2.0408,2.6145,73183,ga_targets
MFS49,4.6462,2.0408,2.2767,53279,ga_targets
MFS50,6.1548,2.0408,3.0158,25268,ga_targets
MFS51,6.5354,2.0408,3.2023,26536,ga_targets
MFS52,6.9009,2.0408,3.3814,32015,ga_targets
MFS53,7.5471,2.0408,3.6981,8787,ga_targets
MFS54,5.4372,2.0408,2.6642,66335,ga_targets
MFS55,5.9011,2.0408,2.8915,94995,ga_targets
MFS56,6.4822,2.0408,3.1763,26904,ga_targets
MFS57,4.9259,2.0408,2.4137,196050,ga_targets
MFS58,5.6460,2.0408,2.7665,110069,ga_targets
MFS59,5.9837,2.0408,2.9320,114460,ga_targets
MFS60,5.8757,2.0408,2.8791,76262,ga_targets
MFS61,4.7746,2.0408,2.3395,61307,ga_targets
MFS62,5.1471,2.0408,2.5221,333,ga_targets
MFS63,5.2085,2.0408,2.5521,7974,ga_targets
MFS64,5.1933,2.0408,2.5447,23702,ga_targets
MFS65,5.1821,2.0408,2.5392,6307,ga_targets
MFS66,5.1420,2.0408,2.5196,491,ga_targets
MFS67,5.2275,2.0408,2.5615,155725,ga_targets
MFS68,5.2323,2.0408,2.5638,59136,ga_targets
MFS69,5.2126,2.0408,2.5542,58333,ga_targets
MFS70,5.2336,2.0408,2.5645,69845,ga_targets
MFS71,5.2346,2.0408,2.5650,369556,ga_targets
