osk_id,name,warehouses,retail,construction,residential,facility_type
OSK01,shiga_southwest,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK02,shiga_central,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK03,shiga_northeast,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK04,nantan,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK05,yamashiro,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK06,tango_chutan,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK07,kyoto_city,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK08,north_osaka,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK09,east_osaka,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK10,minami_kawachi,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK11,senshu,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK12,sakai_city,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK13,osaka_city,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK14,hanshin_coastal,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK15,hanshin_inland,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK16,toban,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK17,awaji,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK18,tamba,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK19,seiban,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK20,tajima,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK21,kobe_city,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK22,nara_north,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK23,nara_central,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK24,nara_east,0.20,0.30,0.20,0.70,RESIDENTIAL
OSK25,nara_south,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK26,wakayama_west,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK27,wakayama_northeast,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK28,gobo,0.40,0.60,0.30,0.50,MIXED
OSK29,tanabe,0.70,0.50,0.30,0.30,LOGISTICS_HUB
OSK30,shingu,0.20,0.30,0.20,0.70,RESIDENTIAL
