zone_id,generated_tons,generated_trucks,attracted_tons,attracted_trucks,facility_type
OSK01,47555,6722,42206,6368,LOGISTICS_HUB
OSK02,13396,2593,17398,2948,LOGISTICS_HUB
OSK03,2538,1373,4141,1133,LOGISTICS_HUB
OSK04,21355,878,4846,1085,LOGISTICS_HUB
OSK05,23499,5264,43887,4578,LOGISTICS_HUB
OSK06,3749,1080,6397,1716,LOGISTICS_HUB
OSK07,18272,9712,44056,13130,LOGISTICS_HUB
OSK08,66854,9989,82381,10026,LOGISTICS_HUB
OSK09,124968,59015,151723,41986,LOGISTICS_HUB
OSK10,5103,2496,5466,1655,LOGISTICS_HUB
OSK11,40864,7623,40150,8107,LOGISTICS_HUB
OSK12,46520,5415,41867,6078,LOGISTICS_HUB
OSK13,164082,31100,186132,34388,LOGISTICS_HUB
OSK14,52595,11519,39030,23672,LOGISTICS_HUB
OSK15,21095,2982,12398,4039,LOGISTICS_HUB
OSK16,77148,5514,40360,6945,LOGISTICS_HUB
OSK17,4750,699,3700,876,LOGISTICS_HUB
OSK18,2787,1020,4506,791,LOGISTICS_HUB
OSK19,48478,6870,64795,7209,LOGISTICS_HUB
OSK20,9104,1832,6717,1761,LOGISTICS_HUB
OSK21,172932,14520,160780,13028,LOGISTICS_HUB
OSK22,44774,3384,12540,3982,LOGISTICS_HUB
OSK23,7471,2164,4673,1376,LOGISTICS_HUB
OSK24,107,62,739,41,RESIDENTIAL
OSK25,3953,519,4125,634,LOGISTICS_HUB
OSK26,30897,7471,30620,3932,LOGISTICS_HUB
OSK27,4021,309,3164,310,LOGISTICS_HUB
OSK28,844,161,1676,387,MIXED
OSK29,10032,279,8751,352,LOGISTICS_HUB
OSK30,150,12,664,47,RESIDENTIAL
