origin,OSK01,OSK02,OSK03,OSK04,OSK05,OSK06,OSK07,OSK08,OSK09,OSK10,OSK11,OSK12,OSK13,OSK14,OSK15,OSK16,OSK17,OSK18,OSK19,OSK20,OSK21,OSK22,OSK23,OSK24,OSK25,OSK26,OSK27,OSK28,OSK29,OSK30
OSK01,27672.9,2082.3,368.7,26.2,305.3,86.0,4357.5,788.3,778.6,18.5,7548.9,50.6,581.6,897.5,161.5,89.3,0.1,32.4,189.9,0.9,1106.7,312.7,21.0,0.0,0.1,44.0,26.9,0.1,6.8,0.0
OSK02,1399.7,6865.9,90.5,0.9,370.4,54.8,183.0,377.5,273.9,0.0,1364.7,1131.4,115.3,272.3,4.8,113.7,0.0,21.7,370.1,0.0,301.8,45.5,2.2,0.0,0.0,36.2,0.0,0.0,0.0,0.0
OSK03,191.4,135.5,1321.2,4.4,19.3,0.2,24.3,43.6,173.8,0.2,276.9,9.3,84.8,0.3,0.6,94.8,0.0,0.1,17.1,3.2,95.7,38.6,0.0,0.0,0.2,2.2,0.0,0.0,0.4,0.0
OSK04,11.0,289.6,0.0,2984.3,499.0,0.0,1482.7,13762.7,97.9,0.0,0.0,4.0,2142.9,0.0,0.0,2.5,0.0,0.0,0.0,3.6,74.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSK05,937.9,293.2,18.9,21.6,10493.9,366.8,4627.7,585.9,1773.7,7.1,530.2,201.3,683.5,418.4,28.0,884.4,60.0,0.0,110.9,0.0,1159.4,183.5,81.2,0.0,5.7,25.4,0.3,0.0,0.0,0.0
OSK06,83.5,40.8,0.2,169.1,50.7,1970.1,407.9,62.2,102.5,54.0,6.7,9.7,207.9,11.9,18.9,60.2,30.0,89.0,79.2,211.6,48.1,12.4,0.3,0.0,0.0,20.7,0.0,1.0,0.0,0.0
OSK07,1413.0,136.1,1301.6,291.3,2606.0,1623.1,8602.9,210.1,387.3,42.4,93.9,85.0,307.3,19.1,143.0,44.6,1.1,267.6,155.9,223.1,237.0,49.0,1.0,0.0,0.0,28.7,1.5,0.0,0.0,0.0
OSK08,381.1,1555.0,18.0,82.6,695.2,133.7,745.9,17089.3,17606.9,401.0,2821.1,795.8,19668.0,791.4,582.8,708.4,8.6,35.2,286.2,2.9,1464.1,680.3,109.0,0.0,0.7,185.2,0.8,0.0,3.7,0.7
OSK09,503.2,769.8,157.4,52.0,21194.6,294.8,14892.9,19646.2,45962.1,941.7,1837.6,1536.1,9855.4,1053.3,423.5,736.1,32.2,55.8,1016.6,151.9,1406.6,954.1,551.8,1.1,19.6,779.8,56.7,20.4,64.5,0.0
OSK10,100.4,59.6,15.3,0.0,146.5,0.0,17.4,356.0,642.2,1095.4,432.0,151.4,1531.2,46.1,83.6,108.6,0.0,0.0,44.3,0.2,183.4,47.5,10.7,0.0,29.2,1.2,0.5,0.0,0.0,0.0
