zone_id,intra_gen_tons,cross_gen_tons,gen_ratio,intra_att_tons,cross_att_tons,att_ratio,od_row_total,ga_gen_trucks,od_ga_ratio,status
OSK01,47555,12254,3.88,42206,1083,38.96,59809,6722,8.90,WARNING:od_ga_ratio
OSK02,13396,9985,1.34,17398,418,41.63,23382,2593,9.02,WARNING:od_ga_ratio
OSK03,2538,1515,1.68,4140,221,18.71,4053,1373,2.95,WARNING:od_ga_ratio
OSK04,21355,390,54.80,4846,141,34.31,21744,878,24.77,WARNING:od_ga_ratio
OSK05,23499,7071,3.32,43887,847,51.82,30570,5264,5.81,WARNING:od_ga_ratio
OSK06,3749,3007,1.25,6397,174,36.81,6756,1080,6.26,WARNING:od_ga_ratio
OSK07,18272,4721,3.87,44056,1562,28.20,22993,9712,2.37,WARNING:od_ga_ratio
OSK08,66854,23032,2.90,82381,885,93.06,89886,9989,9.00,WARNING:od_ga_ratio
OSK09,124968,24167,5.17,151723,5230,29.01,149134,59015,2.53,WARNING:od_ga_ratio
OSK10,5103,2359,2.16,5466,221,24.71,7461,2496,2.99,WARNING:od_ga_ratio
OSK11,40864,6635,6.16,40150,676,59.43,47499,7623,6.23,WARNING:od_ga_ratio
OSK12,46520,21210,2.19,41867,480,87.24,67730,5415,12.51,WARNING:od_ga_ratio
OSK13,164082,42381,3.87,186132,2756,67.53,206463,31100,6.64,WARNING:od_ga_ratio
OSK14,52595,11525,4.56,39030,1332,29.30,64120,11519,5.57,WARNING:od_ga_ratio
OSK15,21095,2136,9.87,12398,345,35.95,23231,2982,7.79,WARNING:od_ga_ratio
OSK16,77148,27733,2.78,40360,638,63.29,104882,5514,19.02,WARNING:od_ga_ratio
OSK17,4750,7102,0.67,3700,81,45.77,11852,699,16.96,WARNING:od_ga_ratio
OSK18,2787,1920,1.45,4506,118,38.20,4706,1020,4.61,WARNING:od_ga_ratio
OSK19,48478,21658,2.24,64795,794,81.56,70136,6870,10.21,WARNING:od_ga_ratio
OSK20,9104,860,10.59,6717,212,31.71,9963,1832,5.44,WARNING:od_ga_ratio
OSK21,172932,30332,5.70,160780,1679,95.75,203264,14520,14.00,WARNING:od_ga_ratio
OSK22,44774,3283,13.64,12661,501,25.26,48058,3384,14.20,WARNING:od_ga_ratio
OSK23,7503,4394,1.71,4794,321,14.95,11896,2164,5.50,WARNING:od_ga_ratio
OSK24,107,5,20.04,860,9,93.61,112,62,1.81,WARNING:att_ratio
OSK25,3953,1051,3.76,4245,77,55.22,5004,519,9.64,WARNING:od_ga_ratio
OSK26,30897,11754,2.63,30620,791,38.69,42651,7471,5.71,WARNING:od_ga_ratio
OSK27,4021,600,6.70,3164,33,96.67,4621,309,14.95,WARNING:od_ga_ratio
OSK28,844,442,1.91,1676,17,98.25,1286,161,7.99,WARNING:od_ga_ratio
OSK29,10482,620,16.91,8751,30,296.12,11102,279,39.79,WARNING:od_ga_ratio
OSK30,150,32,4.71,664,1,522.45,182,12,15.15,WARNING:od_ga_ratio
