osk_id,osk_name,parent_prf,prefecture
OSK01,shiga_southwest,PRF25,shiga
OSK02,shiga_central,PRF25,shiga
OSK03,shiga_northeast,PRF25,shiga
OSK04,nantan,PRF26,kyoto
OSK05,yamashiro,PRF26,kyoto
OSK06,tango_chutan,PRF26,kyoto
OSK07,kyoto_city,PRF26,kyoto
OSK08,north_osaka,PRF27,osaka
OSK09,east_osaka,PRF27,osaka
OSK10,minami_kawachi,PRF27,osaka
OSK11,senshu,PRF27,osaka
OSK12,sakai_city,PRF27,osaka
OSK13,osaka_city,PRF27,osaka
OSK14,hanshin_coastal,PRF28,hyogo
OSK15,hanshin_inland,PRF28,hyogo
OSK16,toban,PRF28,hyogo
OSK17,awaji,PRF28,hyogo
OSK18,tamba,PRF28,hyogo
OSK19,seiban,PRF28,hyogo
OSK20,tajima,PRF28,hyogo
OSK21,kobe_city,PRF28,hyogo
OSK22,nara_north,PRF29,nara
OSK23,nara_central,PRF29,nara
OSK24,nara_east,PRF29,nara
OSK25,nara_south,PRF29,nara
OSK26,wakayama_west,PRF30,wakayama
OSK27,wakayama_northeast,PRF30,wakayama
OSK28,gobo,PRF30,wakayama
OSK29,tanabe,PRF30,wakayama
OSK30,shingu,PRF30,wakayama
