zone_id,name,center_lon,center_lat,radius_km,warehouses_weight,retail_weight,construction_weight,residential_weight
OSK01,shiga_southwest,136.0500,34.9500,15.0,0.70,0.50,0.30,0.30
OSK02,shiga_central,136.1000,35.1000,12.0,0.70,0.50,0.30,0.30
OSK03,shiga_northeast,136.2000,35.2500,15.0,0.70,0.50,0.30,0.30
OSK04,nantan,135.4700,35.1000,18.0,0.70,0.50,0.30,0.30
OSK05,yamashiro,135.7800,34.8200,12.0,0.70,0.50,0.30,0.30
OSK06,tango_chutan,135.1500,35.4700,25.0,0.70,0.50,0.30,0.30
OSK07,kyoto_city,135.7600,35.0100,8.0,0.70,0.50,0.30,0.30
OSK08,north_osaka,135.5500,34.8200,10.0,0.70,0.50,0.30,0.30
OSK09,east_osaka,135.6000,34.6800,8.0,0.70,0.50,0.30,0.30
OSK10,minami_kawachi,135.5800,34.5200,10.0,0.70,0.50,0.30,0.30
OSK11,senshu,135.3800,34.4800,12.0,0.70,0.50,0.30,0.30
OSK12,sakai_city,135.4800,34.5700,6.0,0.70,0.50,0.30,0.30
OSK13,osaka_city,135.5000,34.6900,6.0,0.70,0.50,0.30,0.30
OSK14,hanshin_coastal,135.2800,34.7200,8.0,0.70,0.50,0.30,0.30
OSK15,hanshin_inland,135.3500,34.8200,10.0,0.70,0.50,0.30,0.30
OSK16,toban,134.8500,34.8300,18.0,0.70,0.50,0.30,0.30
OSK17,awaji,134.8500,34.3500,12.0,0.70,0.50,0.30,0.30
OSK18,tamba,135.0700,35.1000,15.0,0.70,0.50,0.30,0.30
OSK19,seiban,134.6500,35.0000,20.0,0.70,0.50,0.30,0.30
OSK20,tajima,134.8500,35.3700,18.0,0.70,0.50,0.30,0.30
OSK21,kobe_city,135.1800,34.6900,8.0,0.70,0.50,0.30,0.30
OSK22,nara_north,135.8000,34.6800,10.0,0.70,0.50,0.30,0.30
OSK23,nara_central,135.8300,34.5000,12.0,0.70,0.50,0.30,0.30
OSK24,nara_east,136.0000,34.4700,15.0,0.20,0.30,0.20,0.70
OSK25,nara_south,135.7500,34.2800,18.0,0.70,0.50,0.30,0.30
OSK26,wakayama_west,135.1700,34.2300,12.0,0.70,0.50,0.30,0.30
OSK27,wakayama_northeast,135.4000,34.2800,15.0,0.70,0.50,0.30,0.30
OSK28,gobo,135.1500,33.9000,15.0,0.40,0.60,0.30,0.50
OSK29,tanabe,135.3800,33.7300,18.0,0.70,0.50,0.30,0.30
OSK30,shingu,135.9800,33.7300,20.0,0.20,0.30,0.20,0.70
