service_id,date,exception_type
平土し,20241010,2
平土し,20241011,2
平土し,20241014,2
平土し,20241103,2
平土し,20241104,2
平土し,20241123,2
平土し,20241228,1
平土し,20241229,2
平土し,20241230,2
平土し,20241231,2
平土し,20250101,2
平土し,20250102,2
平土し,20250103,2
平土し,20250104,2
平土し,20250105,2
平土し,20250113,2
平土し,20250211,2
平土し,20250223,2
平土し,20250224,2
平土し,20250320,2
平土し,20250429,2
平土し,20250503,2
平土し,20250505,2
平土し,20250506,2
平土し,20250721,2
平土し,20250811,2
平土し,20250915,2
平土し,20250923,2
平日夜便し,20241010,2
平日夜便し,20241011,2
平日夜便し,20241014,2
平日夜便し,20241103,2
平日夜便し,20241104,2
平日夜便し,20241123,2
平日夜便し,20241228,2
平日夜便し,20241229,2
平日夜便し,20241230,2
平日夜便し,20241231,2
平日夜便し,20250101,2
平日夜便し,20250102,2
平日夜便し,20250103,2
平日夜便し,20250104,2
平日夜便し,20250105,2
平日夜便し,20250113,2
平日夜便し,20250211,2
平日夜便し,20250223,2
平日夜便し,20250224,2
平日夜便し,20250320,2
平日夜便し,20250429,2
平日夜便し,20250503,2
平日夜便し,20250505,2
平日夜便し,20250506,2
平日夜便し,20250721,2
平日夜便し,20250811,2
平日夜便し,20250915,2
平日夜便し,20250923,2
毎日へ,20241231,2
毎日へ,20250101,2
毎日へ,20250102,2
毎日へ,20250103,2
毎日へ,20250504,2
平日ふ,20241014,2
平日ふ,20241103,2
平日ふ,20241104,2
平日ふ,20241123,2
平日ふ,20241228,2
平日ふ,20241229,2
平日ふ,20241230,2
平日ふ,20241231,2
平日ふ,20250101,2
平日ふ,20250102,2
平日ふ,20250103,2
平日ふ,20250104,2
平日ふ,20250105,2
平日ふ,20250106,2
平日ふ,20250113,2
平日ふ,20250211,2
平日ふ,20250223,2
平日ふ,20250224,2
平日ふ,20250320,2
平日ふ,20250429,2
平日ふ,20250503,2
平日ふ,20250505,2
平日ふ,20250506,2
平日ふ,20250721,2
平日ふ,20250811,2
平日ふ,20250915,2
平日ふ,20250923,2
毎日は,20241231,2
毎日は,20250101,2
毎日は,20250102,2
毎日は,20250103,2
