stop_id,stop_name,platform_code,stop_lat,stop_lon,zone_id,location_type
301_1,須磨駅前,,34.642808,135.113248,301_1,0
301_2,須磨駅前,,34.64313,135.112181,301_2,0
302_1,シャトードメール須磨,,34.642256,135.106639,302_1,0
302_2,シャトードメール須磨,,34.642185,135.10658,302_2,0
303_1,グリーンハイツA棟前,,34.642688,135.105749,303_1,0
303_2,グリーンハイツA棟前,,34.64268,135.105926,303_2,0
304_1,グリーンハイツB棟前,,34.643041,135.105282,304_1,0
304_2,グリーンハイツB棟前,,34.643011,135.10547,304_2,0
305_1,グリーンハイツＣ棟前,,34.643465,135.10518,305_1,0
305_2,グリーンハイツＣ棟前,,34.643443,135.105277,305_2,0
306_1,グリーンハイツＧ棟前,,34.64403,135.104263,306_1,0
306_2,グリーンハイツＧ棟前,,34.644034,135.10437,306_2,0
307_1,グリーンハイツＨ棟前,,34.644727,135.104681,307_1,0
307_2,グリーンハイツＨ棟前,,34.644652,135.104756,307_2,0
308_1,ガーデンハイツ前,,34.645681,135.107004,308_1,0
308_2,ガーデンハイツ前,,34.64587,135.107632,308_2,0
309_1,すまいる保育園前,,34.646665,135.108849,309_1,0
309_2,すまいる保育園前,,34.646669,135.109026,309_2,0
310_1,エフコート前,,34.64734,135.110577,310_1,0
310_2,エフコート前,,34.64723,135.110443,310_2,0
311_1,ワコーレ須磨前,,34.647199,135.114326,311_1,0
311_2,ワコーレ須磨前,,34.647199,135.114198,311_2,0
312_1,須磨寺町公園前,,34.645941,135.114681,312_1,0
312_2,須磨寺町公園前,,34.645919,135.114514,312_2,0
313_0,月見山,,34.649374,135.123065,313_0,0
315_1,須磨浦公園駅前,,34.637741,135.100331,315_1,0
315_2,須磨浦公園駅前,,34.637732,135.100636,315_2,0
316_1,一ノ谷町４丁目下,,34.638928,135.10098,316_1,0
316_2,一ノ谷町４丁目下,,34.638933,135.100878,316_2,0
317_0,一ノ谷町４丁目上,,34.639444,135.099993,317_0,0
318_1,一ノ谷町３丁目,,34.63997,135.103759,318_1,0
318_2,一ノ谷町３丁目,,34.639903,135.103683,318_2,0
319_0,一ノ谷町２丁目,,34.641819,135.103791,319_0,0
