trip_id,origin_station,destination_station,departure_time,arrival_time,travel_time
1,313_0月見山,302_1シャトードメール須磨,15:01:00,15:19:00,63 minutes
2,313_0月見山,310_2エフコート前,15:01:00,15:09:00,79 minutes
3,313_0月見山,309_2すまいる保育園前,17:00:00,17:09:00,120 minutes
4,301_2須磨駅前,319_0一ノ谷町２丁目,17:22:00,17:34:00,19 minutes
5,313_0月見山,308_2ガーデンハイツ前,10:16:00,10:24:00,55 minutes
6,313_0月見山,310_2エフコート前,16:01:00,16:09:00,75 minutes
7,313_0月見山,301_1須磨駅前,11:31:00,11:52:00,55 minutes
8,313_0月見山,312_2須磨寺町公園前,11:31:00,11:37:00,54 minutes
9,313_0月見山,308_2ガーデンハイツ前,12:31:00,12:40:00,47 minutes
10,313_0月見山,301_1須磨駅前,11:31:00,11:52:00,73 minutes
11,313_0月見山,308_2ガーデンハイツ前,10:16:00,10:24:00,38 minutes
12,318_1一ノ谷町３丁目,301_1須磨駅前,9:50:00,9:54:00,10 minutes
13,301_2須磨駅前,312_1須磨寺町公園前,10:00:00,10:13:00,69 minutes
14,313_0月見山,301_1須磨駅前,11:31:00,11:52:00,56 minutes
15,301_2須磨駅前,318_2一ノ谷町３丁目,11:53:00,12:03:00,34 minutes
16,313_0月見山,309_2すまいる保育園前,14:00:00,14:09:00,47 minutes
17,313_0月見山,302_1シャトードメール須磨,11:31:00,11:49:00,56 minutes
18,313_0月見山,308_2ガーデンハイツ前,10:16:00,10:24:00,50 minutes
19,301_2須磨駅前,311_1ワコーレ須磨前,10:00:00,10:12:00,81 minutes
20,301_2須磨駅前,312_1須磨寺町公園前,13:45:00,13:57:00,102 minutes
21,313_0月見山,307_2グリーンハイツＨ棟前,14:00:00,14:12:00,40 minutes
22,301_2須磨駅前,311_1ワコーレ須磨前,10:00:00,10:12:00,137 minutes
23,313_0月見山,301_1須磨駅前,14:00:00,14:21:00,76 minutes
24,313_0月見山,312_2須磨寺町公園前,10:16:00,10:20:00,41 minutes
25,313_0月見山,301_1須磨駅前,11:31:00,11:52:00,101 minutes
26,306_1グリーンハイツＧ棟前,310_1エフコート前,11:20:00,11:25:00,16 minutes
27,307_1グリーンハイツＨ棟前,310_1エフコート前,9:06:00,9:09:00,29 minutes
28,310_2エフコート前,307_2グリーンハイツＨ棟前,16:09:00,16:13:00,28 minutes
29,313_0月見山,312_2須磨寺町公園前,16:01:00,16:07:00,26 minutes
30,301_2須磨駅前,311_1ワコーレ須磨前,11:15:00,11:26:00,101 minutes
31,313_0月見山,311_2ワコーレ須磨前,9:16:00,9:21:00,14 minutes
32,313_0月見山,308_2ガーデンハイツ前,17:00:00,17:10:00,34 minutes
33,307_1グリーンハイツＨ棟前,309_1すまいる保育園前,12:21:00,12:24:00,48 minutes
34,301_2須磨駅前,307_1グリーンハイツＨ棟前,10:00:00,10:07:00,22 minutes
35,313_0月見山,301_1須磨駅前,9:16:00,9:35:00,81 minutes
36,313_0月見山,311_2ワコーレ須磨前,9:16:00,9:21:00,30 minutes
37,301_2須磨駅前,312_1須磨寺町公園前,10:00:00,10:13:00,67 minutes
38,308_1ガーデンハイツ前,309_1すまいる保育園前,11:23:00,11:24:00,30 minutes
39,310_1エフコート前,301_1須磨駅前,10:10:00,10:35:00,60 minutes
40,313_0月見山,308_2ガーデンハイツ前,17:00:00,17:10:00,34 minutes
41,313_0月見山,301_1須磨駅前,11:31:00,11:52:00,88 minutes
42,307_1グリーンハイツＨ棟前,308_1ガーデンハイツ前,15:52:00,15:53:00,38 minutes
43,301_2須磨駅前,316_2一ノ谷町４丁目下,10:36:00,10:39:00,11 minutes
44,301_2須磨駅前,307_1グリーンハイツＨ棟前,11:15:00,11:21:00,22 minutes
45,301_2須磨駅前,313_0月見山,13:45:00,14:00:00,130 minutes
46,313_0月見山,311_2ワコーレ須磨前,12:31:00,12:37:00,23 minutes
47,313_0月見山,310_2エフコート前,11:31:00,11:39:00,48 minutes
48,313_0月見山,301_1須磨駅前,16:01:00,16:22:00,65 minutes
49,313_0月見山,309_2すまいる保育園前,15:01:00,15:10:00,66 minutes
50,309_1すまいる保育園前,310_1エフコート前,10:09:00,10:10:00,117 minutes
51,310_2エフコート前,307_2グリーンハイツＨ棟前,11:39:00,11:43:00,13 minutes
52,301_2須磨駅前,313_0月見山,9:00:00,9:16:00,101 minutes
53,313_0月見山,311_2ワコーレ須磨前,16:01:00,16:08:00,29 minutes
54,313_0月見山,310_2エフコート前,14:00:00,14:08:00,53 minutes
55,313_0月見山,301_1須磨駅前,10:16:00,10:35:00,26 minutes
56,313_0月見山,311_2ワコーレ須磨前,10:16:00,10:21:00,61 minutes
57,313_0月見山,301_1須磨駅前,14:00:00,14:21:00,84 minutes
58,301_2須磨駅前,312_1須磨寺町公園前,11:15:00,11:28:00,104 minutes
59,309_2すまいる保育園前,307_2グリーンハイツＨ棟前,17:09:00,17:12:00,42 minutes
60,313_0月見山,302_1シャトードメール須磨,11:31:00,11:49:00,58 minutes
61,311_1ワコーレ須磨前,312_1須磨寺町公園前,15:57:00,15:58:00,35 minutes
62,311_1ワコーレ須磨前,312_1須磨寺町公園前,16:56:00,16:57:00,41 minutes
63,313_0月見山,310_2エフコート前,11:31:00,11:39:00,44 minutes
64,313_0月見山,308_2ガーデンハイツ前,12:31:00,12:40:00,73 minutes
65,313_0月見山,301_1須磨駅前,14:00:00,14:21:00,102 minutes
66,313_0月見山,312_2須磨寺町公園前,12:31:00,12:36:00,12 minutes
67,301_2須磨駅前,309_1すまいる保育園前,9:00:00,9:08:00,54 minutes
68,313_0月見山,308_2ガーデンハイツ前,12:31:00,12:40:00,50 minutes
69,309_2すまいる保育園前,301_1須磨駅前,12:39:00,12:51:00,49 minutes
70,301_2須磨駅前,311_1ワコーレ須磨前,11:15:00,11:26:00,84 minutes
71,301_2須磨駅前,311_1ワコーレ須磨前,9:00:00,9:10:00,120 minutes
72,313_0月見山,301_1須磨駅前,14:00:00,14:21:00,58 minutes
73,313_0月見山,301_1須磨駅前,9:16:00,9:35:00,54 minutes
74,313_0月見山,301_1須磨駅前,16:01:00,16:22:00,81 minutes
75,313_0月見山,301_1須磨駅前,14:00:00,14:21:00,72 minutes
76,311_1ワコーレ須磨前,312_1須磨寺町公園前,16:56:00,16:57:00,47 minutes
77,301_2須磨駅前,319_0一ノ谷町２丁目,17:22:00,17:34:00,19 minutes
78,310_1エフコート前,312_1須磨寺町公園前,10:10:00,10:13:00,39 minutes
79,301_2須磨駅前,310_1エフコート前,13:45:00,13:54:00,41 minutes
80,313_0月見山,308_2ガーデンハイツ前,11:31:00,11:41:00,78 minutes
81,313_0月見山,301_1須磨駅前,14:00:00,14:21:00,97 minutes
82,313_0月見山,312_2須磨寺町公園前,9:16:00,9:20:00,66 minutes
83,313_0月見山,311_2ワコーレ須磨前,11:31:00,11:38:00,117 minutes
84,301_2須磨駅前,319_0一ノ谷町２丁目,17:22:00,17:34:00,22 minutes
85,301_2須磨駅前,316_2一ノ谷町４丁目下,15:23:00,15:26:00,11 minutes
86,313_0月見山,310_2エフコート前,17:00:00,17:08:00,47 minutes
87,313_0月見山,311_2ワコーレ須磨前,16:01:00,16:08:00,31 minutes
88,313_0月見山,308_2ガーデンハイツ前,17:00:00,17:10:00,33 minutes
89,313_0月見山,303_2グリーンハイツA棟前,12:31:00,12:47:00,85 minutes
90,313_0月見山,312_2須磨寺町公園前,17:00:00,17:06:00,32 minutes
91,313_0月見山,308_2ガーデンハイツ前,14:00:00,14:10:00,50 minutes
92,301_2須磨駅前,319_0一ノ谷町２丁目,17:22:00,17:34:00,19 minutes
93,301_2須磨駅前,307_1グリーンハイツＨ棟前,11:15:00,11:21:00,21 minutes
94,313_0月見山,310_2エフコート前,17:00:00,17:08:00,81 minutes
95,310_2エフコート前,301_1須磨駅前,17:08:00,17:21:00,46 minutes
96,313_0月見山,308_2ガーデンハイツ前,17:00:00,17:10:00,52 minutes
97,313_0月見山,311_2ワコーレ須磨前,15:01:00,15:08:00,36 minutes
98,309_1すまいる保育園前,310_1エフコート前,14:54:00,14:55:00,42 minutes
99,313_0月見山,309_2すまいる保育園前,17:00:00,17:09:00,34 minutes
100,313_0月見山,310_2エフコート前,15:01:00,15:09:00,41 minutes
101,313_0月見山,311_2ワコーレ須磨前,17:00:00,17:07:00,55 minutes
102,313_0月見山,310_2エフコート前,11:31:00,11:39:00,13 minutes
103,313_0月見山,308_2ガーデンハイツ前,16:01:00,16:11:00,34 minutes
104,311_1ワコーレ須磨前,312_1須磨寺町公園前,13:56:00,13:57:00,24 minutes
105,313_0月見山,311_2ワコーレ須磨前,11:31:00,11:38:00,55 minutes
106,313_0月見山,309_2すまいる保育園前,16:01:00,16:10:00,79 minutes
107,313_0月見山,305_2グリーンハイツＣ棟前,17:00:00,17:15:00,79 minutes
108,313_0月見山,311_2ワコーレ須磨前,12:31:00,12:37:00,62 minutes
109,301_2須磨駅前,316_2一ノ谷町４丁目下,14:22:00,14:25:00,12 minutes
110,301_2須磨駅前,316_2一ノ谷町４丁目下,15:23:00,15:26:00,13 minutes
111,313_0月見山,311_2ワコーレ須磨前,10:16:00,10:21:00,57 minutes
112,313_0月見山,308_2ガーデンハイツ前,15:01:00,15:11:00,65 minutes
113,313_0月見山,310_2エフコート前,9:16:00,9:22:00,38 minutes
114,301_2須磨駅前,311_1ワコーレ須磨前,12:15:00,12:26:00,88 minutes
