trip_id,origin_station,destination_station,departure_time,arrival_time,travel_time
1,301_2須磨駅前,311_1ワコーレ須磨前,9:29:00,9:39:00,68 minutes
2,307_1グリーンハイツＨ棟前,312_1須磨寺町公園前,11:48:00,11:55:00,51 minutes
3,301_2須磨駅前,316_2一ノ谷町４丁目下,15:50:00,15:53:00,10 minutes
4,313_0月見山,301_1須磨駅前,16:01:00,16:22:00,54 minutes
5,313_0月見山,309_2すまいる保育園前,16:27:00,16:36:00,120 minutes
6,301_2須磨駅前,319_0一ノ谷町２丁目,17:22:00,17:34:00,19 minutes
7,301_2須磨駅前,308_1ガーデンハイツ前,16:11:00,16:19:00,34 minutes
8,313_0月見山,307_2グリーンハイツＨ棟前,15:01:00,15:13:00,46 minutes
9,313_0月見山,308_2ガーデンハイツ前,11:00:00,11:08:00,43 minutes
10,306_1グリーンハイツＧ棟前,310_1エフコート前,10:49:00,10:54:00,16 minutes
11,313_0月見山,301_1須磨駅前,11:31:00,11:52:00,61 minutes
12,310_2エフコート前,308_2ガーデンハイツ前,17:34:00,17:36:00,19 minutes
13,313_0月見山,310_2エフコート前,11:58:00,12:06:00,32 minutes
14,317_0一ノ谷町４丁目上,301_1須磨駅前,12:57:00,13:09:00,30 minutes
15,313_0月見山,308_2ガーデンハイツ前,9:45:00,9:53:00,48 minutes
16,310_2エフコート前,303_2グリーンハイツA棟前,13:36:00,13:45:00,57 minutes
17,301_2須磨駅前,311_1ワコーレ須磨前,10:00:00,10:12:00,62 minutes
18,303_1グリーンハイツA棟前,310_1エフコート前,13:47:00,13:54:00,29 minutes
19,313_0月見山,312_2須磨寺町公園前,17:26:00,17:32:00,19 minutes
20,313_0月見山,301_1須磨駅前,11:31:00,11:52:00,55 minutes
21,313_0月見山,308_2ガーデンハイツ前,17:26:00,17:36:00,37 minutes
22,313_0月見山,312_2須磨寺町公園前,11:00:00,11:04:00,36 minutes
23,310_2エフコート前,303_2グリーンハイツA棟前,16:09:00,16:18:00,33 minutes
24,302_2シャトードメール須磨,309_1すまいる保育園前,11:16:00,11:24:00,16 minutes
25,310_2エフコート前,301_1須磨駅前,17:08:00,17:21:00,46 minutes
26,313_0月見山,308_2ガーデンハイツ前,10:16:00,10:24:00,38 minutes
27,301_2須磨駅前,312_1須磨寺町公園前,9:00:00,9:11:00,120 minutes
28,301_2須磨駅前,311_1ワコーレ須磨前,9:29:00,9:39:00,69 minutes
29,313_0月見山,309_2すまいる保育園前,14:00:00,14:09:00,47 minutes
30,307_1グリーンハイツＨ棟前,308_1ガーデンハイツ前,13:52:00,13:53:00,37 minutes
31,313_0月見山,308_2ガーデンハイツ前,10:16:00,10:24:00,74 minutes
32,313_0月見山,308_2ガーデンハイツ前,10:16:00,10:24:00,50 minutes
33,301_2須磨駅前,312_1須磨寺町公園前,13:45:00,13:57:00,102 minutes
34,313_0月見山,301_1須磨駅前,14:00:00,14:21:00,76 minutes
35,301_2須磨駅前,311_1ワコーレ須磨前,9:00:00,9:10:00,100 minutes
36,310_2エフコート前,302_1シャトードメール須磨,11:06:00,11:16:00,58 minutes
37,306_1グリーンハイツＧ棟前,310_1エフコート前,11:20:00,11:25:00,16 minutes
38,310_2エフコート前,306_2グリーンハイツＧ棟前,12:06:00,12:12:00,12 minutes
39,313_0月見山,301_1須磨駅前,11:00:00,11:19:00,61 minutes
40,301_2須磨駅前,304_1グリーンハイツB棟前,11:15:00,11:18:00,46 minutes
41,307_2グリーンハイツＨ棟前,301_1須磨駅前,9:55:00,10:04:00,20 minutes
42,313_0月見山,302_1シャトードメール須磨,13:29:00,13:46:00,88 minutes
43,313_0月見山,310_2エフコート前,16:01:00,16:09:00,44 minutes
44,301_2須磨駅前,311_1ワコーレ須磨前,9:29:00,9:39:00,81 minutes
45,313_0月見山,311_2ワコーレ須磨前,10:16:00,10:21:00,53 minutes
46,313_0月見山,301_1須磨駅前,15:28:00,15:49:00,65 minutes
47,301_2須磨駅前,319_0一ノ谷町２丁目,15:50:00,16:02:00,17 minutes
48,311_1ワコーレ須磨前,313_0月見山,15:57:00,16:01:00,52 minutes
49,304_1グリーンハイツB棟前,309_1すまいる保育園前,14:48:00,14:54:00,25 minutes
50,313_0月見山,311_2ワコーレ須磨前,17:00:00,17:07:00,47 minutes
51,313_0月見山,310_2エフコート前,15:28:00,15:36:00,60 minutes
52,310_1エフコート前,311_1ワコーレ須磨前,16:21:00,16:23:00,42 minutes
53,307_1グリーンハイツＨ棟前,309_1すまいる保育園前,11:48:00,11:51:00,48 minutes
54,309_1すまいる保育園前,310_1エフコート前,16:20:00,16:21:00,40 minutes
55,313_0月見山,303_2グリーンハイツA棟前,14:28:00,14:45:00,94 minutes
56,313_0月見山,311_2ワコーレ須磨前,17:26:00,17:33:00,44 minutes
57,313_0月見山,311_2ワコーレ須磨前,11:58:00,12:05:00,40 minutes
58,310_1エフコート前,312_1須磨寺町公園前,11:25:00,11:28:00,26 minutes
59,301_2須磨駅前,309_1すまいる保育園前,9:29:00,9:37:00,52 minutes
60,313_0月見山,312_2須磨寺町公園前,11:00:00,11:04:00,43 minutes
61,308_1ガーデンハイツ前,309_1すまいる保育園前,11:23:00,11:24:00,30 minutes
62,310_1エフコート前,301_1須磨駅前,10:10:00,10:35:00,60 minutes
63,301_2須磨駅前,311_1ワコーレ須磨前,10:44:00,10:56:00,81 minutes
64,313_0月見山,301_1須磨駅前,11:00:00,11:19:00,58 minutes
65,301_2須磨駅前,305_1グリーンハイツＣ棟前,10:44:00,10:48:00,18 minutes
66,301_2須磨駅前,313_0月見山,13:13:00,13:29:00,99 minutes
67,313_0月見山,301_1須磨駅前,16:01:00,16:22:00,65 minutes
68,313_0月見山,309_2すまいる保育園前,14:28:00,14:37:00,66 minutes
69,310_1エフコート前,302_1シャトードメール須磨,13:23:00,13:46:00,73 minutes
70,311_1ワコーレ須磨前,313_0月見山,14:24:00,14:28:00,32 minutes
71,313_0月見山,308_2ガーデンハイツ前,17:00:00,17:10:00,39 minutes
72,313_0月見山,311_2ワコーレ須磨前,16:01:00,16:08:00,29 minutes
73,313_0月見山,309_2すまいる保育園前,15:01:00,15:10:00,45 minutes
74,307_1グリーンハイツＨ棟前,309_1すまいる保育園前,13:52:00,13:53:00,45 minutes
75,301_2須磨駅前,311_1ワコーレ須磨前,9:00:00,9:10:00,97 minutes
76,301_2須磨駅前,312_1須磨寺町公園前,11:15:00,11:28:00,104 minutes
77,310_2エフコート前,308_2ガーデンハイツ前,12:06:00,12:08:00,28 minutes
78,309_2すまいる保育園前,307_2グリーンハイツＨ棟前,16:36:00,16:39:00,40 minutes
79,313_0月見山,302_1シャトードメール須磨,11:31:00,11:49:00,58 minutes
80,313_0月見山,312_2須磨寺町公園前,10:16:00,10:20:00,56 minutes
81,311_1ワコーレ須磨前,312_1須磨寺町公園前,15:57:00,15:58:00,35 minutes
82,313_0月見山,308_2ガーデンハイツ前,9:16:00,9:24:00,70 minutes
83,311_1ワコーレ須磨前,312_1須磨寺町公園前,16:56:00,16:57:00,41 minutes
84,313_0月見山,301_1須磨駅前,11:31:00,11:52:00,66 minutes
85,301_2須磨駅前,305_1グリーンハイツＣ棟前,11:42:00,11:46:00,31 minutes
86,313_0月見山,311_2ワコーレ須磨前,14:28:00,14:35:00,35 minutes
87,310_2エフコート前,302_1シャトードメール須磨,14:36:00,14:46:00,46 minutes
88,301_2須磨駅前,309_1すまいる保育園前,9:00:00,9:08:00,54 minutes
89,309_2すまいる保育園前,301_1須磨駅前,12:39:00,12:51:00,49 minutes
90,312_2須磨寺町公園前,306_2グリーンハイツＧ棟前,17:06:00,17:14:00,29 minutes
91,301_2須磨駅前,310_1エフコート前,16:11:00,16:21:00,48 minutes
92,301_2須磨駅前,311_1ワコーレ須磨前,11:15:00,11:26:00,84 minutes
93,313_0月見山,301_1須磨駅前,14:00:00,14:21:00,58 minutes
94,313_0月見山,301_1須磨駅前,9:16:00,9:35:00,54 minutes
95,313_0月見山,301_1須磨駅前,16:01:00,16:22:00,81 minutes
96,301_2須磨駅前,311_1ワコーレ須磨前,10:44:00,10:56:00,65 minutes
97,313_0月見山,301_1須磨駅前,17:26:00,17:47:00,70 minutes
98,313_0月見山,308_2ガーデンハイツ前,11:00:00,11:08:00,52 minutes
99,311_1ワコーレ須磨前,312_1須磨寺町公園前,16:56:00,16:57:00,47 minutes
100,308_1ガーデンハイツ前,305_2グリーンハイツＣ棟前,15:53:00,16:16:00,164 minutes
101,301_2須磨駅前,319_0一ノ谷町２丁目,17:22:00,17:34:00,19 minutes
102,313_0月見山,308_2ガーデンハイツ前,13:29:00,13:38:00,40 minutes
103,301_2須磨駅前,311_1ワコーレ須磨前,11:15:00,11:26:00,96 minutes
104,313_0月見山,308_2ガーデンハイツ前,11:31:00,11:41:00,78 minutes
105,310_2エフコート前,309_2すまいる保育園前,11:06:00,11:07:00,24 minutes
106,301_2須磨駅前,319_0一ノ谷町２丁目,16:49:00,17:01:00,17 minutes
107,301_2須磨駅前,307_1グリーンハイツＨ棟前,17:10:00,17:17:00,32 minutes
108,313_0月見山,310_2エフコート前,9:16:00,9:22:00,30 minutes
109,313_0月見山,310_2エフコート前,11:00:00,11:06:00,48 minutes
110,313_0月見山,308_2ガーデンハイツ前,9:16:00,9:24:00,100 minutes
111,313_0月見山,307_2グリーンハイツＨ棟前,17:26:00,17:38:00,38 minutes
112,310_2エフコート前,309_2すまいる保育園前,10:22:00,10:23:00,18 minutes
113,313_0月見山,308_2ガーデンハイツ前,11:00:00,11:08:00,24 minutes
114,2_0イオンジェームス山店,3_2塩屋中学校南,11:33:00,11:34:00,-6 minutes
115,301_2須磨駅前,316_2一ノ谷町４丁目下,15:23:00,15:26:00,11 minutes
116,313_0月見山,310_2エフコート前,17:26:00,17:34:00,59 minutes
117,313_0月見山,311_2ワコーレ須磨前,16:01:00,16:08:00,31 minutes
118,304_1グリーンハイツB棟前,308_1ガーデンハイツ前,16:47:00,16:52:00,18 minutes
119,310_2エフコート前,306_2グリーンハイツＧ棟前,16:09:00,16:15:00,33 minutes
120,313_0月見山,308_2ガーデンハイツ前,17:26:00,17:36:00,79 minutes
121,313_0月見山,303_2グリーンハイツA棟前,12:31:00,12:47:00,85 minutes
122,313_0月見山,308_2ガーデンハイツ前,17:00:00,17:10:00,78 minutes
123,313_0月見山,310_2エフコート前,15:01:00,15:09:00,46 minutes
124,313_0月見山,312_2須磨寺町公園前,17:00:00,17:06:00,32 minutes
125,313_0月見山,308_2ガーデンハイツ前,14:00:00,14:10:00,50 minutes
126,301_2須磨駅前,307_1グリーンハイツＨ棟前,11:15:00,11:21:00,21 minutes
127,301_2須磨駅前,316_2一ノ谷町４丁目下,16:49:00,16:52:00,10 minutes
128,301_2須磨駅前,316_2一ノ谷町４丁目下,17:22:00,17:25:00,12 minutes
129,313_0月見山,311_2ワコーレ須磨前,17:00:00,17:07:00,43 minutes
130,313_0月見山,311_2ワコーレ須磨前,17:26:00,17:33:00,32 minutes
131,313_0月見山,306_2グリーンハイツＧ棟前,16:27:00,16:41:00,26 minutes
132,310_2エフコート前,301_1須磨駅前,17:08:00,17:21:00,46 minutes
133,301_2須磨駅前,311_1ワコーレ須磨前,17:10:00,17:22:00,79 minutes
134,301_2須磨駅前,319_0一ノ谷町２丁目,14:50:00,15:02:00,18 minutes
135,313_0月見山,308_2ガーデンハイツ前,16:27:00,16:37:00,45 minutes
136,309_1すまいる保育園前,311_1ワコーレ須磨前,10:53:00,10:56:00,45 minutes
137,311_1ワコーレ須磨前,312_1須磨寺町公園前,16:56:00,16:57:00,55 minutes
138,313_0月見山,308_2ガーデンハイツ前,9:45:00,9:53:00,48 minutes
139,301_2須磨駅前,308_1ガーデンハイツ前,17:10:00,17:18:00,20 minutes
140,313_0月見山,312_2須磨寺町公園前,14:00:00,14:06:00,48 minutes
141,313_0月見山,308_2ガーデンハイツ前,9:16:00,9:24:00,77 minutes
142,313_0月見山,310_2エフコート前,17:00:00,17:08:00,50 minutes
143,301_2須磨駅前,319_0一ノ谷町２丁目,17:22:00,17:34:00,19 minutes
144,313_0月見山,308_2ガーデンハイツ前,16:27:00,16:37:00,36 minutes
145,313_0月見山,311_2ワコーレ須磨前,15:01:00,15:08:00,36 minutes
146,313_0月見山,308_2ガーデンハイツ前,16:27:00,16:37:00,42 minutes
147,313_0月見山,311_2ワコーレ須磨前,10:16:00,10:21:00,45 minutes
148,311_1ワコーレ須磨前,312_1須磨寺町公園前,11:26:00,11:28:00,37 minutes
149,311_1ワコーレ須磨前,313_0月見山,10:56:00,11:00:00,22 minutes
150,313_0月見山,311_2ワコーレ須磨前,17:00:00,17:07:00,24 minutes
151,313_0月見山,310_2エフコート前,15:28:00,15:36:00,24 minutes
152,313_0月見山,311_2ワコーレ須磨前,10:16:00,10:21:00,38 minutes
153,313_0月見山,310_2エフコート前,17:00:00,17:08:00,82 minutes
154,313_0月見山,308_2ガーデンハイツ前,11:31:00,11:41:00,35 minutes
155,301_2須磨駅前,311_1ワコーレ須磨前,15:45:00,15:57:00,31 minutes
156,301_2須磨駅前,311_1ワコーレ須磨前,14:45:00,14:57:00,77 minutes
157,313_0月見山,308_2ガーデンハイツ前,15:01:00,15:11:00,63 minutes
158,313_0月見山,308_2ガーデンハイツ前,16:01:00,16:11:00,34 minutes
159,311_1ワコーレ須磨前,312_1須磨寺町公園前,13:56:00,13:57:00,24 minutes
160,310_1エフコート前,312_1須磨寺町公園前,10:10:00,10:13:00,53 minutes
161,313_0月見山,309_2すまいる保育園前,17:26:00,17:35:00,40 minutes
162,301_2須磨駅前,311_1ワコーレ須磨前,9:29:00,9:39:00,70 minutes
163,301_2須磨駅前,316_2一ノ谷町４丁目下,16:49:00,16:52:00,22 minutes
164,313_0月見山,305_2グリーンハイツＣ棟前,16:27:00,16:42:00,79 minutes
165,301_2須磨駅前,316_2一ノ谷町４丁目下,15:50:00,15:53:00,23 minutes
166,301_2須磨駅前,316_2一ノ谷町４丁目下,14:22:00,14:25:00,12 minutes
167,301_2須磨駅前,316_2一ノ谷町４丁目下,15:23:00,15:26:00,13 minutes
168,313_0月見山,310_2エフコート前,11:31:00,11:39:00,46 minutes
169,313_0月見山,311_2ワコーレ須磨前,10:16:00,10:21:00,57 minutes
170,313_0月見山,310_2エフコート前,11:00:00,11:06:00,23 minutes
171,313_0月見山,310_2エフコート前,9:16:00,9:22:00,38 minutes
172,313_0月見山,310_2エフコート前,16:01:00,16:09:00,32 minutes
173,313_0月見山,309_2すまいる保育園前,11:31:00,11:40:00,40 minutes
174,313_0月見山,310_2エフコート前,16:01:00,16:09:00,24 minutes
175,309_2すまいる保育園前,308_2ガーデンハイツ前,17:35:00,17:36:00,35 minutes
176,313_0月見山,306_2グリーンハイツＧ棟前,17:26:00,17:40:00,48 minutes
177,313_0月見山,309_2すまいる保育園前,17:00:00,17:09:00,31 minutes
178,301_2須磨駅前,311_1ワコーレ須磨前,12:15:00,12:26:00,88 minutes
179,313_0月見山,301_1須磨駅前,16:27:00,16:48:00,62 minutes
180,301_2須磨駅前,312_1須磨寺町公園前,17:10:00,17:23:00,84 minutes
181,301_2須磨駅前,316_2一ノ谷町４丁目下,14:50:00,14:53:00,8 minutes
182,313_0月見山,302_1シャトードメール須磨,15:28:00,15:46:00,65 minutes
183,309_2すまいる保育園前,308_2ガーデンハイツ前,17:09:00,17:10:00,126 minutes
184,319_0一ノ谷町２丁目,301_1須磨駅前,9:17:00,9:23:00,10 minutes
185,301_2須磨駅前,306_1グリーンハイツＧ棟前,16:11:00,16:16:00,48 minutes
186,313_0月見山,309_2すまいる保育園前,11:31:00,11:40:00,42 minutes
187,301_2須磨駅前,319_0一ノ谷町２丁目,12:52:00,13:03:00,19 minutes
188,301_2須磨駅前,319_0一ノ谷町２丁目,14:50:00,15:02:00,17 minutes
189,313_0月見山,302_1シャトードメール須磨,17:00:00,17:18:00,58 minutes
190,313_0月見山,311_2ワコーレ須磨前,17:26:00,17:33:00,34 minutes
191,313_0月見山,307_2グリーンハイツＨ棟前,17:26:00,17:38:00,50 minutes
192,313_0月見山,307_2グリーンハイツＨ棟前,16:01:00,16:13:00,35 minutes
